Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;
4.13. ПРЕПОДАВАТЕЛИ И МАСТЕРА ПРОИЗВОДСТВЕННОГО ОБУЧЕНИЯ, РЕАЛИЗУЮЩИЕ ПРОГРАММЫ ПОДГОТОВКИ СПЕЦИАЛИСТОВ СРЕДНЕГО ЗВЕНА;;;;;;;;;;;;;
4.13.2. Численность мастеров производственного обучения1);;;;;;;;;;;;;
"(на начало учебного года; человек)";;;;;;;;;;;;;
;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;;;;
Кировская область;290;363;402;316;295;275;103;94;95;;;;
Нижегородская область ;527;596;564;628;586;525;91;95;87;;;;
Оренбургская область;142;139;202;228;222;191;34;26;19;;;;
Пензенская область;200;316;411;295;200;198;30;24;19;;;;
Самарская область;264;351;404;319;266;297;110;97;77;;;;
Саратовская область;436;419;361;308;308;212;95;94;96;;;;
Ульяновская область;78;77;98;138;130;116;30;30;27;;;;
Уральский       федеральный округ;1775;2007;2073;2010;2236;2066;464;438;447;;;;
Курганская область;103;115;197;177;190;174;49;51;43;;;;
Свердловская область ;741;815;856;817;833;761;187;173;183;;;;
Тюменская область;596;573;530;585;559;579;125;119;142;;;;
в том числе:;;;;;;;;;;;;;
Ханты-Мансийский автономный   округ – Югра;342;347;315;296;284;307;67;68;76;;;;
Ямало-Ненецкий автономный округ;71;63;64;54;71;84;3;4;7;;;;
Тюменская область    без автономных округов;183;163;151;235;204;188;55;47;59;;;;
Челябинская область;335;504;490;431;654;552;103;95;79;;;;
Сибирский         федеральный округ;1139;1439;1911;2295;2550;2846;720;696;726;;;;
Республика Алтай;6;7;9;15;48;46;2;2;8;;;;
Республика Тыва;20;15;87;115;168;181;28;24;28;;;;
Республика Хакасия;60;62;74;153;140;127;16;18;15;;;;
Алтайский край;97;149;138;124;146;244;48;48;57;;;;
Красноярский край;140;133;149;111;222;371;164;131;139;;;;
Иркутская область;226;330;317;388;443;481;99;99;127;;;;
Кемеровская область;199;220;508;684;659;601;90;82;76;;;;
Новосибирская область ;115;138;185;197;191;242;114;124;99;;;;
Омская область;194;293;285;293;307;342;91;119;128;;;;
Томская область;82;92;159;215;226;211;68;49;49;;;;
Дальневосточный     федеральный округ;566;703;771;673;980;1150;298;328;310;;;;
Республика Бурятия;106;224;200;139;176;147;32;36;33;;;;
Республика Саха (Якутия);103;100;106;51;63;167;30;42;45;;;;
Забайкальский край;64;71;97;77;122;113;32;37;31;;;;
Камчатский край;13;9;10;7;18;44;4;3;7;;;;
Приморский край;87;87;99;90;230;235;60;60;60;;;;
Хабаровский край ;117;140;167;205;181;189;55;56;61;;;;
Амурская область;33;28;27;24;21;60;38;37;19;;;;
Магаданская область;3;3;1;2;15;22;5;7;9;;;;
Сахалинская область;29;27;52;54;108;113;37;46;41;;;;
Еврейская автономная область;2;2;1;14;29;36;4;4;4;;;;
Чукотский автономный округ;9;12;11;10;17;24;1;-;-;;;;
?????;;;;;;;;;;;;;
1) С 2013 г. - по данным Минпросвещения России. До 2016/2017 учебного года данные приведены по профессиональным образовательным организациям. C 2018/2019 учебного года - без профессиональных образовательных организаций ФСИН и специальных образовательных организаций.;;;;;;;;;;;;;
