Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.17. ЧИСЛЕННОСТЬ СТУДЕНТОВ, ОБУЧАЮЩИХСЯ ПО ПРОГРАММАМ ПОДГОТОВКИ СПЕЦИАЛИСТОВ СРЕДНЕГО ЗВЕНА1);;;;;;;;;;;;;;;;;;;
"(на начало учебного года; тысяч человек)";;;;;;;;;;;;;;;;;;;
;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Липецкая область;20,4;21,3;22,6;22,5;22,5;22,3;20,6;19,5;17,7;16,8;16,2;15,8;15,6;16,2;16,8;17,1;17,5;17,5;18,1
Московская область;73,8;74,3;78,2;77,7;76,4;75,2;73,7;69,3;66,7;63,0;60,2;59,8;61,2;56,3;62,3;64,2;71,2;76,9;82,0
Орловская область;13,4;13,5;13,7;13,5;13,0;12,5;12,0;11,7;10,9;11,2;11,6;11,6;12,0;11,2;11,8;11,9;12,5;12,6;12,8
Рязанская область;20,5;21,3;21,7;21,6;21,6;21,6;20,4;19,0;17,2;19,6;19,4;19,4;18,9;17,3;18,7;19,6;20,8;21,0;21,3
Смоленская область;19,5;21,4;22,1;22,6;22,4;22,6;20,2;19,8;18,2;16,9;18,0;16,8;16,2;15,2;15,3;14,1;15,2;16,0;16,4
Тамбовская область;21,1;21,0;21,0;21,1;20,6;21,5;21,2;18,8;17,3;14,7;15,3;15,4;15,9;15,7;16,6;17,2;18,8;18,4;18,9
Тверская область;26,4;27,1;28,3;28,2;28,3;27,9;27,2;25,7;24,6;22,5;21,7;20,6;19,8;17,5;18,4;17,8;20,0;20,7;21,4
Тульская область;32,4;31,9;34,2;33,7;33,1;32,1;29,4;26,7;24,3;22,7;20,7;19,3;18,2;16,7;19,1;19,4;20,2;21,0;22,5
Ярославская область;25,4;27,0;27,8;28,5;27,7;28,3;27,6;25,5;22,8;21,2;20,2;19,2;19,2;19,6;20,5;20,4;20,9;22,2;22,4
г. Москва;124,8;123,0;123,5;124,7;115,9;117,7;119,3;118,8;115,0;116,5;122,7;122,7;127,1;117,7;119,1;118,0;116,8;120,6;124,7
Северо-Западный федеральный округ;203,3;208,7;213,6;210,8;214,0;213,0;207,1;199,1;187,2;177,4;177,7;175,6;173,8;169,0;178,4;184,6;199,4;207,1;212,3
Республика Карелия;13,6;14,1;14,3;13,9;13,9;14,0;13,9;12,9;12,0;12,0;11,3;10,8;10,4;8,3;9,9;10,2;10,2;10,2;10,7
Республика Коми;15,1;15,0;16,1;16,8;16,0;15,7;15,7;15,7;14,9;14,5;15,1;15,0;14,3;12,9;13,7;14,3;15,2;15,6;15,4
Архангельская область;22,1;23,5;24,7;24,5;25,1;25,3;24,2;22,1;23,3;18,5;19,1;18,4;18,0;16,6;18,0;16,1;18,7;18,6;18,9
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;0,9;0,6;0,7;0,7;0,8;0,9;0,8;0,9;0,9;0,9;0,9;0,8;0,8;0,4;1,0;0,9;0,8;0,8;0,8
Архангельская область     без автономного округа;21,2;22,9;24,0;23,8;24,3;24,4;23,4;21,2;22,4;17,6;18,2;17,6;17,2;16,2;17,1;15,2;17,8;17,8;18,1
Вологодская область;21,8;22,7;23,1;23,5;23,6;23,6;22,4;21,3;19,2;17,8;17,6;17,5;17,0;16,8;16,9;16,9;18,5;19,9;20,5
Калининградская область;12,4;12,6;13,8;13,5;14,2;14,5;13,1;13,9;12,0;12,4;12,6;14,0;14,4;14,0;14,4;14,9;17,0;17,7;18,5
Ленинградская область;8,9;8,8;9,2;9,0;9,0;9,3;9,0;9,3;9,8;10,4;11,1;11,5;11,9;11,6;12,6;14,0;14,0;14,5;15,4
Мурманская область;12,4;13,4;14,0;13,7;13,1;13,1;12,6;12,1;11,2;10,6;10,7;10,5;10,6;11,1;12,0;12,4;13,5;13,5;13,8
Новгородская область;11,1;11,5;11,9;12,0;11,7;11,4;11,2;10,4;9,2;8,6;8,3;7,9;8,0;8,6;9,5;9,8;9,5;10,4;10,2
Псковская область;10,7;11,2;11,3;11,0;10,5;10,4;10,5;9,9;9,1;8,2;7,8;7,5;7,4;7,1;7,8;7,5;8,6;8,5;9,1
г. Санкт-Петербург;75,2;75,9;75,1;73,1;76,9;75,7;74,4;71,6;66,5;64,6;64,0;62,5;61,9;62,0;63,6;68,6;74,1;78,4;79,9
Южный         федеральный округ;227,5;243,7;259,8;264,0;262,9;266,8;259,3;249,7;231,5;226,9;223,7;217,9;220,4;216,0;243,3;253,9;264,6;272,9;282,5
Республика Адыгея;6,4;6,5;6,4;6,5;6,6;6,3;6,0;5,5;5,2;5,2;5,3;5,3;5,5;5,7;6,5;6,6;6,5;6,2;6,0
Республика Калмыкия;5,8;5,8;6,0;5,9;5,9;6,1;5,9;5,7;5,4;5,1;5,0;4,7;4,7;3,9;5,1;5,3;5,7;6,0;5,7
Республика Крым;;;;;;;;;;;;;;;15,9;17,2;18,3;19,7;101,7
Краснодарский край;65,1;72,8;79,2;82,2;83,7;89,7;85,5;82,3;78,5;78,0;79,4;81,3;83,1;81,8;86,4;89,7;93,2;96,7;21,2
Астраханская область;20,2;21,4;23,6;24,3;24,1;23,8;24,3;24,3;22,0;21,2;21,2;20,2;20,0;19,0;19,7;20,2;20,7;20,7;45,8
Волгоградская область;51,9;54,5;59,6;60,5;59,0;58,9;57,6;56,2;51,5;51,9;47,3;43,1;42,2;41,5;41,9;41,7;43,4;44,6;76,1
Ростовская область;78,1;82,7;85,0;84,6;83,6;81,9;80,0;75,7;69,0;65,6;65,5;63,4;65,0;64,2;64,6;69,1;72,1;74,0;20,8
г. Севастополь;;;;;;;;;;;;;;;3,4;4,1;4,6;4,9;5,1
Северо-Кавказский   федеральный округ;82,8;94,1;96,2;99,1;107,2;106,6;105,0;104,5;99,0;95,9;102,2;102,7;110,9;103,6;117,4;128,8;149,8;165,0;176,8
Республика Дагестан;20,1;20,8;22,8;23,9;24,9;25,1;25,2;24,6;25,8;25,7;27,2;25,9;26,5;23,5;27,1;33,4;40,1;46,7;54,3
Республика Ингушетия ;2,1;2,1;2,1;2,3;2,3;2,3;2,3;2,4;2,3;2,2;2,1;2,1;3,5;3,9;4,5;4,8;5,7;6,6;7,8
Кабардино-Балкарская Республика;11,5;11,5;11,6;10,1;10,2;9,7;9,0;8,6;7,7;6,6;6,6;7,1;8,9;7,2;10,8;7,4;12,9;12,8;13,2
Карачаево-Черкесская    Республика;5,9;4,8;4,9;5,0;5,6;5,7;5,8;6,1;5,7;5,7;5,2;4,7;4,7;2,7;3,6;6,0;6,5;7,4;8,2
Республика Северная Осетия - Алания;9,8;9,6;10,4;11,0;10,6;10,0;9,8;9,7;9,0;8,2;7,8;7,8;8,2;7,5;9,1;10,0;10,8;11,2;11,5
Чеченская Республика ;…;…;3,7;4,5;9,9;9,8;9,7;9,4;9,3;10,8;13,1;12,8;15,3;17,7;19,4;23,1;26,7;30,2;30,2
Ставропольский край;33,4;45,3;40,7;42,3;43,7;44,0;43,2;43,9;39,2;36,7;40,1;42,4;43,8;41,2;42,9;44,0;47,2;50,1;51,5
Приволжский   федеральный округ;589,7;617,1;649,5;656,6;647,0;649,0;633,8;601,4;554,4;523,5;515,1;503,0;498,7;474,0;486,5;498,5;523,3;538,8;550,5
Республика Башкортостан;86,1;93,7;101,3;102,2;93,1;102,8;99,6;100,1;89,9;83,8;81,0;76,6;74,1;67,4;69,9;68,0;71,7;74,3;75,3
Республика Марий Эл;11,2;11,8;13,0;13,8;13,9;14,3;14,9;14,7;13,8;12,5;11,9;11,2;11,1;10,2;10,2;11,5;12,1;12,4;12,6
Республика Мордовия;14,8;15,5;16,0;16,4;16,8;16,8;16,8;16,2;15,0;13,5;13,3;13,2;13,4;13,2;12,9;12,9;13,5;13,6;13,5
Республика Татарстан;55,3;58,2;61,9;65,6;62,2;64,2;61,7;57,7;57,8;55,2;59,5;61,2;63,4;62,9;67,6;71,6;71,7;74,0;73,5
Удмуртская Республика;43,8;41,4;42,4;43,3;44,3;38,1;41,3;36,4;31,5;28,0;28,5;25,9;24,3;24,1;24,3;24,5;27,6;28,7;28,7
Чувашская Республика;24,0;25,3;27,4;27,2;27,7;27,0;26,7;25,5;23,3;21,9;20,6;19,1;19,6;19,6;20,0;19,9;20,8;21,2;21,5
Пермский край;55,7;59,4;61,8;64,7;63,5;63,4;64,3;59,7;53,7;50,4;47,9;46,0;45,3;44,1;46,1;47,9;51,2;53,8;55,9
Кировская область;30,0;30,4;35,7;35,8;35,1;33,3;30,7;28,6;24,6;23,6;21,7;21,5;21,8;17,7;20,7;21,2;22,2;21,9;23,4
Нижегородская область ;63,4;70,3;71,3;65,0;64,3;63,5;62,2;58,8;54,7;51,6;49,1;49,8;49,1;48,6;48,9;50,0;53,2;55,3;59,2
Оренбургская область;46,9;48,6;49,2;48,1;48,3;48,1;46,0;43,4;41,1;39,8;41,8;40,1;38,9;35,1;38,1;37,9;39,3;39,2;40,0
Пензенская область;24,9;25,6;26,2;26,7;27,1;27,6;26,1;24,1;22,8;21,7;21,5;21,1;19,6;19,3;18,9;17,5;20,2;20,6;20,7
Самарская область;58,8;59,8;63,1;65,8;66,3;65,4;61,0;57,8;53,1;51,9;51,6;52,0;54,1;49,4;49,5;55,4;58,3;60,2;61,0
Саратовская область;49,0;48,9;49,8;50,9;52,7;53,0;52,8;50,0;47,3;45,7;44,5;44,4;43,8;42,9;41,9;41,2;42,2;44,2;44,8
Ульяновская область;25,8;28,1;30,4;31,0;31,7;31,4;29,7;28,5;25,9;24,0;22,3;21,0;20,3;19,6;17,6;19,1;19,4;19,4;20,5
Уральский             федеральный округ;217,4;230,2;253,4;266,5;264,2;264,0;248,9;239,1;220,4;206,4;196,8;190,2;195,7;192,7;208,9;216,1;225,0;227,1;233,0
Курганская область;18,4;19,6;21,0;21,9;22,5;22,3;21,2;19,6;17,3;16,1;15,3;14,5;14,0;13,3;14,2;15,7;14,9;15,8;15,1
Свердловская область ;91,3;96,1;101,0;103,4;99,4;103,6;97,7;93,7;84,9;79,7;77,7;74,5;75,6;78,3;82,5;86,4;90,1;91,5;95,2
Тюменская область;39,1;41,8;51,3;57,7;58,9;56,2;52,2;49,8;48,7;48,6;48,1;47,4;47,4;46,4;50,9;52,8;55,4;55,3;56,5
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский     автономный округ – Югра;9,9;10,8;16,7;21,7;21,3;20,7;19,2;18,7;18,8;19,3;19,3;18,9;18,6;18,5;20,1;19,9;22,2;22,1;22,9
Ямало-Ненецкий     автономный округ;6,8;5,9;6,0;6,1;5,9;4,6;4,8;5,9;5,7;5,6;5,6;5,9;6,0;3,5;5,3;6,0;6,9;7,3;7,9
Тюменская область   без автономных округов;22,4;25,1;28,6;29,9;31,7;30,9;28,2;25,2;24,2;23,7;23,2;22,6;22,8;24,4;25,6;26,9;26,3;25,9;25,8
Челябинская область;68,6;72,7;80,1;83,6;83,5;81,9;77,8;76,0;69,5;62,0;55,7;53,9;58,6;54,6;61,2;61,2;64,6;64,6;66,1
Сибирский     федеральный округ;323,3;338,3;347,4;354,3;355,1;344,1;333,5;318,9;299,2;284,2;285,0;277,2;273,3;257,0;266,1;280,3;297,1;309,9;320,3
Республика Алтай;4,0;4,2;4,5;4,6;4,8;5,3;5,1;4,9;4,7;4,7;4,7;4,6;4,6;4,8;5,1;5,2;4,9;5,1;5,3
Республика Тыва;4,6;4,9;5,4;6,1;6,3;6,5;6,4;6,3;6,0;5,9;5,8;5,4;5,3;4,2;4,1;5,6;6,2;6,4;6,7
Республика Хакасия;9,1;10,0;10,7;11,6;12,1;11,6;11,5;11,9;11,0;10,5;10,4;9,3;8,6;8,0;7,4;7,7;8,1;8,5;8,9
Алтайский край;39,6;41,4;44,1;44,2;44,8;45,0;43,5;41,0;36,3;34,4;35,5;34,1;32,8;30,6;31,7;33,2;33,9;34,8;36,0
Красноярский край;59,4;62,4;62,7;62,3;63,2;61,5;59,5;57,1;54,2;50,8;49,5;47,0;46,2;40,7;46,5;45,3;48,5;52,4;54,1
Иркутская область;43,6;42,5;46,1;44,7;43,6;41,6;40,9;41,0;41,2;39,4;40,3;40,5;41,7;40,5;42,6;43,4;45,1;45,8;46,7
Кемеровская область;55,0;58,4;58,3;57,8;56,7;55,1;51,4;48,2;45,1;43,4;43,4;43,5;43,0;41,8;42,0;45,2;47,4;49,8;52,1
Новосибирская область ;49,7;53,4;53,6;53,8;53,6;52,7;49,6;45,8;42,2;39,3;38,0;37,3;36,6;33,5;33,8;39,1;42,3;44,7;47,7
Омская область;40,8;42,9;44,2;51,2;52,3;48,2;49,2;47,2;44,1;41,5;42,5;40,8;39,6;37,1;36,0;37,5;41,5;42,2;42,7
Томская область;17,5;18,2;17,8;18,0;17,7;16,6;16,4;15,5;14,4;14,3;14,9;14,7;14,9;15,8;16,9;18,1;19,2;20,2;20,3
Дальневосточный    федеральный округ;150,3;161,0;169,7;170,9;172,9;171,8;168,5;164,8;155,8;151,0;146,8;145,4;144,0;129,2;140,1;148,3;152,7;157,0;160,7
Республика Бурятия;16,4;17,1;17,9;18,7;20,4;20,7;20,9;20,2;19,3;19,3;19,0;19,9;19,6;15,1;18,7;19,1;19,5;19,2;19,5
Республика Саха (Якутия);11,9;13,2;16,1;16,4;16,9;17,4;17,5;18,8;18,3;18,6;18,3;18,0;17,7;10,9;15,3;19,7;21,1;20,9;20,8
Забайкальский край;17,8;18,5;19,4;20,9;21,8;22,6;21,1;20,5;19,7;19,4;19,4;18,7;18,5;18,5;18,7;19,4;20,0;21,0;21,2
Камчатский край;6,0;7,1;7,3;6,5;5,9;5,5;35,5;4,9;4,5;4,2;4,2;4,0;4,0;2,9;4,7;4,4;5,3;5,4;5,6
Приморский край;32,7;33,6;36,2;35,7;36,4;35,7;31,3;35,2;33,4;32,1;31,9;32,5;33,4;32,1;32,5;32,8;33,5;34,6;35,8
Хабаровский край ;30,4;33,5;34,8;34,5;33,9;32,6;20,3;29,4;27,3;25,4;23,7;22,9;22,4;22,4;22,5;23,8;24,9;26,1;27,1
Амурская область;20,7;21,9;21,4;21,2;20,8;20,5;5,3;19,1;18,7;17,8;17,0;16,7;16,5;15,6;15,7;16,3;16,0;16,0;16,5
Магаданская область;2,8;2,9;2,7;2,6;2,5;2,5;2,4;2,3;2,2;2,0;2,0;1,7;1,7;1,7;1,8;2,1;2,5;2,5;2,6
Сахалинская область;7,4;8,7;9,5;10,0;9,8;9,9;10,0;10,6;8,8;8,9;8,3;8,2;7,7;7,7;7,9;8,3;7,4;8,7;9,0
Еврейская автономная  область;3,6;3,9;3,8;3,8;3,8;3,7;3,5;3,3;3,1;2,9;2,6;2,4;2,1;1,9;1,8;1,8;1,8;1,8;1,9
Чукотский автономный округ;0,6;0,6;0,6;0,6;0,7;0,7;0,7;0,5;0,5;0,4;0,4;0,4;0,4;0,4;0,5;0,6;0,7;0,8;0,7
?????;;;;;;;;;;;;;;;;;;;
1) С 2013 г. - по данным Минпросвещения России. До 2016/2017 учебного года данные приведены по профессиональным образовательным организациям. C 2018/2019 учебного года - без профессиональных образовательных организаций ФСИН и специальных образовательных организаций.;;;;;;;;;;;;;;;;;;;
