Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;
9.4. ФАКТИЧЕСКОЕ КОНЕЧНОЕ ПОТРЕБЛЕНИЕ ДОМАШНИХ ХОЗЯЙСТВ НА ТЕРРИТОРИИ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ;;;;;;;;;;;;;;;;;;
9.4.1. Всего;;;;;;;;;;;;;;;;;;
"(в текущих рыночных ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Республика Алтай;2507,6;3741,8;4880,7;6443,1;8162,5;9900,2;12707,0;15574,1;21058,2;22973,3;24763,2;28701,5;30742,3;36231,3;39423,4;41710,8;42218,1;44158,5
Республика Бурятия;18027,8;23611,0;31204,9;38828,6;47864,8;61105,7;72860,5;91438,5;111525,9;122198,0;135244,8;161530,1;186109,4;208625,6;220801,4;250985,1;255237,4;258867,2
Республика Тыва;3336,8;5210,7;6753,8;8127,9;10334,6;12794,9;15912,4;19186,5;23531,0;24877,1;27134,4;30527,3;33288,8;35624,4;40075,2;43790,0;45890,0;47471,1
Республика Хакасия;9546,9;12032,2;15496,5;18113,3;21264,0;25098,6;32297,1;40440,7;47790,3;50276,0;61906,9;77744,0;91906,0;100553,3;108520,7;120098,5;123733,5;129117,7
Алтайский край;41683,7;56673,1;75364,9;92554,5;113138,4;138117,1;175302,4;213708,8;267991,9;264002,6;289803,0;346458,8;396524,4;432607,7;468976,9;493751,0;503503,3;516312,5
Забайкальский край;16676,4;22425,8;37335,2;47104,5;56950,6;68155,6;82182,0;100174,9;128836,6;140372,0;155561,8;183392,1;203379,6;217228,8;232270,2;247690,2;259024,5;268873,5
Красноярский край;85560,4;107509,0;136552,2;160329,5;190676,3;225885,3;282438,7;361236,2;453079,8;465218,6;509855,8;582099,3;677800,0;739990,3;772131,6;777983,3;817406,1;832489,8
Иркутская область;63048,2;79815,0;97235,8;114390,4;138673,5;170790,7;214188,3;256153,8;311946,7;315053,0;331979,6;375957,6;420679,2;454520,4;481230,9;487370,5;512041,9;544931,4
Кемеровская область;57675,3;79890,2;108779,9;131304,2;165139,7;209125,2;265070,8;331962,4;403150,8;364928,9;397231,2;453993,4;509362,7;542776,0;541261,5;558150,0;558633,1;577488,9
Новосибирская область ;62761,4;83998,3;116161,7;143884,7;170123,7;225621,4;282638,7;336460,4;419167,9;429825,7;475858,3;572713,9;636856,5;700072,5;727650,3;734427,0;750921,5;784811,8
Омская область;33907,3;49215,2;67512,8;82851,6;104521,1;134746,4;168797,5;209888,5;254939,4;266307,2;290695,7;349949,0;391972,7;437805,4;467632,7;466636,5;457610,9;484443,8
Томская область;22662,9;29618,9;41175,6;50663,4;65343,1;82825,7;100942,4;116667,7;138636,8;141553,8;147890,8;162164,6;182403,4;207682,0;215494,4;233801,8;241910,7;252471,9
Дальневосточный    федеральный округ;171209,8;233041,1;302871,1;370207,2;451594,4;562824,9;697745,4;828084,3;1004182,8;1130583,1;1246354,8;1409284,0;1563063,1;1757325,7;1920911,0;2084432,9;2167193,1;2286664,6
Республика Саха (Якутия);34401,7;47840,4;60732,1;78402,6;92280,6;108202,2;133032,5;154327,5;183326,1;202291,4;220152,9;243267,5;266979,0;300108,5;333270,8;363854,5;383972,1;406424,7
Камчатский край;13231,6;15944,5;19810,3;22007,9;25129,8;31740,6;41804,3;51923,7;59768,8;67838,9;76029,8;86139,1;92012,3;99384,0;106038,8;112512,5;118457,7;124540,0
Приморский край;40692,2;57390,1;74665,0;90472,5;113034,5;146658,0;181144,5;213271,8;260099,6;286192,1;310225,7;350053,8;399305,9;452070,1;494744,4;548911,8;562064,2;596091,9
Хабаровский край ;38475,3;52579,9;68991,8;83026,6;101703,6;127987,9;155444,6;186895,1;222082,8;256136,2;286861,5;319708,7;352794,7;397137,8;435742,6;475209,8;506471,0;527889,5
Амурская область;19483,1;23832,2;29958,0;35113,0;44470,8;54804,9;66239,0;78368,7;96309,0;107105,2;121995,3;150056,0;175493,8;204682,8;220427,2;227146,5;235069,9;242448,7
Магаданская область;6005,4;7694,8;10016,3;11949,7;13540,2;16167,6;19928,7;20820,9;28178,9;33555,9;36248,2;41785,6;48551,9;54859,9;58270,0;60872,1;63171,3;66630,2
Сахалинская область;13949,1;20333,6;27458,6;35710,2;44940,3;57215,7;77001,7;95850,4;121322,2;139557,3;152349,3;172049,6;179272,5;197911,1;216253,5;236869,1;243907,0;257514,0
Еврейская автономная    область;3141,8;4486,2;6411,4;7833,4;10101,7;12674,7;14828,2;17299,3;20910,8;23910,5;27055,7;29093,7;31183,6;33365,6;35610,1;39399,9;39697,9;40080,2
Чукотский автономный округ;1829,6;2939,4;4827,6;5691,3;6392,9;7373,3;8321,9;9326,9;12184,6;13995,6;15436,4;17130,0;17469,4;17805,9;20553,6;19656,7;20587,7;25045,4
