Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;
17. ТРАНСПОРТ;;;;;;;;;;;;;;;;;;;;;;;;;
17.1. ОТПРАВЛЕНИЕ ГРУЗОВ ЖЕЛЕЗНОДОРОЖНЫМ ТРАНСПОРТОМ ОБЩЕГО ПОЛЬЗОВАНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;
(миллионов тонн);;;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;
Архангельская область без автономного округа;9,0;9,2;9,6;10,9;11,8;16,0;15,0;14,6;12,9;10,3;11,8;12,3;11,6;11,4;10,9;10,4;10,1;11,1;12,5;;;;;;
Вологодская область;15,5;16,1;16,2;16,3;16,3;17,6;18,3;19,6;18,6;14,2;17,6;18,9;18,2;19,3;18,9;18,4;19,1;20,4;22,8;;;;;;
Калининградская область;1,8;1,5;1,8;2,0;2,1;2,2;2,0;2,1;2,4;2,0;3,2;3,7;3,7;4,2;4,0;3,8;3,7;3,9;4,4;;;;;;
Ленинградская область;39,5;40,6;38,8;40,7;41,8;41,0;40,1;41,0;39,7;32,0;35,9;36,9;37,7;35,5;31,5;27,8;28,5;27,1;26,6;;;;;;
Мурманская область;24,7;24,4;24,8;25,6;26,3;27,0;27,2;27,8;25,2;23,9;28,2;28,2;28,3;27,5;26,3;26,3;28,7;29,1;31,6;;;;;;
Новгородская область;4,9;5,0;5,1;5,3;5,8;6,3;6,4;6,1;6,2;5,2;5,6;5,9;5,8;5,9;6,0;5,6;6,3;6,9;7,4;;;;;;
Псковская область;1,7;1,5;1,6;1,6;2,1;2,6;2,8;1,8;1,3;0,8;3,8;5,5;5,8;4,8;4,8;4,1;3,9;3,8;4,1;;;;;;
г. Санкт-Петербург;6,4;7,0;7,4;6,3;6,4;6,7;7,0;7,7;7,6;5,2;6,3;7,5;7,6;7,1;6,7;6,1;6,1;6,5;6,3;;;;;;
Южный                  федеральный округ;65,6;62,8;64,5;67,6;73,7;80,5;81,6;86,0;86,5;69,3;101,6;109,1;111,1;102,7;91,7;86,5;86,8;98,6;99,3;;;;;;
Республика Адыгея;0,2;0,2;0,5;0,5;0,6;0,6;0,6;0,6;0,5;0,5;1,3;2,2;1,9;1,7;0,9;0,9;1,0;0,8;0,9;;;;;;
Республика Калмыкия;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;;;;;;
Республика Крым2);;;;;;;;;;;;;;;4,0;1,5;1,9;1,9;1,9;;;;;;
Краснодарский край;19,0;18,6;17,2;18,9;21,6;27,5;30,4;34,1;32,9;30,4;36,9;40,0;39,0;35,1;31,3;31,7;31,9;34,8;32,6;;;;;;
Астраханская область;9,6;8,2;10,3;11,0;11,7;10,3;9,5;9,5;8,0;5,9;24,8;25,9;27,1;26,1;18,7;16,8;16,9;17,3;18,2;;;;;;
Волгоградская область;13,9;14,2;15,0;16,3;18,3;20,3;18,7;16,8;17,6;16,4;16,1;16,0;17,0;15,7;16,0;17,1;16,7;18,5;15,7;;;;;;
Ростовская область;22,8;21,6;21,4;20,7;21,4;21,8;22,3;25,0;27,5;16,1;22,5;25,0;26,1;24,1;20,7;18,4;18,3;25,3;30,1;;;;;;
г. Севастополь;;;;;;;;;;;;;;;…;…;…;…;…;;;;;;
Северо-Кавказский     федеральный округ;13,3;14,4;15,9;15,9;18,0;20,0;21,0;22,8;21,2;17,4;16,0;17,4;16,9;15,8;14,5;13,6;12,8;12,8;12,0;;;;;;
Республика Дагестан;2,8;1,6;1,5;1,5;1,8;1,9;2,1;2,5;2,8;1,8;2,2;2,7;3,1;3,2;2,7;2,3;2,2;2,5;2,6;;;;;;
Республика Ингушетия;0,0;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;;;;;;
Кабардино-Балкарская Республика;0,9;0,7;0,6;0,6;0,8;0,8;1,0;1,3;1,3;0,8;0,5;0,6;0,8;0,8;0,6;0,7;0,7;0,5;0,6;;;;;;
Карачаево-Черкесская Республика;1,3;1,3;1,5;2,0;2,5;2,2;2,9;2,9;2,2;2,6;2,9;2,8;2,5;2,4;1,8;1,5;1,5;1,3;1,1;;;;;;
Республика Северная Осетия – Алания;1,6;1,9;1,8;2,0;2,2;2,2;2,0;2,1;2,0;1,4;1,7;1,6;1,6;1,3;1,1;0,8;0,9;0,9;0,7;;;;;;
Чеченская Республика;0,2;0,7;1,6;1,9;2,1;2,2;2,2;2,4;2,2;1,6;1,2;0,9;0,8;0,7;0,5;0,4;0,2;0,2;0,3;;;;;;
Ставропольский край;6,6;8,0;8,8;7,7;8,5;10,4;10,5;11,5;10,6;9,1;7,5;8,7;8,0;7,3;7,8;7,9;7,3;7,3;6,5;;;;;;
Приволжский       федеральный округ;144,6;149,6;164,8;182,1;187,5;191,4;197,7;209,0;201,2;167,0;191,2;193,7;199,9;192,8;200,6;189,3;187,8;197,3;201,8;;;;;;
Республика Башкортостан;23,3;24,5;23,6;25,1;26,6;29,4;31,9;33,3;33,1;28,4;28,9;29,4;30,5;30,1;31,5;28,4;28,4;28,5;28,4;;;;;;
Республика Марий Эл;0,4;0,7;0,7;0,9;0,8;1,0;1,1;1,6;1,4;1,4;1,6;1,6;1,6;0,7;1,1;1,5;1,2;1,2;1,3;;;;;;
Республика Мордовия;2,1;2,4;2,5;3,1;3,3;3,5;3,5;3,4;3,2;2,9;3,6;3,1;3,3;3,2;3,0;2,3;2,4;3,1;2,8;;;;;;
Республика Татарстан;10,0;10,3;10,5;13,2;12,0;10,9;10,8;11,1;10,3;9,4;10,0;11,7;16,3;15,7;15,7;15,5;15,2;15,8;16,4;;;;;;
Удмуртская Республика;3,8;4,2;3,4;3,8;3,5;4,1;4,6;5,0;5,4;4,4;5,2;4,3;4,0;2,9;2,7;2,2;2,2;2,1;2,3;;;;;;
Чувашская Республика;0,8;0,9;1,0;1,0;1,3;1,3;1,3;1,3;1,1;0,8;1,0;1,0;1,0;0,9;0,8;0,7;0,7;0,7;0,6;;;;;;
Пермский край;34,4;34,2;35,8;36,7;39,0;42,3;42,5;45,1;43,1;31,9;40,8;40,1;38,9;39,0;42,2;41,2;41,9;45,3;46,5;;;;;;
Кировская область;7,4;7,3;7,3;7,6;8,6;8,9;8,6;8,4;8,1;6,1;7,1;7,0;6,7;6,3;6,3;5,8;6,1;6,2;6,9;;;;;;
Нижегородская область;8,8;10,9;13,8;15,1;16,7;18,1;19,5;20,8;20,2;17,5;19,5;18,5;16,9;16,6;17,0;15,5;16,1;15,6;15,1;;;;;;
Оренбургская область;20,9;22,3;24,8;27,5;29,3;28,1;30,3;33,9;34,6;29,7;33,2;34,8;37,7;35,2;36,6;35,4;35,0;37,3;36,8;;;;;;
Пензенская область;1,6;1,5;1,4;1,7;1,5;1,8;1,5;1,3;1,1;0,8;1,1;1,2;1,3;1,3;1,8;1,9;2,2;2,4;2,6;;;;;;
Самарская область;17,7;17,6;25,3;29,9;27,4;24,1;23,9;24,8;22,1;20,1;21,5;23,2;23,0;23,7;23,9;23,6;20,9;20,9;22,5;;;;;;
Саратовская область;10,4;10,1;12,0;13,4;14,1;14,7;14,7;15,5;14,7;10,7;14,2;13,9;14,6;13,7;14,5;12,0;12,3;15,0;16,7;;;;;;
Ульяновская область;3,0;3,0;2,9;3,0;3,4;3,2;3,4;3,6;2,7;3,0;3,5;3,8;4,1;3,6;3,5;3,3;3,2;3,2;3,0;;;;;;
Уральский     федеральный округ;123,8;119,7;126,3;123,8;132,9;144,4;152,2;159,8;149,6;115,5;131,1;158,5;186,8;182,4;185,2;180,2;178,5;179,7;177,5;;;;;;
Курганская область;2,2;1,5;1,7;1,8;1,7;2,0;2,2;2,1;1,8;1,0;1,6;10,0;19,4;17,4;15,7;15,0;12,9;13,9;12,5;;;;;;
Свердловская область;66,5;64,1;62,2;62,0;64,7;71,1;75,0;77,6;73,1;55,3;60,6;62,1;65,0;61,4;61,0;57,7;59,1;59,6;59,9;;;;;;
Тюменская область;10,4;10,6;19,9;13,7;15,4;17,7;19,6;19,3;19,1;18,7;22,0;24,5;26,4;30,5;34,2;40,6;40,2;38,4;37,7;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;
Ханты Мансийский автономный     округ - Югра;6,0;6,1;6,6;7,6;8,6;9,4;9,7;9,8;10,1;9,5;9,9;10,5;11,7;13,4;13,8;14,1;14,1;13,9;13,9;;;;;;
Ямало-Ненецкий автономный округ;2,1;1,8;1,9;2,2;2,6;4,0;5,5;5,2;4,4;4,6;5,4;6,0;6,3;7,9;8,5;13,0;13,5;11,9;11,4;;;;;;
Тюменская область без автономных округов;2,3;2,6;11,4;4,0;4,2;4,2;4,3;4,4;4,6;4,6;6,7;8,0;8,4;9,2;11,8;13,6;12,5;12,6;12,3;;;;;;
Челябинская область;44,8;43,5;42,5;46,2;51,2;53,7;55,5;60,8;55,6;40,5;46,9;62,0;76,0;73,1;74,4;66,9;66,2;67,8;67,4;;;;;;
Сибирский      федеральный округ;297,3;314,3;316,5;346,5;368,4;381,7;395,7;400,1;408,7;374,8;396,6;402,9;411,3;410,0;412,2;411,4;419,4;447,9;461,2;;;;;;
Республика Алтай;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;
Республика Тыва;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;
Республика Хакасия;8,9;9,5;8,3;11,0;12,1;12,8;12,6;13,6;14,1;13,4;14,2;15,1;15,7;16,2;17,6;18,6;18,6;21,2;23,6;;;;;;
Алтайский край;7,0;7,6;8,5;8,7;9,3;8,8;8,5;10,0;9,8;8,2;16,1;18,3;18,6;18,8;17,5;17,0;16,9;18,4;18,3;;;;;;
Красноярский край;45,2;45,6;41,5;45,1;44,5;47,3;53,1;54,9;62,6;50,0;54,1;52,7;53,2;47,7;45,2;49,3;51,3;53,3;57,1;;;;;;
Иркутская область;50,7;51,6;50,2;58,2;61,7;68,1;68,7;66,7;67,2;59,6;64,5;59,3;59,3;57,6;53,6;50,6;49,1;50,4;50,0;;;;;;
Кемеровская область;164,0;176,9;181,4;195,2;211,1;212,8;220,2;221,5;221,2;215,3;214,7;222,4;226,6;233,6;242,6;242,7;249,7;265,3;265,7;;;;;;
Новосибирская область;9,1;10,0;11,6;12,2;13,3;15,1;14,6;14,9;15,6;11,3;14,0;15,6;17,3;17,3;16,2;13,8;15,4;21,0;26,4;;;;;;
Омская область;10,7;11,3;13,1;13,8;13,9;14,0;14,6;15,3;15,5;14,8;16,7;17,1;18,5;16,7;17,2;17,2;16,0;15,7;17,3;;;;;;
Томская область;1,8;1,8;2,0;2,4;2,6;2,6;3,4;3,3;2,7;2,1;2,4;2,3;2,1;2,2;2,2;2,3;2,4;2,6;2,8;;;;;;
Дальневосточный      федеральный округ;64,1;65,0;65,3;72,0;72,6;79,4;81,2;83,4;81,4;64,1;90,0;97,6;98,4;85,5;84,3;85,5;83,1;90,0;90,9;;;;;;
Республика Бурятия;6,6;6,3;6,1;6,5;7,1;8,1;8,8;8,8;9,0;7,4;9,9;13,4;14,0;14,4;15,5;14,8;16,1;16,1;16,7;;;;;;
Республика Саха (Якутия);8,4;8,3;8,6;9,3;10,0;10,2;10,8;11,0;11,3;5,8;8,4;9,3;10,1;9,7;10,7;10,6;12,5;13,6;9,8;;;;;;
Забайкальский край;14,7;16,3;13,2;15,2;12,8;13,2;14,3;13,4;12,4;10,4;12,2;12,4;10,9;11,4;10,3;9,5;9,5;11,5;12,7;;;;;;
Камчатский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;
Приморский край;11,5;10,6;10,9;11,8;12,7;13,8;14,5;16,7;17,1;12,6;14,5;15,8;15,2;15,1;13,9;13,6;12,0;13,7;13,7;;;;;;
Хабаровский край;13,4;13,8;16,0;17,8;18,1;20,0;19,8;21,5;20,7;18,5;20,2;20,7;22,3;21,3;21,3;21,6;20,4;21,1;21,9;;;;;;
Амурская область;5,8;6,2;6,6;7,3;7,5;8,8;8,4;7,8;6,7;6,3;21,5;22,4;22,6;11,1;10,5;13,5;10,4;9,8;11,3;;;;;;
Магаданская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;
Сахалинская область;2,2;2,0;2,0;2,1;2,6;3,4;3,0;2,7;2,7;2,4;2,5;2,6;2,3;1,6;1,3;1,1;1,1;1,2;1,1;;;;;;
Еврейская автономная область;1,6;1,5;1,8;1,9;1,7;2,0;1,6;1,4;1,4;0,7;0,9;1,0;1,0;0,9;0,9;0,8;1,1;2,9;3,7;;;;;;
Чукотский автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;
_________;;;;;;;;;;;;;;;;;;;;;;;;;
1) Включая данные, не распределенные по субъектам Российской Федерации.;;;;;;;;;;;;;;;;;;;;;;;;;
2) Включая данные по г. Севастополю.;;;;;;;;;;;;;;;;;;;;;;;;;
