Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;;
19.2. ЧИСЛЕННОСТЬ ПЕРСОНАЛА, ЗАНЯТОГО НАУЧНЫМИ ИССЛЕДОВАНИЯМИ И РАЗРАБОТКАМИ;;;;;;;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Камчатский край;993;1032;998;1407;1263;1293;1333;1232;1193;1207;1154;1152;1175;1136;1240;1133;1093;921;883;
Приморский край;6225;6284;6525;6434;6411;6471;6458;6296;5965;5548;5493;5590;5482;5727;5427;5809;5655;5700;5771;
Хабаровский край;1683;1686;1803;1808;1646;1536;1390;1737;1700;1635;1500;1627;1612;1599;1701;2043;1813;1717;1819;
Амурская область;1013;988;978;959;946;890;807;778;774;819;830;824;862;1073;717;692;667;536;533;
Магаданская область;567;606;629;604;606;599;617;603;575;566;572;638;565;559;708;636;664;611;553;
Сахалинская область;912;947;1032;1008;1032;865;883;858;834;794;901;869;827;850;850;888;827;807;707;
Еврейская автономная область;71;71;72;77;75;72;74;65;60;60;60;309;307;…1);…1);…1);…1);…1);…1);
Чукотский автономный округ;58;54;52;50;49;48;39;37;36;36;17;19;19;…1);…1);…1);…1);…1);…1);
___________;;;;;;;;;;;;;;;;;;;;
1) Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций в соответствии с Федеральным законом от 29.11.2007 № 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в  Российской Федерации» (п.5 ст.4, ч.1 ст.9).;;;;;;;;;;;;;;;;;;;;
