СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
10. СИСТЕМА НАЦИОНАЛЬНЫХ СЧЕТОВ*);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Показатели национальных счетов;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Оплата труда наемных работников;610,9;6979,4;76346,2;300749,1;646489,7;1020585,2;1200924,4;1262279,3;1939045,4;2944729,8;3852184,6;5071283,1;6227103,0;7837582,4;9439827,8;11873211,0;15340209,0;19204696,2;20131506,2;22736866,9;26107115,2;29832569,5;33371754,6;37006043,2;38390456,9;40798085,5;43771381,9;
в том числе сальдо заработной платы, полученной за границей и выплаченной в России нерезидентам;;;;-248,5;-1386,1;-2058,1;-1976,1;-767,6;5439,3;7499,9;3786,1;6182,5;-4284,9;-7454,3;-34438,9;-112694,6;-185905,7;-355064,8;-280108,2;-258769,0;-279560,2;-368592,0;-420527,6;-381133,2;-307314,6;-143376,4;-132844,6;
Налоги на производство и импорт ;152,0;3892,9;28672,8;85044,1;252401,3;378712,0;469958,6;517923,0;883308,1;1404111,5;1585833,1;2028443,0;2318223,0;3079045,6;4410767,1;5542275,3;6564455,7;8498539,1;6808387,9;8494621,8;9106986,2;10204505,8;10411927,8;11497947,1;9787221,1;9942260,5;10507927,4;
Субсидии на производство и импорт                 (-);90,0;3257,3;10471,2;26640,9;82547,0;92897,2;113688,8;98035,3;125192,6;155627,5;183250,6;181199,2;205705,4;203595,1;162407,7;155563,8;230138,8;280117,0;333869,4;275454,3;359982,9;373817,0;349608,3;493706,9;516719,3;521404,4;553138,9;
"Доходы от собственности, полученные от ""остального мира""";;673,6;2262,5;6211,7;18169,2;20874,0;23699,0;29364,8;81835,6;120196,0;179304,6;154463,8;316803,3;310107,0;442524,8;755652,0;1143329,1;1432388,3;948733,9;1023993,7;1139068,4;1363537,4;1205893,0;1622955,0;2070853,7;2460666,6;2584066,3;
Использование;1398,5;19679,1;173772,0;616708,4;1445305,2;2026641,0;2364236,9;2658220,2;4910508,4;7433342,2;9126673,1;10991181,3;13520752,2;17329843,6;22017851,4;27560158,8;34204936,6;42354172,6;39475844,3;47073765,9;61142048,6;69158828,5;73919260,5;80441480,3;85150730,8;88465855,8;94488397,4;
"Доходы от собственности, переданные ""остальному миру""";;1057,6;4905,0;11322,5;32587,7;47717,0;72191,3;143790,8;278550,3;316788,8;306734,2;367331,9;713955,5;670883,3;947091,0;1439441,8;1740978,8;2287726,4;1929722,1;2243073,0;2628320,2;3100457,7;3331895,6;3815331,9;3933121,8;4591941,9;4750504,5;
Валовой национальный доход;1398,5;18621,5;168867,0;605385,9;1412717,5;1978924,0;2292045,6;2514429,4;4631958,1;7116553,4;8819938,9;10623849,4;12806796,7;16658960,3;21070760,4;26120717,0;32463957,8;40066446,2;37546122,2;44830692,9;58513728,4;66058370,8;70587364,9;76626148,4;81217609;83873913,9;89737892,9;
"Счет вторичного распределения доходов (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресурсы ;1398,5;19209,0;170588,9;606339,1;1416789,1;1982951,5;2294417,6;2517593,5;4661755,3;7139265,6;8841679,2;10676628,4;12884087,8;16763703,5;21197883,2;26294288,7;32678914,2;40336972,5;37828074,0;45133138,0;58918106,5;66569848,9;71139577,9;77297725,0;81821157,1;84448277,5;90333191,7;
