Выдано патентов на изобретения1),,,"27,757","40,263","31,556","33,574","45,975","23,762","19,508","17,592","16,292","18,114","24,726","23,191","23,390","23,299","23,028","28,808","34,824","30,322","29,999","32,880","31,638","33,950","34,706","33,536","34,254","35,774","34,008","28,788","23,662","23,315","23,371","21,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Число действующих патентов 
на изобретения1)",,,"44,321","60,321","76,186","109,467","155,247","173,081","191,129","144,325","149,684","102,568","106,717","108,721","123,089","123,882","129,910","147,067","170,264","181,904","168,558","181,515","194,248","208,320","218,974","230,870","244,321","256,419","263,688","266,189","264,587","259,020","250,066","243,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Число созданных (разработанных) передовых производственных технологий2), единиц",,,,,,,996,736,711,688,637,727,821,676,637,735,780,787,789,864,1138,1323,1429,1409,1398,1534,"1,402","1,565","1,620","1,989","2,186","2,621","2,743","2,725",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Число используемых передовых производственных технологий2), единиц",,,,,,,"55,452","58,706","62,390","70,069","80,012","93,412","107,015","119,639","140,983","168,311","180,324","184,374","201,586","203,330","191,650","191,372","193,830","204,546","218,018","232,388","240,054","254,927","262,645","242,931","256,582","269,541","278,632","296,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Число соглашений по экспорту технологий4),,,,,,,,,,"1,094","1,178","1,320","1,480","1,688","1,682","1,900","1,825","1,863","1,766","1,867","1,670","1,810","1,914","2,061","2,236","2,182","2,757","3,033","4,196","5,349","6,783",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Число соглашений по импорту технологий4),,,,,,,,,,566,717,800,954,"1,112","1,426","1,675","1,524","1,733","1,649","1,943","1,979","2,330","2,637","2,842","2,986","3,449","4,358","4,914","5,518","5,775","6,701",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Стоимость предмета соглашения 
по экспорту технологий, млн руб.3)",,,,,,,,,,"11,926.9","18,887.2","26,431.0","23,631.7","31,069.1","35,919.5","43,067.2","53,749.0","65,052.9","67,100.0","85,473.7","86,433.3","108,232.2","115,710.0",-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Стоимость предмета соглашения 
по экспорту технологий, млн долл.США4)",,,,,,,,,,"1,071.9","1,319.2","1,548.6","1,418.2","1,617.5","1,800.3","2,097.3","2,576.2","3,034.5","3,008.8","3,781.5","3,716.3","4,503.6","4,701.2","8,991.6","13,703.8","27,981.5","26,415.5","32,368.9","66,565","50,846","40,849",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Стоимость предмета соглашения 
по импорту технологий, млн руб.3)",,,,,,,,,,"11,854.3","33,245.4","56,759.9","40,207.5","53,933.3","65,496.3","57,542.3","65,116.5","97,886.7","94,018.7","87,187.1","130,420.5","148,393.0","211,539.7",-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Стоимость предмета соглашения 
по импорту технологий, млн долл. США4)",,,,,,,,,,454.6,"1,286.9","1,932.9","1,449.4","1,816.0","2,365.8","2,077.5","2,470.1","3,753.2","3,427.3","3,167.1","4,709.3","5,015.1","6,877.0","7,724.6","13,496.7","14,146.5","17,676.4","16,470.5","12,323","13,732","19,846",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Поступление средств по экспорту технологий за год, млн руб.3)",,,,,,,,,,"5,737.7","7,063.4","6,618.0","7,254.5","10,937.8","11,077.0","14,370.3","15,935.8","21,673.8","19,264.3","19,066.1","17,413.2","21,243.7","24,633.3",-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
