,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,
5) С 2016 г. данные не разрабатываются.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6) С 2023 года данные не формируются в связи с отменой формы федерального статистического наблюдения № 3-собес,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Общее образование1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Число организаций, осуществляющих образовательную деятельность 
по образовательным программам начального, основного и среднего общего образования2)","69,947","70,499","70,355","70,464","70,782","70,572","70,166","69,613","69,292","68,804","68,594","67,431","66,207","64,908","63,174","61,028","57,992","55,792","53,102","50,793","48,342","46,881","45,419","44,846","43,374","42,621","41,958","41,349",…,…,…,…,…,…,,,,,,
"Число государственных и муниципальных общеобразовательных организаций 
(без вечерних (сменных) общеобразовательных организаций)3)","67,891","68,270","68,110","68,187","68,445","68,259","67,862","67,321","66,943","66,428","66,171","64,979","63,759","62,474","60,771","58,669","55,710","53,568","50,977","48,804","46,459","45,031","43,716","43,228","41,906",…,…,…,…,…,…,…,…,…,,,,,,
Число частных общеобразовательных организаций3),,286,368,447,525,540,570,568,607,635,662,683,707,708,726,719,697,691,680,665,687,715,720,751,781,…,…,…,…,…,…,…,…,…,,,,,,
Число государственных и муниципальных вечерних (сменных) общеобразовательных организаций3),"2,056","1,943","1,877","1,830","1,812","1,773","1,734","1,724","1,742","1,741","1,761","1,769","1,741","1,726","1,677","1,640","1,585","1,533","1,445","1,324","1,196","1,135",983,867,687,…,…,…,…,…,…,…,…,…,,,,,,
"Численность обучающихся по образовательным программам начального, основного и среднего общего образования, тыс. человек","20,936.3","21,010.5","21,081.2","21,612.0","22,039.0","22,202.9","22,212.4","21,970.3","21,369.0","20,553.2","19,909.0","18,918.4","17,797.5","16,630.7","15,631.1","14,787.8","14,174.5","13,825.1","13,690.1","13,642.4","13,737.8","13,804.5","13,877.4","14,398.7","14,770.2","15,219.0","15,705.9","16,137.3","16,565.5","16,893.7","17,314.2","17,745.0","17,997.3","17,988.1",,,,,,
"Численность обучающихся 
в государственных и муниципальных общеобразовательных организациях 
(без вечерних (сменных) общеобразовательных организаций)3), 
тыс. человек","20,427","20,503","20,564","21,104","21,521","21,682","21,683","21,429","20,826","20,013","19,363","18,372","17,254","16,098","15,113","14,291","13,695","13,363","13,258","13,244","13,362","13,445","13,548","14,092","14,492",...,...,...,…,…,…,…,…,…,,,,,,
"Численность обучающихся в частных общеобразовательных организациях3), 
тыс. человек",,20.6,32.6,39.5,45.8,46.9,50.5,50.2,53.4,60.6,65.9,68.0,68.7,70.2,72.3,71.3,71.3,73.2,71.2,73.5,83.5,91.9,94.9,99.9,104.5,...,...,"15,705.9",…,…,…,…,…,…,,,,,,
"Численность обучающихся 
в государственных и муниципальных вечерних (сменных) общеобразовательных организациях3), тыс. человек",509,486.9,484.6,468.5,472.2,474.0,478.9,491.1,489.6,479.6,480.1,478.4,474.8,462.5,445.8,425.5,408.2,388.9,360.5,324.7,292.0,267.2,234.3,207.1,174.0,...,...,...,…,…,…,…,…,…,,,,,,
"Численность учителей в организациях, осуществляющих образовательную деятельность по образовательным програмам начального, основного 
и среднего общего образования4), 
тыс. человек","1,556.2","1,615.1","1,683.2","1,726.3","1,750.1","1,811.5","1,814.1","1,811.4","1,803.4","1,769.0","1,737.9","1,720.9","1,686.1","1,635.5","1,596.6","1,537.8","1,487.2","1,427.9","1,115.1","1,079.0","1,060.4","1,054.8","1,056.2","1,076.2","1,077.2","1,074.1","1,079.9","1,082.8","1,083.3","1,087.3","1,083.4","1,079.6","1,074.7","1,069.0",,,,,,
"Численность учителей в государственных 
и муниципальных общеобразовательных организациях (без вечерних (сменных) общеобразовательных организаций)3);4), тыс. человек ","1,497","1,561","1,624","1,666","1,687","1,746","1,748","1,744","1,733","1,696","1,662","1,641","1,605","1,555","1,517","1,461","1,412","1,356","1,086","1,053","1,035","1,029","1,032","1,052","1,055",...,...,...,...,...,...,...,...,...,,,,,,
"Численность учителей в частных общеобразовательных организациях2);3), тыс. человек",,4.1,9.2,11.6,13.8,14.6,15.6,16.0,16.9,18.2,19.2,20.1,20.6,21.1,21.4,21.1,20.7,20.5,12.0,11.9,13.7,14.1,14.5,15.2,15.5,...,...,...,...,...,...,...,...,...,,,,,,
"Численность учителей в государственных 
и муниципальных вечерних (сменных) общеобразовательных организациях3);4), тыс. человек",58.9,50.0,50.0,48.7,49.3,50.9,50.5,51.4,53.5,54.8,56.7,59.8,60.5,59.4,58.2,55.7,54.5,51.4,16.6,14.2,12.1,11.3,10.0,8.7,7.2,...,...,...,...,...,...,...,...,...,,,,,,
"Число государственных и муниципальных общеобразовательных организаций 
для обучающихся и воспитанников 
с ограниченными возможностями здоровья3)","1,861","1,866","1,875","1,879","1,906","1,920","1,936","1,961","1,985","2,001","2,011","2,037","2,032","2,035","2,015","1,983","1,960","1,943","2,042","2,035","1,999","1,959","1,909","1,900","1,806",...,...,...,...,...,...,...,...,...,,,,,,
"Численность обучающихся 
в государственных и муниципальных общеобразовательных организациях 
для обучающихся и воспитанников 
с ограниченными возможностями здоровья3), тыс. человек",376,400,403,426,446,473,487,499,505,514,504,486,467,450,430,407,382,364,361,348,341,341,340,343,346,...,...,...,...,...,...,...,...,...,,,,,,
"Численность обучающихся, получивших аттестат об основном  общем образовании, тыс. человек","1,894","1,907","1,878","1,881","1,918","1,987","2,073","2,219","2,221","2,200","2,265","2,422","2,282","2,135","1,944","1,668","1,478","1,343","1,234","1,354","1,322","1,250","1,220","1,223","1,198","1,234","1,283","1,365","1,411","1,474","1,399","1,420","1,539","1,606",,,,,,
"Численность обучающихся, получивших аттестат о среднем общем образовании, тыс. человек","1,081","1,050",986,995,"1,045","1,105","1,159","1,254","1,346","1,458","1,473","1,477","1,519","1,546","1,466","1,365","1,246","1,088",887,783,703,765,735,701,648,635,621,648,659,688,681,632,613,593,,,,,,
"Численность обучающихся государственных и муниципальных общеобразовательных организаций 
(без вечерних (сменных) общеобразовательных организаций), получивших аттестат о среднем общем образовании3), тыс. человек",959,941,889,892,932,987,"1,037","1,122","1,207","1,317","1,326","1,333","1,371","1,394","1,312","1,214","1,105",959,810,720,640,709,684,653,608,...,...,...,...,...,...,...,...,...,,,,,,
"Численность обучающихся частных общеобразовательных организаций, получивших аттестат о среднем общем образовании3), тыс. человек",,,1,1,2,2,3,3,4,5,6,6,7,7,8,7,6,6,5,4,5,6,6,6,6,...,...,...,...,...,...,...,...,...,,,,,,
"Численность обучающихся государственных и муниципальных вечерних (сменных) общеобразовательных организаций, получивших аттестат 
о среднем общем образовании3), тыс. человек",122,109,96,102,111,116,119,129,135,136,141,138,141,145,146,144,135,123,71,59,58,50,45,42,34,...,...,...,...,...,...,...,...,...,,,,,,
____________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) С 2011 г. - по данным  Минпросвещения России.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) С 2019 г. временной ряд закрыт.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) С 2016 г. данные не разрабатываются.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) С 2009 г. - без руководящих работников и внешних совместителей.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Среднее профессиональное образование 
по программам подготовки квалифицированных рабочих, служащих1);2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Число профессиональных образовательных организаций, осуществляющих подготовку квалифицированных рабочих, служащих3) ","4,321","4,269","4,273","4,203","4,166","4,114","4,050","3,954","3,911","3,893","3,872","3,843","3,798","3,686","3,392","3,209","3,180","2,855","2,658","2,356","2,040","1,719","1,271","1,201",747,...,…,…,…,…,…,…,…,…,,,,,,
"Численность студентов обучающихся 
по программам подготовки квалифицированных рабочих, служащих, тыс.человек","1,841.5","1,773.2","1,741.6","1,699.1","1,689.5","1,670.4","1,667.4","1,675.8","1,694.1","1,679.3","1,648.7","1,651.1","1,649.4","1,603.8","1,509.4","1,412.7","1,256.1","1,115.2","1,035.2","1,006.6",921.0,838.0,774.2,727.3,686.1,547.6,543.2,542.1,543.4,576.5,577.7,576.7,577.2,585.7,,,,,,
"Принято студентов  на обучение 
по программам подготовки квалифицированных рабочих, служащих, тыс.человек","1,234.5","1,095.5","1,007.1",949.0,928.1,898.6,884.5,892.6,886.3,844.9,836.9,842.4,823.1,782.5,687.8,630.3,586.1,540.7,542.5,609.4,532.5,483.5,451.3,415.6,395.6,208.0,205.5,207.1,209.7,213.8,206.9,209.5,212.1,219.5,,,,,,
"Выпущено квалифицированных рабочих, служащих, тыс.человек","1,140.8","1,039.2",921.5,877.9,840.6,821.3,799.6,784.8,769.6,762.8,758.6,745.3,721.5,708.0,702.5,679.7,656.0,604.7,537.6,580.5,516.7,483.5,436.0,403.0,368.2,184.3,181.1,168.6,165.5,142.5,158.1,161.2,167.8,163.6,,,,,,
___________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) С 2012 г. - по данным Минпросвещения России. C 2016 г.  - без профессиональных образровательных организаций ФСИН и специальных профессиональных образовательных организаций.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) С 2005 г. - включая образовательные организации высшего и среднего профессионального образования, реализующие программы начального профессионального образования; с 2010 г. - включая обучающихся на договорной основе.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) С 1 июля 2016 г. образовательные учреждения начального профессионального образования переименованы в профессиональные образовательные организации.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Среднее профессиональное образование 
по программам подготовки специалистов среднего звена1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Число образовательных организаций, осуществляющих образовательную деятельность по программам подготовки специалистов среднего звена2) ","2,605","2,609","2,607","2,574","2,634","2,649","2,653","2,631","2,649","2,703","2,684","2,816","2,809","2,805","2,905","2,847","2,799","2,784","2,866","2,850","2,925","2,981","2,709","2,909","2,891","3,660","3,682","3,659",…,…,…,…,…,…,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,…,…,,,,,,
государственных и муниципальных,"2,605","2,609","2,607","2,574","2,612","2,608","2,593","2,584","2,576","2,589","2,595","2,626","2,627","2,637","2,688","2,631","2,566","2,535","2,564","2,586","2,665","2,725","2,494","2,665","2,645","3,290","3,287","3,250",…,…,…,…,…,…,,,,,,
частных,,,,,22,41,60,47,73,114,89,190,182,168,217,216,233,249,302,264,260,256,215,244,246,370,395,409,…,…,…,…,…,…,,,,,,
"Численность студентов обучающихся 
по программам подготовки специалистов  среднего звена, тыс. человек","2,201.9","2,089.9","1,993.8","1,870.9","1,929.9","1,986.3","2,029.9","2,068.2","2,175.6","2,360.8","2,470.2","2,585.5","2,612.1","2,599.6","2,590.7","2,514.0","2,408.2","2,244.1","2,142.1","2,125.7","2,081.7","2,087.1","1,984.3","2,103.1","2,180.2","2,304.3","2,387.6","2,464.3","2,576.2","2,759.8","2,856.2","2,983.1","3,133.9","3,264.9",,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
государственных и муниципальных,"2,201.9","2,089.9","1,993.8","1,870.9","1,923.3","1,975.8","2,011.1","2,051.6","2,147.3","2,308.6","2,409.9","2,488.5","2,501.6","2,503.6","2,473.0","2,388.9","2,288.5","2,136.1","2,052.3","2,026.8","1,984.0","1,984.4","1,858.4","1,963.3","2,031.3","2,136.6","2,210.0","2,264.6","2,343.6","2 470,1","2,517.6","2,593.5","2,679.7","2,750.3",,,,,,
частных,,,,,6.6,10.5,18.8,16.6,28.3,52.2,60.4,97.0,110.5,96.0,117.7,125.2,119.7,108.0,89.8,98.9,97.7,102.7,126.0,139.8,148.9,167.7,177.6,199.7,232.7,289.8,338.6,389.6,454.2,514.6,,,,,,
"Принято студентов на обучение 
по программам подготовки специалистов среднего звена, тыс. человек ",732.3,651.7,643.8,629.6,668.8,667.8,694.4,714.2,781.5,867.2,877.7,901.1,905.5,890.2,854.1,798.8,770.7,703.0,694.4,705.3,659.6,656.2,637.7,672.8,699.3,726.5,743.9,783.0,832.4,900.2,870.9,942.7,"1,006.9","1,044.5",,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
государственных и муниципальных,732.3,651.7,643.8,629.6,664.6,662.0,684.6,706.5,766.5,842.4,850.8,860.7,861.9,852.5,810.9,756.2,730.3,670.1,666.6,671.8,628.8,620.8,591.3,618.4,639.8,664.1,675.3,703.1,736.7,775.8,747.2,797.3,838.3,860.2,,,,,,
частных,,,,,4.3,5.8,9.8,7.7,15.0,24.8,26.9,40.4,43.6,37.7,43.2,42.6,40.4,33.0,27.7,33.5,30.8,35.4,46.4,54.4,59.5,62.4,68.6,79.9,95.7,124.4,123.7,145.4,168.6,184.3,,,,,,
"Выпущено специалистов среднего звена, тыс. человек ",623.2,585.3,546.1,531.7,474.0,496.4,542.2,549.0,569.7,579.3,608.6,669.7,701.3,702.7,684.4,699.5,698.5,671.1,630.9,572.1,518.0,486.3,439.0,451.0,445.9,468.9,506.8,531.5,539.8,552.8,573.8,612.5,650.6,688.0,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
государственных и муниципальных,623.2,585.3,546.1,531.7,473.0,494.0,537.9,544.8,563.2,567.7,593.2,646.4,670.7,674.7,651.4,657.9,657.0,631.7,593.9,535.7,484.2,454.9,404.0,418.0,410.9,429.5,462.5,484.7,492.0,501.2,512.8,538.8,566.1,590.6,,,,,,
частных,,,,1.0,1.0,2.4,4.3,4.2,6.5,11.6,15.4,23.3,30.6,28.0,33.0,41.6,41.5,39.5,37.0,36.5,33.8,31.4,35.0,33.0,35.0,39.4,44.4,46.9,47.9,51.6,61.0,73.8,84.5,97.4,,,,,,
_______________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) С 2013 г. - по данным Минпросвещения России. C 2016 г.  - без профессиональных образровательных организаций ФСИН и специальных профессиональных образовательных организаций.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) С 2019 г.  временной ряд закрыт. До 2016 г. - число профессиональных образовательных организаций. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Высшее образование1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Число образовательных организаций, высшего образования и научных организаций, осуществляющих образовательную деятельность 
по программам бакалавриата, специалитета, магистратуры2)",519,535,626,710,762,817,880,914,939,965,1008,1039,1044,1071,1068,1090,1108,1134,1114,1115,1080,1046,969,950,896,818,766,741,…,…,…,…,…,…,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,…,…,,,,,,
государственных и муниципальных,519,535,548,553,569,573,578,580,590,607,621,655,652,662,655,660,658,660,662,653,634,609,578,548,530,502,500,496,…,…,…,…,…,…,,,,,,
частных,,,78,157,193,244,302,334,349,358,387,384,392,409,413,430,450,474,452,462,446,437,391,402,366,316,266,245,…,…,…,…,…,…,,,,,,
"Численность студентов обучающихся 
по программам бакалавриата, специалитета, магистратуры, тыс. человек","2,762.8","2,638.0","2,612.8","2,644.6","2,790.7","2,964.9","3,248.3","3,597.9","4,073.0","4,741.4","5,426.9","5,947.5","6,455.7","6,884.2","7,064.6","7,309.8","7,461.3","7,513.1","7,418.8","7,049.8","6,490.0","6,075.4","5,646.7","5,209.0","4,766.5","4,399.5","4,245.9","4,161.7","4,068.3","4,049.3","4,044.2","4,130.0","4,325.3","4,431.7",,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
в государственных и муниципальных,"2,762.8","2,638.0","2,542.9","2,534.0","2,655.2","2,802.4","3,046.5","3,347.2","3,728.1","4,270.8","4,797.4","5,228.7","5,596.2","5,860.1","5,985.3","6,133.1","6,208.4","6,214.8","6,135.6","5,848.7","5,453.9","5,145.3","4,762.0","4,405.5","4,061.4","3,873.8","3,823.1","3,782.5","3,736.3","3,715.1","3,690.1","3,744.6","3,836.4",3902.8,,,,,,
в частных,,,69.9,110.6,135.5,162.5,201.8,250.7,344.9,470.6,629.5,718.8,859.5,"1,024.1","1,079.3","1,176.8","1,252.9","1,298.3","1,283.3","1,201.1","1,036.1",930.1,884.7,803.5,705.1,525.7,422.8,379.1,332.0,334.2,354.1,385.4,488.9,528.9,,,,,,
"Принято студентов на обучение 
по программам высшего образования, 
тыс. человек ",565.9,520.7,590.7,626.5,681.0,729.2,814.6,912.9,"1,059.0","1,292.5","1,461.6","1,503.9","1,643.4","1,659.1","1,640.5","1,657.6","1,681.6","1,641.7","1,544.2","1,399.5","1,207.4","1,298.2","1,246.5","1,191.7","1,221.8","1,157.8","1,142.0","1,147.9","1,129.4","1,093.3","1,129.1","1,201.5","1,287.6",1298.1,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
в государственные и муниципальные,565.9,520.7,543.5,567.7,628.6,674.3,748.3,831.8,946.4,"1,140.3","1,263.4","1,299.9","1,411.7","1,384.5","1,372.5","1,376.7","1,384.0","1,362.7","1,329.6","1,195.4","1,057.7","1,111.6","1,066.8","1,020.8","1,049.6","1,038.2","1,034.3","1,041.6","1,027.0",983.1,"1,010.3","1,069.7","1,108.0",1104.1,,,,,,
в частные,,,47.2,58.8,52.4,54.9,66.3,81.1,112.6,152.2,198.2,204.0,231.7,274.6,268.0,280.9,297.6,279.0,214.6,204.0,149.7,186.6,179.7,170.9,172.2,119.6,107.7,106.4,102.4,110.3,118.8,131.9,179.6,194.0,,,,,,
"Выпущено бакалавров, специалистов, магистров, тыс. человек ",406.8,425.3,445.0,409.9,403.2,428.2,457.7,500.8,554.8,635.1,720.2,840.4,976.9,"1,076.6","1,151.7","1,255.0","1,335.5","1,358.5","1,442.3","1,467.9","1,442.9","1,397.3","1,291.0","1,226.2","1,300.5","1,161.1",969.5,933.2,908.6,849.4,813.3,816.3,805.9,827.6,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
из государственных и муниципальных,406.8,425.3,443.6,406.5,395.5,415.1,436.2,470.6,514.6,578.9,647.8,753.1,860.2,930.4,978.4,1055.9,1108.9,"1,125.3","1,166.9","1,177.8","1,157.3","1,125.4","1,060.0","1,017.7","1,110.0",972.4,823.3,811.7,800.4,767.5,735.4,725.0,717.1,725.2,,,,,,
из частных,,,1.4,3.4,7.7,13.1,21.5,30.2,40.2,56.2,72.4,87.3,116.7,146.2,173.3,199.1,226.6,233.2,275.5,290.1,285.6,271.9,231.0,208.4,190.5,188.7,146.2,121.4,108.2,81.9,77.9,89.6,88.8,102.4,,,,,,
_____________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) С 2013 г. - по данным Минобрнауки России.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) С 2019 г. временной ряд закрыт. До 2016 г. - число образовательных организаций высшего образования.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Подготовка научных кадров,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Число организаций, ведущих подготовку аспирантов1)","1,276","1,296","1,338","1,332","1,334","1,323","1,332","1,338","1,357","1,362","1,393","1,416","1,441","1,452","1,473","1,493","1,490","1,529","1,547","1,568","1,570","1,575","1,557","1,519","1,446","1,359","1,284","1,223",…,…,…,…,…,…,,,,,,
"Численность аспирантов, человек","59,314","51,915","50,296","53,541","62,317","74,944","88,243","98,355","107,031","117,714","128,420","136,242","140,741","142,662","142,899","146,111","147,719","147,674","154,470","157,437","156,279","146,754","132,002","119,868","109,936","98,352","93,523","90,823","84,265","87,751","90,156","109,705","121,555","125,947",,,,,,
"Прием в аспирантуру, человек",,"13,865","16,507","19,416","24,025","29,012","32,670","34,351","37,666","43,100","45,241","46,935","47,803","47,687","46,896","50,462","51,633","49,638","55,540","54,558","50,582","45,556","38,971","32,981","31,647","26,421","26,081","27,008","24,912","27,710","27,992","45,075","40,056","35,661",,,,,,
"Выпуск из аспирантуры, человек","16,322","14,857","13,432","12,292","11,369","11,931","14,135","17,972","21,982","24,828","25,696","28,101","30,799","32,595","33,561","35,530","35,747","33,670","34,235","33,763","33,082","35,162","34,733","28,273","25,826","25,992","18,069","17,729","15,453","13,957","14,326","13,865","14,146","15,879",,,,,,
"Выпуск из аспирантуры с защитой диссертации, человек","3,105","3,135","3,198","2,712","2,609","2,881","3,553","4,691","5,953","7,503","6,172","7,411","8,378","10,256","10,650","11,893","10,970","8,831","10,770","9,611","9,635","9,195","8,979","5,189","4,651","3,730","2,320","2,198","1,629","1,245","1,500","1,791","1,584","1,673",,,,,,
"Численность ординаторов, человек 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,990","55,753","58,610","64,025","67,669","71,387",,,,,,
"Прием в ординатуру, человек2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,819","29,036","30,759","34,756","34,759","36,929",,,,,,
"Выпуск из ординатуры, человек2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,344","24,060","26,487","27,425","27,816","31,616",,,,,,
"Численность ассистентов-стажеров, человек2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,828,"1,013","1,224","1,255","1,597","1,625",,,,,,
"Прием в ассистентуру-стажировку, человек2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,533,640,645,768,766,,,,,,
"Выпуск из ассистентуры-стажировки, человек2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,353,412,468,558,702,,,,,,
"Число организаций, ведущих подготовку докторантов",312,338,452,351,384,398,422,452,476,492,510,531,543,533,535,548,579,593,598,602,608,597,585,478,437,385,223,213,…,…,…,…,…,…,,,,,,
