в процентах к предыдущему году",,84,86.3,78.4,95.4,92.4,101.0,95.2,108.9,108.7,102.9,103.1,108.9,108.0,105.1,106.3,106.8,100.6,89.3,107.3,105.0,103.4,100.4,102.5,100.2,101.8,103.7,103.5,103.4,97.9,106.3,100.7,104.3,105.6,,,,,,,,,
"Индексы производства по видам экономической деятельности разделов2) 
(в процентах к предыдущему году)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Материалы строительные нерудные,,,,,,,,,,,,,,,,,,,,51,54,61,61,58,53,55,,,,,,,,,,,,,,,,,
Мясо и субпродукты пищевые убойных животных и домашней птицы,,,,,,,,,,,,,,,,,,,,66,70,69,66,67,74,76,,,,,,,,,,,,,,,,,
Изделия колбасные,,,,,,,,,,,,,,,,,,,,64,62,59,56,57,56,59,,,,,,,,,,,,,,,,,
Консервы мясные (мясосодержащие),,,,,,,,,,,,,,,,,,,,48,51,51,53,53,49,40,,,,,,,,,,,,,,,,,
Плодоовощные консервы ,,,,,,,,,,,,,,,,,,,,34,49,57,55,59,60,56,,,,,,,,,,,,,,,,,
Масла растительные нерафинированные4),,,,,,,,,,,,,,,,,,,,65,58,73,68,70,62,61,,,,,,,,,,,,,,,,,
"Цельномолочная продукция 
(в пересчете на молоко)",,,,,,,,,,,,,,,,,,,,57,56,59,59,59,61,59,,,,,,,,,,,,,,,,,
Масло сливочное и пасты масляные,,,,,,,,,,,,,,,,,,,,28,31,30,31,35,36,35,,,,,,,,,,,,,,,,,
Сыры и продукты сырные,,,,,,,,,,,,,,,,,,,,63,63,62,59,64,66,64,,,,,,,,,,,,,,,,,
Продукты молочные сгущенные,,,,,,,,,,,,,,,,,,,,58,55,63,60,62,60,59,,,,,,,,,,,,,,,,,
"Мука из зерновых культур, овощных 
и других растительных культур; 
смеси из них",,,,,,,,,,,,,,,,,,,,47,47,47,46,47,50,51,,,,,,,,,,,,,,,,,
Крупы,,,,,,,,,,,,,,,,,,,,34,29,32,33,34,30,39,,,,,,,,,,,,,,,,,
Хлеб и хлебобулочные изделия,,,,,,,,,,,,,,,,,,,,41,41,40,41,41,43,45,,,,,,,,,,,,,,,,,
Сахар белый свекловичный в твердом состоянии,,,,,,,,,,,,,,,,,,,,91,89,86,91,85,89,96,,,,,,,,,,,,,,,,,
Макаронные изделия,,,,,,,,,,,,,,,,,,,,67,65,62,59,62,63,60,,,,,,,,,,,,,,,,,
Кондитерские изделия,,,,,,,,,,,,,,,,,,,,62,61,62,63,63,59,59,,,,,,,,,,,,,,,,,
"Пиво, кроме отходов пивоварения5)",,,,,,,,,,,,,,,,,,,,61,62,62,57,56,53,56,,,,,,,,,,,,,,,,,
Безалкогольные напитки,,,,,,,,,,,,,,,,,,,,46,40,34,31,32,33,29,,,,,,,,,,,,,,,,,
Воды минеральные,,,,,,,,,,,,,,,,,,,,53,49,50,48,45,45,47,,,,,,,,,,,,,,,,,
Ткани хлопчатобумажные суровые,,,,,,,,,,,,,,,,,,,,62,57,60,64,63,62,64,,,,,,,,,,,,,,,,,
Ткани шерстяные готовые,,,,,,,,,,,,,,,,,,,,26,25,26,29,26,24,23,,,,,,,,,,,,,,,,,
Ткани из синтетических волокони нитей (включая штапельные) готовые,,,,,,,,,,,,,,,,,,,,44,36,42,57,72,78,73,,,,,,,,,,,,,,,,,
Обувь,,,,,,,,,,,,,,,,,,,,69,69,58,59,58,48,53,,,,,,,,,,,,,,,,,
"Лесоматериалы, продольно распиленные или расколотые, разделенные на слои или лущеныые, толщиной более 6 мм; шпалы железнодорожные или трамвайные деревянные, непропитанные",,,,,,,,,,,,,,,,,,,,52,51,43,44,49,51,57,,,,,,,,,,,,,,,,,
"Фанера клееная, состоящая только 
из листов древесины",,,,,,,,,,,,,,,,,,,,81,83,80,81,82,82,87,,,,,,,,,,,,,,,,,
