в процентах к предыдущему году",,84,86.3,78.4,95.4,92.4,101.0,95.2,108.9,108.7,102.9,103.1,108.9,108.0,105.1,106.3,106.8,100.6,89.3,107.3,105.0,103.4,100.4,102.5,100.2,101.8,103.7,103.5,103.4,97.9,106.3,100.7,104.3,105.6,,,,,,,,,
"Индексы производства по видам экономической деятельности разделов2) 
(в процентах к предыдущему году)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Плиты древесностружечные 
и аналогичные плиты из древесины 
или других одревесневших материалов, тыс. условных м3",,,,,,,,,,,,,,,,,,,,,,,,,,,"8,270","10,112","10,012","9,953","11,524","10,428","11,482","11,773",,,,,,,,,
"Плиты древесноволокнистые 
из древесины или других одревесневших материалов, млн  условных м2",,,,,,,,,,,,,,,,,,,,,,,,,,,599,666,691,648,739,658,699,713,,,,,,,,,
Производство целлюлозно-бумажной продукции ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Целлюлоза (по варке), тыс. т","6,400","5,676","4,403","3,314","4,197","3,075","3,164","3,210","4,225","4,960","5,272","5,579","5,764","5,922","6,001","6,008","5,973","5,913","5,487",,,,,,,,,,,,,,,,,,,,,,,,
"Бумага, тыс. т","4,764.7","3,608.1","2,884.5","2,216.1","2,772.6","2,302.0","2,225.8","2,453.1","2,968.4","3,326.4","3,442.3","3,551.8","3,681.6","3,903.2","4,001.0","4,037.9","4,083.9","4,006.5","3,937.4",,,,,,,,,,,,,,,,,,,,,,,,
"Картон, тыс. т","2,619.2","2,156.7","1,606.6","1,195.6","1,300.6",921.8,"1,113.5","1,143.5","1,579.0","1,985.5","2,183.1","2,427.8","2,695.5","2,926.5","3,124.6","3,396.0","3,497.5","3,695.7","3,457.9",,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Целлюлоза древесная и целлюлоза из прочих волокнистых материалов, тыс. т",,,,,,,,,,,,,,,,,,,"7,229","7,510","7,661","7,658","7,211","7,537","7,875","8,208",,,,,,,,,,,,,,,,,
"Бумага, тыс. т",,,,,,,,,,,,,,,,,,,"4,513","4,688","4,784","4,782","4,765","5,051","5,073","5,274",,,,,,,,,,,,,,,,,
"Картон, тыс. т",,,,,,,,,,,,,,,,,,,"2,795","2,971","2,847","3,032","3,022","3,099","3,121","3,366",,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОКПД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Целлюлоза древесная и целлюлоза из прочих волокнистых материалов, тыс. т",,,,,,,,,,,,,,,,,,,,,,,,,,,"8,323","8,585","8,245","8,761","8,877","8,761","8,542","8,545",,,,,,,,,
"Бумага и картон, тыс. т",,,,,,,,,,,,,,,,,,,,,,,,,,,"8,733","9,148","9,150","9,718","10,404","10,135","10,102","10,661",,,,,,,,,
в том числе бумага газетная в рулонах или листах,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,438","1,528","1,516","1,312","1,148","1,080",957,930,,,,,,,,,
Производство нефтепродуктов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Первичная переработка нефти, млн  т",287,256,223,186,182,176,177,164,169,173,179,185,190,195,208,220,229,237,236,,,,,,,,,,,,,,,,,,,,,,,,
"Бензин, млн  т",46.7,42.3,36.9,31.1,32.8,31.2,32.0,28.9,31.6,32.8,34.6,37.5,38.9,40.4,45.1,47.7,50.5,51.8,51.6,,,,,,,,,,,,,,,,,,,,,,,,
"Автомобильный бензин, млн  т",38.8,35.3,30.1,26.8,28.1,26.8,27.2,25.9,26.2,27.2,27.6,29.0,29.3,30.5,32.0,34.4,35.1,35.6,35.8,,,,,,,,,,,,,,,,,,,,,,,,
"Дизельное топливо, млн  т",72.2,65.1,56.7,46.7,47.3,46.7,47.2,45.1,46.8,49.2,50.2,42.7,53.9,55.4,60.0,64.2,66.3,68.9,67.2,,,,,,,,,,,,,,,,,,,,,,,,
"Топочный мазут, млн  т",90.9,84.6,77.1,66.0,61.4,60.0,57.4,52.8,50.2,48.2,50.3,54.2,54.6,53.6,56.7,59.3,62.7,63.9,64.4,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Нефть, поступившая на переработку (первичная переработка нефти), млн  т",,,,,,,,,,,,,,,,,,,237,250,258,272,281,295,287,285,,,,,,,,,,,,,,,,,
"Бензин автомобильный, млн  т",,,,,,,,,,,,,,,,,,,35.8,36.0,36.7,38.2,38.8,38.3,39.2,40.0,,,,,,,,,,,,,,,,,
"Топливо дизельное, млн  т",,,,,,,,,,,,,,,,,,,67.3,70.0,70.3,69.4,71.6,77.0,76.0,76.2,,,,,,,,,,,,,,,,,
"Мазут топочный, млн  т",,,,,,,,,,,,,,,,,,,64.0,69.6,73.2,74.4,77.0,78.5,71.1,57.1,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОКПД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Нефть, поступившая на переработку (первичная переработка нефти)1), млн  т",,,,,,,,,,,,,,,,,,,,,,,,,,,284,292,290,275,285,277,…,…,,,,,,,,,
"Бензин автомобильный2), млн  т",,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,39.1,39.9,38.4,40.8,42.3,44.0,…,,,,,,,,,
"Топливо дизельное2), млн  т",,,,,,,,,,,,,,,,,,,,,,,,,,,76.8,77.5,78.4,77.8,80.4,84.7,88.2,…,,,,,,,,,
"Мазут топочный2), млн  т",,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,49.3,47.2,41.9,44.3,40.9,41.8,…,,,,,,,,,
________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) Информация о нефти не публикуется на основании распоряжения Правительства Российской Федерации от 26.04.2023 № 1074-р (ред. от 12.04.2025).
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Информация о производстве нефтепродуктов не публикуется на основании решения Правительства Российской Федерации, принятого в соответствии с частью 10 статьи 5 Федерального закона от 29.11.2007 № 282-ФЗ ""Об официальном статистическом учете и системе государственной статистики в Российской Федерации"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Производство химической продукции,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Минеральные удобрения 
(в пересчете на 100% питательных веществ), тыс.т","15,042","12,300","9,917","8,266","9,639","9,076","9,546","9,380","11,496","12,213","13,026","13,562","14,053","15,800","16,625","16,207","17,300","16,211","14,640",,,,,,,,,,,,,,,,,,,,,,,,
"Синтетические смолы и пластические массы, тыс. т","2,963","2,544","2,246","1,669","1,804","1,411","1,578","1,618","2,206","2,576","2,771","2,922","3,118","3,304","3,418","3,773","4,464","4,335","4,649",,,,,,,,,,,,,,,,,,,,,,,,
"Лакокрасочные материалы, тыс. т","1,914","1,241",936,618,579,526,537,500,537,575,628,606,597,698,721,829,991,959,811,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Удобрения минеральные или химические (в пересчете на 100% питательных веществ), тыс.т",,,,,,,,,,,,,,,,,,,"14,643","17,889","18,828","17,833","18,441","19,724","20,146","20,821",,,,,,,,,,,,,,,,,
"Пластмассы в первичных формах, тыс.т",,,,,,,,,,,,,,,,,,,"4,495","4,963","5,436","5,517","6,435","6,643","7,267","7,715",,,,,,,,,,,,,,,,,
"Материалы лакокрасочные 
и аналогичные для нанесения покрытий, красок и мастик полиграфических, тыс.т ",,,,,,,,,,,,,,,,,,,859,"1,076","1,136","1,188","1,253","1,281","1,215","1,328",,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОКПД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Пластмассы в первичных формах, тыс. т",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,805","8,250","8,702","10,198","11,139","10,329","10,800","10,953",,,,,,,,,
"Материалы лакокрасочные 
и аналогичные для нанесения покрытий, полиграфические краски и мастики, тыс. т",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,402","1,475","1,530","1,933","2,011","1,960","2,186","2,196",,,,,,,,,
"Удобрения минеральные или химические (в пересчете на 100% питательных веществ), тыс.т",,,,,,,,,,,,,,,,,,,,,,,,,,,"22,567","22,962","23,703","24,913","26,428","23,564","25,920","28,940",,,,,,,,,
"Производство резиновых 
и пластмассовых изделий",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Шины автомобильные 
для сельскохозяйственных машин, мотоциклов и мотороллеров, млн  шт.",44.8,41.8,36.5,19.8,18.8,21.2,24.7,23.5,28,29.9,33.7,35.8,38.6,39.5,41.4,40.4,43.3,38.4,28.3,,,,,,,,,,,,,,,,,,,,,,,,
"Трубы и детали трубопроводов 
из термопластов, тыс. т",94.8,68.4,38.9,22.7,28.2,31,33.9,39.2,44.1,50.7,61.7,59.6,65.2,75.4,114,161,215,266,221,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Шины, покрышки и камеры резиновые новые, млн  шт",,,,,,,,,,,,,,,,,,,33.0,43.6,50.2,50.6,50.9,52.4,57.6,60.1,,,,,,,,,,,,,,,,,
"Трубы, трубки, шланги, рукава 
и их фитинги полимерные, тыс. т",,,,,,,,,,,,,,,,,,,258,375,497,663,578,582,507,581,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОКПД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Шины, покрышки и камеры резиновые новых, млн  шт.",,,,,,,,,,,,,,,,,,,,,,,,,,,65.1,67.5,60.4,55.3,65.7,50.8,45.6,48.7,,,,,,,,,
"Трубы, трубки и шланги и их фитинги пластмассовые, тыс. т",,,,,,,,,,,,,,,,,,,,,,,,,,,590,619,635,671,906,"1,081","1,118","1,115",,,,,,,,,
Производство прочих неметаллических минеральных продуктов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Стеновые материалы, млрд  условных кирпичей",34.2,29.9,26.3,19.2,17.3,13.3,12.1,11.6,13.4,13.3,13.5,14,14.1,14.8,15.2,16.3,18.7,19.8,12.8,,,,,,,,,,,,,,,,,,,,,,,,
в том числе кирпич строительный,23.7,21.7,19,14.7,13.9,10.9,10.1,9.6,10.8,10.7,10.8,11,11,11.4,11.3,11.6,13.1,13.5,8.6,,,,,,,,,,,,,,,,,,,,,,,,
"Цемент, млн т",77.5,61.7,49.9,37.2,36.5,27.8,26.7,26,28.5,32.4,35.3,37.7,41,45.6,48.5,54.7,59.9,53.5,44.3,,,,,,,,,,,,,,,,,,,,,,,,
"Конструкции и изделия сборные 
и железобетонные, млн м3",75.1,58.6,50.4,33,28.1,20,16.6,14.7,15.8,18.3,19.8,20.1,21.1,22.6,23.2,25.6,29.1,28.8,17.7,,,,,,,,,,,,,,,,,,,,,,,,
"Листы асбесоцементные (шифер), 
млн условных плиток","5,023","4,517","3,249","1,413","1,666","1,266","1,263","1,268","1,693","1,800","1,722","1,895","1,932","1,969","1,938","2,007","1,844","1,412","1,221",,,,,,,,,,,,,,,,,,,,,,,,
"Трубы и муфты асбестоцементные, тыс.км условных труб",42.8,25,7,7.8,9.1,8.1,7.7,7.1,7.7,9.4,10.5,11.2,12.1,13.5,10.9,11.2,12.3,10.8,7.5,,,,,,,,,,,,,,,,,,,,,,,,
"Материалы мягкие кровельные 
и изоляционные, млн м2","1,024",810,617,475,416,322,327,328,373,419,442,423,422,459,494,522,701,701,541,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Портландцемент, цемент глиноземистый, цемент шлаковый и аналогичные цементы гидравлические, млн  т",,,,,,,,,,,,,,,,,,,44.3,50.4,56.2,61.7,66.5,69.1,62.1,54.9,,,,,,,,,,,,,,,,,
"Кирпич керамический неогнеупорный строительный, млрд усл.кирпичей",,,,,,,,,,,,,,,,,,,5.2,5.5,6.3,7.0,7.2,7.5,6.7,5.6,,,,,,,,,,,,,,,,,
"Кирпич строительный (включая камни) 
из цемента,бетона или искусственного камня, млрд усл.кирпичей",,,,,,,,,,,,,,,,,,,3.2,3.2,3.5,3.9,4.1,4.5,3.8,2.8,,,,,,,,,,,,,,,,,
"Блоки стеновые мелкие из ячеистого бетона, млрд усл.кирпичей",,,,,,,,,,,,,,,,,,,3.2,5.2,5.9,7.4,8.1,9.2,9.1,7.9,,,,,,,,,,,,,,,,,
"Блоки стеновые крупные 
(включая блоки стен подвалов) из бетона, млн усл.кирпичей",,,,,,,,,,,,,,,,,,,599,673,735,796,826,722,597,498,,,,,,,,,,,,,,,,,
"Конструкции и детали сборные железобетонные, млн м3",,,,,,,,,,,,,,,,,,,17.8,21.8,23.6,25.6,27.2,27.2,22.3,21.6,,,,,,,,,,,,,,,,,
"Листы асбестоцементные волнистые (гофрированные) (шифер), млн штук усл.плиток",,,,,,,,,,,,,,,,,,,"1,062","1,044",933,633,663,476,395,595,,,,,,,,,,,,,,,,,
"Трубы и муфты асбестоцементные, тыс.км условных труб",,,,,,,,,,,,,,,,,,,7.5,8.3,8.0,7.6,7.0,6.2,4.5,4.1,,,,,,,,,,,,,,,,,
"Материалы кровельные 
и гидроизоляционные рулонные 
из асфальта или аналогичных материалов (нефтяного  битума, каменноугольного пека и т.д.), млн м2",,,,,,,,,,,,,,,,,,,445,472,502,530,510,503,489,474,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОКПД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Портландцемент, цемент глиноземистый, цемент шлаковый и аналогичные гидравлические цементы, млн  т
",,,,,,,,,,,,,,,,,,,,,,,,,,,54.7,53.7,57.7,56.2,59.7,61.0,63.2,64.8,,,,,,,,,
"Кирпич керамический неогнеупорный строительный, млрд  условных кирпичей
",,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,5.6,5.8,5.2,5.2,5.8,5.4,5.4,,,,,,,,,
"Кирпич строительный (включая камни) 
из цемента, бетона 
или искусственного камня, 
млрд  условных кирпичей
",,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.4,2.4,2.2,2.3,2.4,2.0,1.9,,,,,,,,,
"Блоки стеновые силикатные,  
млрд усл. кирпичей",,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,5.2,5.0,4.7,5.3,4.8,5.1,5.6,,,,,,,,,
"Изделия аналогичные из цемента, бетона, или искусственного камня, 
млрд  усл. кирпичей",,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.5,2.3,1.9,1.5,1.6,1.6,2.0,,,,,,,,,
"Блоки и прочие изделия сборных строительных для зданий и сооружений 
из цемента, бетона или искусственного камня, млн  м3",,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,21.5,22.5,22.6,26.1,27.9,28.9,28.9,,,,,,,,,
"Листы асбестоцементные (шифер), 
млн  условных плиток",,,,,,,,,,,,,,,,,,,,,,,,,,,570,499,460,,,,,,,,,,,,,,
"Листы хризотилцементные волнистые (шифер), млн  условных плиток9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,327,293,214,198,,,,,,,,,
"Листы хризотилцементные плоские различного назначения, млн  условных плиток9) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,186,252,249,239,,,,,,,,,
"Трубы и муфты асбестоцементные, 
тыс. км условных труб",,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.1,2.7,2.3,2.1,2.3,2.3,2.4,,,,,,,,,
"Материалы  рулонные кровельные 
и гидроизоляционные, млн м2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,460,449,518,469,492,433,451,514,,,,,,,,,
Металлургическое производство,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Готовый прокат черных металлов, млн  т",55.1,46.8,42.7,35.9,39.0,38.9,38.8,35.2,40.9,46.7,46.9,48.5,50.7,53.7,54.7,58.2,59.6,56.7,50.8,,,,,,,,,,,,,,,,,,,,,,,,
"Трубы стальные, млн  т",10.5,8.1,5.8,3.6,3.8,3.5,3.5,2.8,3.3,5,5.4,5.2,6.1,6,6.7,7.9,8.7,7.8,6.7,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Готовый прокат черных металлов, млн  т",,,,,,,,,,,,,,,,,,,51.9,55.0,56.5,60.0,59.2,61.2,60.4,60.5,,,,,,,,,,,,,,,,,
"Трубы стальные, млн  т",,,,,,,,,,,,,,,,,,,6.7,9.2,10.0,9.7,10.1,11.3,11.4,10.4,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОПКД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Готовый прокат, млн  т",,,,,,,,,,,,,,,,,,,,,,,,,,,60.5,61.7,61.6,61.8,65.8,61.4,64.5,59.8,,,,,,,,,
"Трубы, профили пустотелые и их фитинги стальные, млн  т",,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,12.2,12.4,10.9,11.2,13.2,13.6,12.9,,,,,,,,,
"Производство машин 
и оборудования",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Турбины паровые, млн  кВт",7.8,5.9,5.1,4.8,3.7,2.4,2.5,1.2,1.1,1.3,0.5,3.1,1.8,2.1,2.4,2,1.6,3.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,
"Холодильники и морозильники бытовые, тыс. шт.","3,710","3,184","3,481","2,662","1,789","1,064","1,186","1,043","1,173","1,327","1,719","1,938","2,218","2,589","2,778","2,995","3,539","3,728","2,750",,,,,,,,,,,,,,,,,,,,,,,,
"Электропылесосы, тыс. шт.","4,707","4,319","3,657","1,553","1,001",691,610,450,745,745,762,787,721,715,889,584,649,"1,252",222,,,,,,,,,,,,,,,,,,,,,,,,
"Металлорежущие станки, тыс. шт.",67.5,53.4,41.9,20.1,18,12.1,9.4,7.6,8.0,8.9,8.3,6.5,5.7,5.4,4.9,5.1,5.1,4.8,1.9,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Турбины на водяном паре и турбины паровые прочие, млн  кВт",,,,,,,,,,,,,,,,,,,2.2,4.2,4.3,3.5,3.1,1.0,1.8,0.8,,,,,,,,,,,,,,,,,
"Металлорежущие станки, тыс. шт.",,,,,,,,,,,,,,,,,,,2.0,2.8,3.3,3.5,2.9,3.9,3.4,4.2,,,,,,,,,,,,,,,,,
"Холодильники и морозильники бытовые, тыс. шт.",,,,,,,,,,,,,,,,,,,"2,811","3,557","4,100","4,302","4,128","3,693","3,117","3,293",,,,,,,,,,,,,,,,,
"Электропылесосы, тыс. шт.",,,,,,,,,,,,,,,,,,,222,225,127,60.6,52.7,55.1,36.0,13.1,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОКПД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Турбины на водяном паре и прочие паровые турбины, млн  кВт",,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.2,1.4,5.4,4.7,3.1,2.3,3.3,,,,,,,,,
"Турбины гидравлические и водяные колеса, млн  кВт",,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.3,0.3,0.5,2.0,2.3,1.7,2.0,,,,,,,,,
"Турбины газовые, кроме турбореактивных и турбовинтовых, 
млн  кВт",,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.7,0.6,1.1,1.0,0.9,0.6,,,,,,,,,
"Станки металлорежущие, тыс. шт.",,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.6,4.6,5.4,7.2,8.2,11.5,12.9,,,,,,,,,
"Станки токарные металлорежущие 
с числовым программным управлением, шт.",,,,,,,,,,,,,,,,,,,,,,,,,,,650,497,449,447,563,606,887,963,,,,,,,,,
"Холодильники и морозильники бытовые, тыс. шт.",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,152","3,420","3,368","3,557","4,087","2,530","2,979","3,250",,,,,,,,,
Производство компьютеров,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Персональные ЭВМ, тыс. шт.",254,137,113,82.1,62.3,118,132,62.0,66.0,70.8,136,243,247,308,356,590,1329,861,315,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Компьютеры персональные настольные, тыс. шт.",,,,,,,,,,,,,,,,,,,308,296,455,620,522,317,303,641,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОКПД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Компьютеры портативные массой 
не более 10 кг, такие как ноутбуки, планшетные компьютеры, карманные компьютеры, в том числе совмещающие функции мобильного телефонного аппарата, электронные записные книжки и аналогичная компьютерная техника, тыс. шт.",,,,,,,,,,,,,,,,,,,,,,,,,,,475,390,259,376,189,349,580,404,,,,,,,,,
Производство транспортных средств и оборудования,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Легковые автомобили, тыс.шт.","1,030.0",963,956,798,835,868,986,840,954,969,1022,981,"1,012","1,110","1,069","1,178","1,294","1,470",600,,,,,,,,,,,,,,,,,,,,,,,,
"Краны на автомобильном ходу, тыс. шт.",12.9,12,11.5,5.2,3.7,2.8,2.2,1.1,1.3,2.4,3.2,3,3.1,3.9,4.4,5.2,6.9,6.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,
"Вагоны грузовые магистральные, тыс. шт.",22.4,16.9,12.3,7.8,7.1,7.4,5,3.9,4.1,4,6.5,10.7,27,35.3,35.2,33.7,38.6,42.7,23.4,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Легковые автомобили, тыс.шт.",,,,,,,,,,,,,,,,,,,600,"1,210","1,740","1,964","1,925","1,695","1,215","1,120",,,,,,,,,,,,,,,,,
"Автокраны, тыс. шт.",,,,,,,,,,,,,,,,,,,1.3,2.9,4.1,4.8,5.4,3.3,2.1,2.2,,,,,,,,,,,,,,,,,
"Вагоны грузовые магистральные, тыс. шт.",,,,,,,,,,,,,,,,,,,23.6,50.5,63,71.7,60.1,55.1,28.7,36.5,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОКПД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Легковые автомобили, тыс.шт.",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,356","1,565","1,525","1,262","1,365",451,543,763,,,,,,,,,
"Автокраны, тыс. шт.",,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.9,3.0,2.8,3.4,3.3,3.4,2.4,,,,,,,,,
"Вагоны грузовые магистральные широкой колеи, тыс. шт.",,,,,,,,,,,,,,,,,,,,,,,,,,,58.1,68.8,79.7,57.1,63.1,50.2,63.9,74.7,,,,,,,,,
"Производство, передача 
и распределение электроэнергии ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции ОК 005-93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Производство электроэнергии, млрд  кВт?ч","1,068.2","1,008.5",956.6,875.9,860.0,847.2,834.1,827.2,846.2,877.8,891.3,891.3,916.3,931.9,953.1,995.8,"1,015.3","1,040.4",992.1,,,,,,,,,,,,,,,,,,,,,,,,
том числе электростанциями:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 тепловыми,780,715,663,601,583,583,567,564,563,582,578,585,608,609,629,664,676,710,652,,,,,,,,,,,,,,,,,,,,,,,,
гидроэлектростанциями,168,173,175,177,177,155,158,159,161,165,176,164,158,178,175,175,179,167,176,,,,,,,,,,,,,,,,,,,,,,,,
атомными,120,119.6,119.2,97.8,99.5,109,109,104,122,131,137,142,150,145,149,156,160,163,164,,,,,,,,,,,,,,,,,,,,,,,,
