,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,
11. ИНВЕСТИЦИИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инвестиции в нефинансовые активы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Структура инвестиций в нефинансовые активы1);2), в процентах к итогу",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
в том числе иностранных банков,,,,,,,,,,"6,150.8","11,498.8","12,940.8","21,328.4","23,777.5","27,944.5","59,156.4","86,869.0","198,137.7","195,249.9","149,986.9","149,397.6","113,741.8","107,717.2","265,169.3","183,452.1","329,354.2","665,092.9","604,582.1","292,841.6","270,767.4","334,293.2","257,104.9","115,885.9","2,364.7",,,,,,,,,,,,,
заемные средства других организаций,,,,,,,,"13,882.0","32,709.8","75,549.2","65,102.8","95,273.9","123,593.2","163,061.3","171,055.7","227,039.5","370,389.7","413,569.3","445,351.9","404,649.9","485,784.7","588,191.3","626,118.7","660,097.6","701,046.8","674,447.6","662,905.9","582,912.6","709,210.8","750,267.0","805,366.1","1,295,741.3","2,027,277.7","2,867,093.5",,,,,,,,,,,,,
инвестиции из-за рубежа,,,,,,,,,,,,,,,,,,,,,,,"76,387.8","88,787.7","120,380.5","86,674.6","95,874.3","86,489.9","64,967.7","50,476.2","67,377.3","63,325.0","29,694.8","6,468.4",,,,,,,,,,,,,
бюджетные средства (средства консолидированного бюджета),,718.4,"9,303.7","28,225.0","58,180.2","75,584.0","84,642.5","61,080.7","99,201.3","232,138.7","272,937.0","289,609.3","358,005.1","401,002.4","589,244.2","769,240.5","1,118,996.4","1,404,686.3","1,324,068.6","1,294,901.3","1,622,019.6","1,712,866.7","1,916,290.1","1,761,265.9","1,922,665.4","1,856,683.5","2,003,404.7","2,085,823.5","2,385,015.0","2,950,685.6","3,235,381.5","4,466,414.8","5,287,569.0","5,346,663.7",,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
федерального бюджета,,442.5,"5,207.9","14,565.0","26,968.1","37,057.0","41,520.3","20,916.8","37,521.2","62,870.3","77,596.6","88,751.8","122,479.5","118,094.3","202,163.1","267,407.8","431,338.7","537,913.5","691,841.2","661,947.6","855,103.0","926,575.2","1,009,845.1","933,563.5","1,185,712.5","1,048,555.3","1,046,266.8","1,033,439.6","1,124,698.1","1,338,525.5","1,421,387.9","2,140,404.3","2,501,870.9","2,541,181.6",,,,,,,,,,,,,
бюджетов субъектов Российской Федерации9),,275.9,"4,095.8","11,523.0","27,463.7","38,527.0","43,122.2","37,094.5","55,940.4","151,187.8","167,317.6","178,274.9","219,981.3","260,204.8","356,083.8","446,411.1","611,121.0","759,518.4","552,841.3","542,769.3","665,691.1","677,014.7","753,345.9","676,612.8","600,254.0","681,303.4","824,475.1","902,079.3","1,091,693.0","1,430,070.3","1,597,033.6","2,047,857.5","2,496,395.3","2,460,057.6",,,,,,,,,,,,,
средства местных бюджетов,,,,,,,,,,,,,,,,,,,,,,"109,276.8","153,099.1","151,089.6","136,698.9","126,824.8","132,662.9","150,304.6","168,623.9","182,089.8","216,960.0","278,153.0","289,302.8","345,424.5",,,,,,,,,,,,,
средства внебюджетных фондов,,,,,"30,588.7","45,929.0","18,720.2","34,282.8","50,112.0","50,326.5","34,734.9","34,338.9","16,468.5","18,956.8","15,605.6","19,821.7","27,322.8","23,692.5","16,196.7","21,000.7","18,250.2","33,341.2","27,854.6","23,968.7","27,337.9","27,773.5","24,488.4","27,403.3","30,065.5","33,992.2","36,547.6","42,440.2","36,625.4","45,798.3",,,,,,,,,,,,,
"средства организаций и населения, привлеченные для долевого строительства",,,,,,,,,,,,"60,007.0","60,450.2","84,511.2","108,638.7","144,724.1","194,219.9","232,257.9","158,032.0","144,217.5","172,697.1","259,536.4","294,940.3","367,641.9","334,278.5","340,722.9","399,969.4","478,610.9","629,028.1","505,206.9",…,…,…,…,,,,,,,,,,,,,
в том числе средства населения,,,,,,,,,,,,,,,,"50,168.8","78,472.7","124,633.7","76,855.2","80,543.8","111,570.8","197,054.7","234,686.3","281,670.2","252,269.5","264,655.7","303,715.8","339,045.8","457,754.9","395,999.9",…,…,…,…,,,,,,,,,,,,,
прочие,,,,,,,,"25,035.9","70,756.1","164,500.9","244,201.7","236,713.4","324,987.1","381,862.8","485,853.1","680,411.5","857,236.1","1,190,809.8","1,232,367.3","1,449,418.2","1,881,275.6","1,920,855.9","1,570,597.1","1,636,841.0","1,269,620.0","1,370,970.1","1,414,804.1","1,618,905.1","1,372,274.4","1,092,410.3","1,699,314.7","2,139,533.4","2,393,601.2","2,114,379.7",,,,,,,,,,,,,
"Всего, в процентах к итогу",,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
