,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,
11. ИНВЕСТИЦИИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инвестиции в нефинансовые активы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Структура инвестиций в нефинансовые активы1);2), в процентах к итогу",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"торговля автотранспортными средствами и мотоциклами, 
их техническое обслуживание 
и ремонт",,,,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.4,0.4,0.6,0.7,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,,,,,,,,,,,,,,,,,,,,,
"оптовая торговля, включая торговлю через агентов, кроме торговли автотранспортными средствами и мотоциклами",,,,1.0,1.3,1.4,1.4,1.5,1.5,1.8,1.9,2.3,2.2,2.3,2.1,1.7,2.2,1.5,1.5,1.6,1.3,1.2,1.3,1.3,1.5,1.9,,,,,,,,,,,,,,,,,,,,,
"розничная торговля, кроме торговли автотранспортными средствами и мотоциклами; ремонт бытовых изделий 
и предметов личного пользования",,,,0.4,0.5,0.5,0.6,0.7,0.6,0.7,0.8,1.0,1.0,1.0,1.1,1.4,1.5,1.5,1.3,1.6,1.3,1.8,2.0,2.1,1.9,1.9,,,,,,,,,,,,,,,,,,,,,
гостиницы и рестораны,,,,0.9,0.8,0.7,0.8,1.0,0.8,0.8,0.7,0.7,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.7,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,
транспорт и связь,,,,11.3,12.6,14.1,16.1,14.8,18.6,21.2,22.2,18.5,22.3,22.7,24.5,23.6,22.2,23.0,26.5,25.5,28.2,26.4,24.5,21.4,18.0,19.1,,,,,,,,,,,,,,,,,,,,,
из них связь,,,,1.0,1.4,1.9,2.8,3.6,3.3,2.7,3.0,3.4,4.8,5.4,5.4,4.5,3.7,3.2,2.8,2.9,2.9,2.8,2.3,2.5,2.5,2.7,,,,,,,,,,,,,,,,,,,,,
финансовая деятельность ,,,,2.5,2.5,2.9,2.7,3.4,1.6,0.8,0.8,1.0,1.2,1.4,1.4,1.1,1.3,1.1,1.3,1.3,1.4,1.6,1.4,1.2,1.4,1.4,,,,,,,,,,,,,,,,,,,,,
"операции с недвижимым имуществом, аренда и предоставление услуг",,,,26.0,25.3,22.3,18.9,18.9,16.6,15.2,14.7,18.1,17.7,17.3,16.8,17.0,18.3,18.4,15.3,17.9,15.1,15.6,16.3,19.4,22.8,21.7,,,,,,,,,,,,,,,,,,,,,
"из них научные исследования 
и разработки",,,,0.5,0.4,0.3,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.6,0.5,0.5,0.4,0.5,0.7,0.7,0.8,0.7,1.0,1.0,1.3,1.2,,,,,,,,,,,,,,,,,,,,,
"государственное управление 
и обеспечение военной безопасности;  социальное отрахование",,,,3.0,3.2,3.5,3.3,4.1,1.9,1.5,1.5,2.0,1.6,1.7,1.6,1.7,1.7,1.6,1.7,1.4,1.9,1.7,1.7,1.7,1.7,1.8,,,,,,,,,,,,,,,,,,,,,
образование,,,,2.2,1.8,1.5,1.5,1.8,1.5,1.3,1.5,1.5,1.5,1.8,1.9,2.1,2.2,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.4,,,,,,,,,,,,,,,,,,,,,
здравоохранение и предоставление социальных услуг,,,,2.6,2.5,2.1,2.4,2.4,2.3,2.6,2.4,2.0,2.0,2.5,2.6,2.7,2.5,2.4,2.3,2.1,2.0,2.0,1.7,1.4,1.3,1.3,,,,,,,,,,,,,,,,,,,,,
"предоставление прочих коммунальных, социальных и персональных услуг",,,,4.8,4.3,4.0,4.3,5.0,4.4,3.9,3.5,3.8,2.6,2.4,2.5,2.8,2.5,2.8,2.8,2.7,2.7,2.8,2.8,2.1,2.1,2.0,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Всего, млн руб.",,,,,,,,,,,,,,,,,,,,,,,,"13,902,645.3","13,897,187.7","14,748,846.9","16,027,302.0","17,782,012.3","19,329,038.3","20,393,742.4","23,239,504.0","28,413,875.0","34,038,863.0"," 39,533,661.0   ",,,,,,,,,,,,,
в том числе по видам экономической деятельности:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"сельское, лесное хозяйство, охота, рыболовство и рыбоводство ",,,,,,,,,,,,,,,,,,,,,,,,"524,326.1","518,815.4","623,347.8","705,523.4","781,475.9","844,254.5","865,211.7","962,083.7","1,114,772.0","1,256,706.8"," 1,298,149.9   ",,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"растениеводство и животноводство, охота 
и предоставление соответствующих услуг в этих областях",,,,,,,,,,,,,,,,,,,,,,,,"492,467.9","483,639.2","582,555.7","651,364.0","707,266.6","750,439.8","747,498.7","826,419.5","973,037.1","1,083,507.1"," 1,135,436.9   ",,,,,,,,,,,,,
лесоводство и лесозаготовки,,,,,,,,,,,,,,,,,,,,,,,,"16,610.4","20,764.8","20,702.5","25,408.7","37,436.2","48,845.6","46,514.6","56,922.9","53,829.3","55,483.2"," 63,187.3   ",,,,,,,,,,,,,
рыболовство и рыбоводство,,,,,,,,,,,,,,,,,,,,,,,,"15,247.8","14,411.4","20,089.6","28,750.7","36,773.1","44,969.1","71,198.4","78,741.3","87,905.6","117,716.5"," 99,525.8   ",,,,,,,,,,,,,
добыча полезных ископаемых,,,,,,,,,,,,,,,,,,,,,,,,"2,144,769.9","2,385,249.4","2,710,457.9","3,023,168.8","3,225,819.9","3,280,467.0","3,298,321.0","3,447,252.9","4,258,875.2","5,029,140.3"," 5,801,464.9   ",,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
добыча угля,,,,,,,,,,,,,,,,,,,,,,,,"83,292.8","80,485.8","98,626.8","139,851.1","167,771.6","208,367.4","153,511.6","199,816.9","280,812.8","327,195.4"," 305,396.0   ",,,,,,,,,,,,,
добыча нефти и природного газа,,,,,,,,,,,,,,,,,,,,,,,,"1,494,876.1","1,582,712.5","1,597,692.4","1,807,118.9","1,856,809.1","2,133,901.2","2,194,667.1","2,145,769.6","2,616,255.8","3,071,687.4"," 3,592,764.0   ",,,,,,,,,,,,,
добыча металлических руд,,,,,,,,,,,,,,,,,,,,,,,,"119,138.5","158,360.9","159,147.2","187,098.8","266,651.0","307,644.7","337,889.4","400,984.7","476,210.7","622,067.0"," 736,396.1   ",,,,,,,,,,,,,
добыча прочих полезных ископаемых,,,,,,,,,,,,,,,,,,,,,,,,"72,069.1","57,584.1","58,096.3","63,235.9","69,315.1","67,279.3","65,957.1","72,153.2","115,191.2","141,818.9"," 173,533.0   ",,,,,,,,,,,,,
обрабатывающие производства,,,,,,,,,,,,,,,,,,,,,,,,"2,080,938.8","2,167,568.0","2,103,301.7","2,296,489.5","2,513,210.7","2,707,555.0","2,984,246.9","3,428,043.2","3,806,943.4","4,936,438.3"," 6,342,778.7   ",,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
производство пищевых продуктов,,,,,,,,,,,,,,,,,,,,,,,,"196,526.7","199,812.4","192,985.1","237,093.3","260,041.6","279,836.0","324,679.5","373,918.5","380,564.9","440,310.2"," 495,045.6   ",,,,,,,,,,,,,
производство напитков,,,,,,,,,,,,,,,,,,,,,,,,"42,060.1","34,272.0","34,884.8","36,449.6","44,859.8","39,397.6","41,946.9","53,907.5","45,709.3","70,416.8"," 86,043.7   ",,,,,,,,,,,,,
производство табачных изделий,,,,,,,,,,,,,,,,,,,,,,,,"12,813.2","12,999.3","15,626.1","14,370.8","17,898.3","19,408.8","16,330.2","21,083.6","14,012.2","13,175.7"," 21,325.2   ",,,,,,,,,,,,,
производство текстильных изделий,,,,,,,,,,,,,,,,,,,,,,,,"12,778.4","6,930.3","6,949.7","10,019.3","10,589.4","13,731.3","8,849.9","12,319.9","15,615.2","22,882.7"," 24,660.4   ",,,,,,,,,,,,,
производство одежды,,,,,,,,,,,,,,,,,,,,,,,,"8,186.4","4,887.6","3,549.4","4,368.7","4,465.1","5,975.3","7,912.1","6,376.0","6,597.8","7,985.6"," 8,008.2   ",,,,,,,,,,,,,
"производство кожи и изделий 
из кожи",,,,,,,,,,,,,,,,,,,,,,,,"7,780.7","6,043.8","3,628.9","3,858.6","4,835.8","3,082.8","3,231.8","3,665.4","4,056.2","4,786.8"," 5,006.6   ",,,,,,,,,,,,,
"обработки древесины 
и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",,,,,,,,,,,,,,,,,,,,,,,,"49,421.9","58,130.6","66,005.3","71,635.0","69,378.1","58,502.6","70,251.4","92,422.3","88,278.4","94,337.2"," 106,786.7   ",,,,,,,,,,,,,
производство бумаги и бумажных изделий,,,,,,,,,,,,,,,,,,,,,,,,"40,532.3","39,877.0","51,727.1","69,453.1","92,497.2","103,451.3","94,305.1","112,222.8","115,666.9","147,304.5"," 151,653.1   ",,,,,,,,,,,,,
"деятельность полиграфическая 
и копирование носителей информации",,,,,,,,,,,,,,,,,,,,,,,,"7,575.6","10,431.8","13,194.6","12,940.0","12,171.9","9,772.6","17,636.3","19,769.7","13,515.3","17,977.6"," 19,802.6   ",,,,,,,,,,,,,
"производство кокса 
и нефтепродуктов",,,,,,,,,,,,,,,,,,,,,,,,"486,564.1","478,294.9","385,776.1","447,113.9","408,305.8","548,208.9","660,567.3","600,557.0","634,387.2","560,669.8"," 691,399.9   ",,,,,,,,,,,,,
производство химических веществ и химических продуктов,,,,,,,,,,,,,,,,,,,,,,,,"226,018.3","312,631.6","367,795.0","424,836.2","484,580.0","472,231.3","480,632.0","550,569.2","730,703.5","1,179,705.1"," 1,793,940.6   ",,,,,,,,,,,,,
производство лекарственных средств и материалов применяемых в медицинских целях,,,,,,,,,,,,,,,,,,,,,,,,"35,298.9","34,990.8","28,630.3","35,479.7","40,762.5","52,999.9","105,772.6","82,502.3","82,423.4","94,274.7"," 105,934.9   ",,,,,,,,,,,,,
"производство резиновых 
и пластмассовых изделий",,,,,,,,,,,,,,,,,,,,,,,,"43,902.1","53,816.2","40,326.9","47,440.1","58,802.3","60,812.1","55,924.2","74,860.6","66,141.3","88,824.4"," 114,259.3   ",,,,,,,,,,,,,
производство прочей неметаллической минеральной продукции,,,,,,,,,,,,,,,,,,,,,,,,"136,452.3","104,136.2","79,904.5","69,527.1","98,519.9","98,260.3","90,756.8","126,442.4","147,562.5","175,592.9"," 204,682.2   ",,,,,,,,,,,,,
производство металлургическое ,,,,,,,,,,,,,,,,,,,,,,,,"205,142.8","229,656.2","269,223.4","285,700.0","305,426.4","325,732.3","395,658.8","488,289.4","616,835.2","732,471.3"," 857,431.7   ",,,,,,,,,,,,,
"производство готовых металлических изделий, кроме машин и оборудования",,,,,,,,,,,,,,,,,,,,,,,,"42,309.2","46,217.5","48,886.8","95,819.7","109,568.8","117,482.5","102,357.0","138,961.0","146,598.7","251,173.5"," 334,132.9   ",,,,,,,,,,,,,
"производство компьютеров, электронных и оптических изделий",,,,,,,,,,,,,,,,,,,,,,,,"49,827.2","73,888.0","61,748.0","65,873.7","64,278.9","60,162.5","63,687.3","103,874.6","128,137.1","186,378.5"," 312,360.5   ",,,,,,,,,,,,,
производство электрического оборудования,,,,,,,,,,,,,,,,,,,,,,,,"28,959.5","32,678.5","29,651.4","40,410.8","43,286.6","42,343.3","37,561.1","42,930.6","40,902.8","80,131.0"," 164,732.8   ",,,,,,,,,,,,,
"производство машин 
и оборудования, не включенных 
в другие группировки",,,,,,,,,,,,,,,,,,,,,,,,"77,196.7","82,050.4","63,010.7","65,660.2","67,241.4","72,628.3","61,079.2","74,878.0","94,017.5","118,247.6"," 159,200.3   ",,,,,,,,,,,,,
"производство автотранспортных средств, прицепов и полуприцепов",,,,,,,,,,,,,,,,,,,,,,,,"120,643.2","118,163.6","96,718.6","82,328.2","108,405.9","100,792.1","85,337.0","128,977.9","71,223.0","120,855.6"," 176,348.2   ",,,,,,,,,,,,,
"производство прочих транспортных средств 
и оборудования",,,,,,,,,,,,,,,,,,,,,,,,"107,771.5","98,632.5","110,312.1","127,831.1","155,375.8","156,352.6","185,165.0","215,042.9","253,431.6","290,057.4"," 371,622.4   ",,,,,,,,,,,,,
производство мебели,,,,,,,,,,,,,,,,,,,,,,,,"28,545.0","8,872.4","18,025.5","11,832.3","13,843.7","17,402.8","22,351.6","23,007.6","19,719.9","23,565.9"," 26,005.6   ",,,,,,,,,,,,,
производство прочих готовых изделий,,,,,,,,,,,,,,,,,,,,,,,,"7,773.9","9,880.9","8,675.7","10,186.3","11,608.0","20,915.7","20,008.7","21,053.9","27,667.6","28,514.3"," 29,783.4   ",,,,,,,,,,,,,
"обеспечение электрической энергией, газом и паром; кондиционирование воздуха",,,,,,,,,,,,,,,,,,,,,,,,"1,093,847.1","917,902.9","866,006.0","943,662.9","1,012,995.4","1,033,446.7","1,149,594.0","1,147,485.1","1,344,772.6","1,781,059.8"," 2,057,477.8   ",,,,,,,,,,,,,
"водоснабжение; воотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",,,,,,,,,,,,,,,,,,,,,,,,"168,986.7","128,726.1","147,948.1","147,720.0","160,778.1","184,157.8","248,824.2","283,792.6","349,419.7","424,557.7"," 509,679.5   ",,,,,,,,,,,,,
строительство,,,,,,,,,,,,,,,,,,,,,,,,"469,313.1","401,234.4","443,798.2","511,460.6","638,440.0","682,345.0","745,773.7","907,098.2","1,226,004.7","1,445,740.5"," 1,664,482.3   ",,,,,,,,,,,,,
торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,,,,,,,,,,,,,,,,,,,,,,,,"554,519.7","542,712.8","637,078.5","647,223.2","784,112.8","723,871.6","682,982.1","1,003,589.3","1,057,852.3","1,199,288.6"," 1,375,623.9   ",,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"торговля оптовая и розничная автотранспортными средствами 
и мотоциклами и их ремонт ",,,,,,,,,,,,,,,,,,,,,,,,"49,728.7","38,653.5","45,019.7","51,018.3","79,129.5","65,753.2","63,754.1","111,296.4","98,332.7","118,591.7"," 132,316.7   ",,,,,,,,,,,,,
"торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами ",,,,,,,,,,,,,,,,,,,,,,,,"184,880.4","201,576.3","272,434.3","268,774.6","349,446.2","361,924.6","329,954.4","526,078.5","635,009.5","699,049.7"," 774,939.1   ",,,,,,,,,,,,,
"торговля розничная, кроме торговли автотранспортными средствами и мотоциклами ",,,,,,,,,,,,,,,,,,,,,,,,"319,910.6","302,483.0","319,624.5","327,430.3","355,537.1","296,193.7","289,273.7","366,214.4","324,510.1","381,647.2"," 468,368.1   ",,,,,,,,,,,,,
транспортировка и хранение,,,,,,,,,,,,,,,,,,,,,,,,"2,631,367.6","2,146,591.3","2,424,091.2","2,659,357.9","3,082,992.3","3,315,885.7","3,138,648.5","3,837,396.4","5,152,855.7","6,160,010.7"," 6,857,737.9   ",,,,,,,,,,,,,
деятельность гостиниц и предприятий общественного питания,,,,,,,,,,,,,,,,,,,,,,,,"105,528.2","92,050.4","93,817.7","86,725.8","124,001.1","101,878.8","111,909.0","133,956.9","170,477.8","230,930.5"," 266,635.8   ",,,,,,,,,,,,,
"деятельность в области информации 
и связи",,,,,,,,,,,,,,,,,,,,,,,,"411,044.4","422,696.1","459,714.2","478,398.5","626,641.9","769,692.6","872,387.2","952,946.6","1,013,670.3","1,375,331.1"," 1,751,388.4   ",,,,,,,,,,,,,
из нее:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
деятельность издательская ,,,,,,,,,,,,,,,,,,,,,,,,"1,665.6","1,609.5","1,437.6","1,493.4","2,173.9","2,363.4","4,406.7","4,170.1","5,461.2","11,593.2"," 18,340.4   ",,,,,,,,,,,,,
деятельность в сфере телекоммуникаций,,,,,,,,,,,,,,,,,,,,,,,,"347,973.7","352,413.2","388,959.6","369,164.8","446,680.8","562,948.9","603,461.9","623,108.0","523,527.0","614,663.5"," 706,555.9   ",,,,,,,,,,,,,
деятельность в области информационных технологий,,,,,,,,,,,,,,,,,,,,,,,,"13,034.1","13,252.5","14,460.6","25,495.0","43,590.5","54,502.5","82,331.6","95,635.7","151,367.1","249,958.5"," 338,642.3   ",,,,,,,,,,,,,
деятельность финансовая и страховая,,,,,,,,,,,,,,,,,,,,,,,,"170,479.8","195,406.2","212,600.7","324,941.6","379,847.5","442,112.0","593,870.2","702,986.5","813,154.0","946,176.3"," 1,102,047.5   ",,,,,,,,,,,,,
"деятельность по операциям 
с недвижимым имуществом",,,,,,,,,,,,,,,,,,,,,,,,"2,229,587.8","2,572,265.0","2,604,318.7","2,627,858.7","2,714,286.4","2,854,053.6","2,866,058.2","3,054,818.2","3,765,844.1","4,240,164.0"," 4,903,636.1   ",,,,,,,,,,,,,
"деятельность профессиональная, научная и техническая",,,,,,,,,,,,,,,,,,,,,,,,"324,386.9","475,737.3","465,714.1","494,637.8","555,284.4","853,766.7","916,197.7","1,283,303.3","1,741,090.7","2,069,254.0"," 2,298,071.9   ",,,,,,,,,,,,,
"из нее научные исследования 
и разработки",,,,,,,,,,,,,,,,,,,,,,,,"137,296.0","184,517.0","174,661.0","165,270.3","176,718.5","198,491.7","227,184.8","264,576.8","331,169.3","414,726.9"," 506,888.8   ",,,,,,,,,,,,,
"деятельность административная 
и сопутствующие дополнительные услуги",,,,,,,,,,,,,,,,,,,,,,,,"120,733.0","79,701.5","90,832.2","117,802.8","177,736.6","281,750.6","253,969.5","320,353.0","351,741.8","411,793.1"," 472,312.1   ",,,,,,,,,,,,,
"государственное управление 
и обеспечение военной безопасности;  социальное страхование",,,,,,,,,,,,,,,,,,,,,,,,"241,001.4","233,680.0","271,391.3","285,278.9","270,910.4","299,979.9","378,789.1","423,472.7","576,441.1","692,559.8"," 746,169.8   ",,,,,,,,,,,,,
образование,,,,,,,,,,,,,,,,,,,,,,,,"242,686.8","241,000.5","210,486.1","225,268.5","268,770.0","383,254.6","456,956.1","480,369.2","579,893.4","690,964.7"," 772,400.5   ",,,,,,,,,,,,,
деятельность в области здравоохранения и социальных услуг,,,,,,,,,,,,,,,,,,,,,,,,"195,265.4","179,555.5","186,681.3","198,816.4","232,344.9","330,764.0","574,172.9","574,113.2","660,074.6","679,737.1"," 778,124.8   ",,,,,,,,,,,,,
"деятельность в области культуры, спорта, организации досуга 
и развлечений",,,,,,,,,,,,,,,,,,,,,,,,"176,835.9","182,051.4","184,167.4","239,838.1","218,150.5","212,903.9","229,864.9","272,023.7","389,560.8","422,381.2"," 484,961.7   ",,,,,,,,,,,,,
"Всего10), в процентах  к итогу",,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,
в том числе по видам экономической деятельности:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"сельское, лесное хозяйство, охота, рыболовство и рыбоводство ",,,,,,,,,,,,,,,,,,,,,,,,3.8,3.7,4.2,4.4,4.4,4.4,4.4,4.2,3.9,3.7,3.3,,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"растениеводство 
и животноводство, охота 
и предоставление соответствующих услуг в этих областях",,,,,,,,,,,,,,,,,,,,,,,,3.6,3.5,4.0,4.1,4.0,3.9,3.7,3.6,3.4,3.2,2.8,,,,,,,,,,,,,
лесоводство и лесозаготовки,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.2,,,,,,,,,,,,,
рыболовство и рыбоводство,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.3,0.3,0.3,0.3,,,,,,,,,,,,,
добыча полезных ископаемых,,,,,,,,,,,,,,,,,,,,,,,,15.4,17.2,18.4,19.0,18.1,17.0,16.2,14.8,15.0,14.9,14.7,,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
добыча угля,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.7,0.9,0.9,1.1,0.8,0.9,1.0,1.0,0.8,,,,,,,,,,,,,
добыча нефти и природного газа,,,,,,,,,,,,,,,,,,,,,,,,10.7,11.4,10.8,11.3,10.4,11.0,10.7,9.2,9.2,9.0,9.1,,,,,,,,,,,,,
добыча металлических руд,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.1,1.1,1.2,1.5,1.6,1.7,1.7,1.7,1.8,1.9,,,,,,,,,,,,,
добыча прочих полезных ископаемых,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,,,,,,,,,,,,,
обрабатывающие производства,,,,,,,,,,,,,,,,,,,,,,,,15,15.6,14.3,14.3,14.1,14.0,14.6,14.8,13.4,14.4,16.0,,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
производство пищевых продуктов,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,1.3,1.5,1.5,1.5,1.5,1.5,1.3,1.3,1.3,,,,,,,,,,,,,
производство напитков,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,,,,,,,,,,,,,
производство табачных изделий,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.04,0.04,,,,,,,,,,,,,
производство текстильных изделий,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.05,0.05,0.1,0.1,0.1,0.04,0.1,0.05,0.1,0.1,,,,,,,,,,,,,
производство одежды,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.04,0.02,0.03,0.02,0.03,0.04,0.03,0.02,0.02,0.02,,,,,,,,,,,,,
производство кожи и изделий из кожи,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.04,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,
"обработки древесины 
и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.3,,,,,,,,,,,,,
производство бумаги и бумажных изделий,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,,,,,,,,,,,,,
"деятельность полиграфическая 
и копирование носителей информации",,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.1,,,,,,,,,,,,,
"производство кокса 
и нефтепродуктов",,,,,,,,,,,,,,,,,,,,,,,,3.5,3.4,2.6,2.8,2.3,2.8,3.2,2.6,2.2,1.6,1.7,,,,,,,,,,,,,
производство химических веществ и химических продуктов,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.2,2.5,2.6,2.7,2.4,2.4,2.4,2.6,3.4,4.5,,,,,,,,,,,,,
производство лекарственных средств и материалов применяемых в медицинских целях,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.2,0.2,0.2,0.3,0.5,0.4,0.3,0.3,0.3,,,,,,,,,,,,,
"производство резиновых 
и пластмассовых изделий",,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,,,,,,,,,,,,,
производство прочей неметаллической минеральной продукции,,,,,,,,,,,,,,,,,,,,,,,,1,0.7,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.5,,,,,,,,,,,,,
производство металлургическое ,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.7,1.8,1.8,1.7,1.7,1.9,2.1,2.2,2.2,2.2,,,,,,,,,,,,,
"производство готовых металлических изделий, кроме машин и оборудования",,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.6,0.6,0.6,0.5,0.6,0.5,0.7,0.8,,,,,,,,,,,,,
"производство компьютеров, электронных и оптических изделий",,,,,,,,,,,,,,,,,,,,,,,,0.4,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.5,0.5,0.8,,,,,,,,,,,,,
производство электрического оборудования,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.4,,,,,,,,,,,,,
"производство машин 
и оборудования, не включенных 
в другие группировки",,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,,,,,,,,,,,,,
"производство автотранспортных средств, прицепов и полуприцепов",,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,0.7,0.5,0.6,0.5,0.4,0.6,0.3,0.4,0.4,,,,,,,,,,,,,
"производство прочих транспортных средств 
и оборудования",,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.7,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,,,,,,,,,,,,,
производство мебели,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,
производство прочих готовых изделий,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,
"обеспечение электрической энергией, газом и паром; кондиционирование воздуха",,,,,,,,,,,,,,,,,,,,,,,,7.9,6.6,5.9,5.9,5.7,5.3,5.6,4.9,4.7,5.2,5.2,,,,,,,,,,,,,
"водоснабжение; воотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",,,,,,,,,,,,,,,,,,,,,,,,1.2,0.9,1,0.9,0.9,0.9,1.2,1.2,1.2,1.2,1.2,,,,,,,,,,,,,
строительство,,,,,,,,,,,,,,,,,,,,,,,,3.4,2.9,3,3.2,3.6,3.5,3.7,3.9,4.3,4.2,4.2,,,,,,,,,,,,,
"торговля оптовая и розничная; ремонт автотранспортных средств 
и мотоциклов",,,,,,,,,,,,,,,,,,,,,,,,4,3.9,4.3,4.0,4.4,3.7,3.3,4.3,3.7,3.5,3.5,,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
