,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
производство одежды,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,966","13,560","12,240","10,987","10,290","10,198","10,415","10,400"
"производство кожи, и изделий 
из кожи ",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,201","2,027","1,829","1,684","1,590","1,507","1,560","1,558"
"обработка древесины 
и производство изделий из дерева
и пробки, кроме мебели, производство изделий из соломки и материалов
для плетения",,,,,,,,,,,,,,,,,,,,,,,,,,,"26,145","23,790","21,204","18,706","17,516","17,001","16,589","16,360"
"производство бумаги 
и бумажных изделий ",,,,,,,,,,,,,,,,,,,,,,,,,,,"4,304","3,995","3,675","3,433","3,290","3,285","3,313","3,293"
"деятельность полиграфическая 
и копирование носителей информации",,,,,,,,,,,,,,,,,,,,,,,,,,,"16,275","14,739","13,070","11,529","10,557","9,904","9,611","9,473"
"производство кокса 
и нефтепродуктов",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,636","1,379","1,205","1,036",947,861,806,772
"производство химических веществ 
и химических продуктов",,,,,,,,,,,,,,,,,,,,,,,,,,,"11,211","10,776","10,295","10,089","10,104","10,481","10,975","11,444"
"производство лекарственных средств  
и материалов, применяемых 
в  медицинских целях и ветеринарии",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,425","2,130","1,941","1,925","1,882","1,862","1,869","1,859"
"производство резиновых 
и пластмассовых изделий",,,,,,,,,,,,,,,,,,,,,,,,,,,"19,391","17,919","16,627","15,495","14,840","14,623","14,643","14,791"
производство прочей неметаллической  минеральной продукции,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,210","25,105","22,986","21,160","20,008","19,705","19,705","19,797"
производство металлургическое,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,251","3,987","3,707","3,413","3,321","3,305","3,331","3,345"
"производство готовых металлических изделий, кроме машин и оборудования",,,,,,,,,,,,,,,,,,,,,,,,,,,"41,037","39,811","37,874","36,203","35,766","36,357","37,728","39,752"
"производство компьютеров, электронных и оптических изделий",,,,,,,,,,,,,,,,,,,,,,,,,,,"9,924","9,182","8,533","7,831","7,527","7,427","7,378","7,510"
производство электрического оборудования,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,741","8,349","7,874","7,547","7,479","7,486","7,547","7,695"
"производство машин 
и оборудования, не включенных 
в другие группировки",,,,,,,,,,,,,,,,,,,,,,,,,,,"17,722","16,344","15,316","14,509","14,161","14,299","14,627","15,045"
"производство автотранспортных средств, прицепов 
и полуприцепов",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,335","3,139","3,012","2,829","2,831","2,890","3,025","3,189"
производство прочих транспортных средств и оборудования,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,204","3,839","3,516","3,292","3,106","3,102","3,181","3,338"
производство мебели,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,934","17,487","15,661","14,085","13,295","13,004","12,926","13,030"
производство прочих готовых изделий,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,620","7,978","7,455","7,091","6,845","6,808","6,910","7,020"
"обеспечение электрической энергией, газом, паром; кондиционирование воздуха",,,,,,,,,,,,,,,,,,,,,,,,,,,"23,931","22,520","21,134","19,978","19,129","18,320","17,617","17,117"
"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",,,,,,,,,,,,,,,,,,,,,,,,,,,"28,221","26,123","24,205","22,376","21,823","21,136","20,631","20,274"
строительство,,,,,,,,,,,,,,,,,,,,,,,,,,,"493,152","474,910","438,956","404,999","389,713","395,438","390,124","389,787"
"торговля оптовая и розничная; ремонт автотранспортных средств 
и мотоциклов ",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,465,129","1,280,152","1,084,229","937,057","854,104","823,943","811,268","806,254"
транспортировка и хранение,,,,,,,,,,,,,,,,,,,,,,,,,,,"256,495","246,052","224,179","208,596","201,141","200,772","203,815","209,530"
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"деятельность сухопутного 
и трубопроводного транспорта",,,,,,,,,,,,,,,,,,,,,,,,,,,"105,136","107,547","100,557","96,029","94,365","96,619","99,701","104,430"
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"деятельность железнодорожного транспорта: междугородные
и международные пассажирские перевозки",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,594","3,093","2,734","2,488","2,219","1,946","1,895","1,843"
деятельность железнодорожного транспорта: грузовые перевозки,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,056","2,303","2,267","2,184","2,196","2,310","2,414","2,515"
деятельность прочего сухопутного пассажирского транспорта,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,289","18,679","17,156","15,910","14,860","13,975","13,252","12,957"
"деятельность автомобильного грузового транспорта и услуги 
по перевозкам",,,,,,,,,,,,,,,,,,,,,,,,,,,"78,305","82,639","77,628","74,701","74,392","77,715","81,484","86,466"
 деятельность трубопроводного транспорта,,,,,,,,,,,,,,,,,,,,,,,,,,,889,830,770,744,696,671,654,647
деятельность водного транспорта,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,667","3,469","3,163","2,909","2,774","2,668","2,646","2,679"
"деятельность воздушного 
и космического транспорта",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,801","1,545","1,376","1,250","1,166","1,085","1,044","1,032"
"складское хозяйство 
и вспомогательная транспортная деятельность",,,,,,,,,,,,,,,,,,,,,,,,,,,"140,405","127,924","114,882","104,444","99,034","96,488","96,069","96,047"
деятельность почтовой связи и курьерская деятельность,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,529","5,611","4,245","4,007","3,802","3,912","4,355","5,342"
деятельность гостиниц и предприятий общественного питания,,,,,,,,,,,,,,,,,,,,,,,,,,,"102,878","96,432","90,952","86,886","82,721","80,211","79,533","80,986"
деятельность в области  информации и связи,,,,,,,,,,,,,,,,,,,,,,,,,,,"134,911","126,395","116,181","108,345","104,859","109,597","112,838","115,497"
деятельность финансовая и страховая,,,,,,,,,,,,,,,,,,,,,,,,,,,"84,220","73,758","64,838","59,314","55,604","52,574","51,586","51,709"
