СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;;;
кислоты серной в моногидрате, тыс. т;-;-;-;-;-;-;-;-;65,0;-;-;-;290,0;260,0;623,0;700,0;260,0;135,1;370,0;705,0;600,0;-;10,9;-;-;-;-;;;;;;;;;;;;;;;;
лаков и красок, тыс. т;-;-;-;8,0;-;-;-;-;-;8,6;17,6;16,5;6,5;-;16,9;20,0;42,7;90,0;27,5;3,6;19,5;7,3;-;39,9;21,0;30,6;35,4;;;;;;;;;;;;;;;;
резинотехнических изделий формовых и неформовых, т;-;-;-;-;-;-;-;5,2;-;-;400,0;10,0;175,0;246,0;250,0;-;590,0;-;5800,0;-;-;11347,1;-;-;9807,4;-;10000,0;;;;;;;;;;;;;;;;
пленки полимерной, тыс. т;-;-;-;0,5;-;1,0;-;-;0,4;-;2,6;0,7;2,2;0,9;21,6;0,9;17,2;17,5;-;2,8;1,2;20,0;57,4;30,5;0,2;64,1;-;;;;;;;;;;;;;;;;
готовых лекарственных средств, млн. шт.;-;-;-;-;-;1,0;0,3;5460,0;25,0;240,0;393,7;248,6;501,2;1250,0;201,5;3307,5;1,2;603,9;36,0;-;944,1;3348,0;2720,3;2560,7;842,5;15,0;3542,6;;;;;;;;;;;;;;;;
пиломатериалов, тыс. м3;140,0;12,0;11,2;35,1;167,7;109,0;44,7;192,0;208,5;166,7;512,1;187,3;415,4;1596,4;805,5;292,7;378,7;473,2;965,2;949,6;646,6;369,3;814,1;600,4;451,8;669,5;700,1;;;;;;;;;;;;;;;;
бумаги, тыс. т;20,4;-;-;-;-;220,3;27,2;-;-;-;-;48,0;157,0;60,6;-;29,0;119,0;41,2;175,0;40,0;-;129,8;480,0;-;-;-;-;;;;;;;;;;;;;;;;
плит древесностружечных, тыс. м3;-;-;-;-;110,0;-;-;-;-;110,0;-;-;175,0;150,0;-;1562,4;122,0;423,5;528,0;210,0;159,3;6,0;250,0;573,0;-;-;61,4;;;;;;;;;;;;;;;;
цемента, тыс. т;-;360,0;-;-;50,0;-;-;-;-;-;-;-;-;4,5;-;1507,0;489,2;304,0;-;1332,5;3580,0;4928,0;4181,7;1863,6;2800,0;500,0;-;;;;;;;;;;;;;;;;
линолеума, млн. м2;7,5;3,0;-;23,0;5,0;13,0;-;2,0;-;1,5;1,0;-;14,0;14,4;5,0;31,0;5,0;20,0;-;-;9,0;-;18,0;-;-;-;-;;;;;;;;;;;;;;;;
стеновых материалов (без стеновых железобетонных панелей), млн. условных кирпичей;352,5;95,0;25,3;392,3;392,8;448,9;12,3;164,8;92,4;92,4;202,6;100,3;62,6;196,2;76,6;169,1;515,9;477,0;838,8;1018,7;428,8;262,8;775,8;711,7;111,5;130,0;107,2;;;;;;;;;;;;;;;;
   в том числе кирпича строительного;352,5;95,0;25,3;190,3;177,5;261,0;12,3;163,2;92,4;45,0;85,4;15,5;57,5;45,4;61,6;120,5;184,0;241,0;535,8;495,9;265,6;113,3;295,9;131,1;9,0;130,0;105,0;;;;;;;;;;;;;;;;
изделий санитарных керамических и из полимербетона, тыс. шт.;150,0;400,0;-;-;20,0;-;-;100,0;2,2;-;420,0;-;-;-;-;600,0;-;500,0;203,7;-;500,0;-;-;250,0;-;-;-;;;;;;;;;;;;;;;;
конструкций и изделий сборных железобетонных, тыс. м3;610,0;359,2;265,0;291,5;162,5;185,1;61,1;47,2;-;120,1;46,7;3,6;28,2;164,1;51,2;50,9;203,4;83,3;172,5;358,2;89,8;56,2;301,4;89,2;136,6;64,2;92,0;;;;;;;;;;;;;;;;
плитки керамической, млн. м2;1,9;-;3,5;0,8;0,7;-;-;-;-;0,3;1,5;1,0;6,9;6,0;0,1;14,2;11,1;5,6;-;0,3;3,1;2,6;-;3,6;0,0;-;3,0;;;;;;;;;;;;;;;;
нерудных материалов, млн. м3;0,07;3,2;0,7;1,2;-;0,1;0,2;-;1,4;2,6;0,5;1,5;4,4;1,8;2,4;3,1;3,0;6,0;7,0;5,9;4,7;1,4;1,3;1,2;0,4;1,5;-;;;;;;;;;;;;;;;;
теплоизоляционных материалов, тыс. м3;-;-;-;-;-;-;-;-;25,0;20,0;25,0;20,0;198,0;-;718,8;275,0;4265,0;50,0;350,0;1977,8;259,0;65,7;280,2;4158,0;415,0;1119,6;-;;;;;;;;;;;;;;;;
трикотажных изделий, млн. шт.;6,3;11,7;2,5;-;0,8;-;1,4;-;0,2;0,3;0,06;0,2;-;-;1,5;0,2;2,5;-;-;1,4;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
чулочно-носочных изделий, млн. пар;-;-;-;-;0,1;-;-;-;-;-;2,6;21,0;9,4;-;-;0,8;-;-;1,5;-;-;-;-;-;-;-;1,2;;;;;;;;;;;;;;;;
кожаной обуви, млн. пар;0,8;0,3;1,3;2,1;-;-;-;-;0,7;-;0,04;-;-;-;0,01;-;-;-;-;-;-;-;-;-;0,3;-;-;;;;;;;;;;;;;;;;
мяса, т в смену;65,4;50,0;16,0;43,6;53,1;27,3;17,5;79,7;39,5;56,3;56,0;23,4;110,3;49,8;61,4;160,1;35,0;251,3;323,4;176,3;395,1;101,9;524,0;387,7;1015,8;452,1;82,4;;;;;;;;;;;;;;;;
цельномолочной продукции, т в смену;501,6;364,0;201,5;480,3;347,8;149,9;57,3;326,9;247,7;570,0;515,5;204,4;258,1;333,0;270,9;478,5;439,3;268,8;367,2;409,0;279,0;244,5;343,4;415,8;201,2;323,6;466,3;;;;;;;;;;;;;;;;
сыра твердых сортов (без плавленых), т  в смену;4,4;2,2;2,3;12,6;7,9;7,9;1,4;5,4;4,0;9,4;6,2;2,0;8,0;26,4;17,1;10,0;9,7;14,0;-;28,0;25,9;10,0;1,8;2,5;55,0;3,0;4,0;;;;;;;;;;;;;;;;
сахара-песка, тыс. ц переработки свеклы в сутки;3,0;-;4,0;7,5;1,0;-;-;-;-;-;-;-;3,0;41,0;34,1;25,6;52,7;21,5;4,5;5,5;38,7;10,2;45,0;0,5;16,5;8,0;6,5;;;;;;;;;;;;;;;;
изделий кондитерских, тыс. т;49,3;41,7;26,3;61,5;18,5;22,9;22,3;17,5;90,3;12,5;52,2;80,4;38,8;78,6;28,2;20,7;65,7;47,6;118,6;107,2;64,0;124,5;107,1;257,3;81,2;47,0;83,9;;;;;;;;;;;;;;;;
масла растительного, т  переработки маслосемян в сутки методом экстракции;25,0;3,5;133,8;503,6;94,9;15,2;421,6;420,6;156,1;1960,7;135,3;348,8;170,4;354,0;4159,4;162,6;9,7;2000,3;71,2;1536,0;1883,4;1160,8;345,0;3908,0;2558,1;2024,0;3100,0;;;;;;;;;;;;;;;;
хлебобулочных изделий, т  в сутки;206,9;410,2;153,7;118,4;247,3;201,0;287,3;183,0;190,2;167,5;232,4;178,0;140,7;159,4;121,8;163,5;309,9;98,2;198,5;200,0;102,0;142,9;165,9;96,0;144,7;114,6;40,2;;;;;;;;;;;;;;;;
Мощности по охране окружающей среды:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
станции для очистки сточных вод, млн. м3 воды в сутки;1,3;0,8;1,3;1,4;1,4;0,8;1,0;0,6;0,4;0,2;0,3;0,4;0,5;0,5;1,3;0,5;1,5;0,2;1,5;0,5;0,7;0,7;1,9;2,9;0,4;0,4;1,2;;;;;;;;;;;;;;;;
системы оборотного водоснабжения, млн. м3 воды в сутки;3,9;1,4;5,9;1,8;2,2;0,9;1,9;2,7;0,7;0,1;3,5;1,1;1,1;0,8;1,1;2,0;1,7;1,0;1,9;1,1;1,5;1,2;2,9;0,5;1,9;0,5;1,2;;;;;;;;;;;;;;;;
