СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
производство электрического оборудования;;;;;;;;;;;;;;;;;;;;;;;;;;;8741;
производство машин и оборудования, не включенных в другие группировки;;;;;;;;;;;;;;;;;;;;;;;;;;;17722;
производство автотранспортных средств, прицепов и полуприцепов;;;;;;;;;;;;;;;;;;;;;;;;;;;3335;
производство прочих транспортных средств и оборудования;;;;;;;;;;;;;;;;;;;;;;;;;;;4204;
производство мебели;;;;;;;;;;;;;;;;;;;;;;;;;;;18934;
производство прочих готовых изделий;;;;;;;;;;;;;;;;;;;;;;;;;;;8620;
"обеспечение электрической энергией, газом, паром; кондиционирование воздуха";;;;;;;;;;;;;;;;;;;;;;;;;;;23931;
"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;;;;;;;;;;;;;;;;;;;;;28221;
строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;493152;
"торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов ";;;;;;;;;;;;;;;;;;;;;;;;;;;1465129;
транспортировка и хранение;;;;;;;;;;;;;;;;;;;;;;;;;;;256495;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
деятельность сухопутного и трубопроводного транспорта;;;;;;;;;;;;;;;;;;;;;;;;;;;105136;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки;;;;;;;;;;;;;;;;;;;;;;;;;;;3594;
деятельность железнодорожного транспорта: грузовые перевозки;;;;;;;;;;;;;;;;;;;;;;;;;;;2056;
деятельность прочего пассажирского сухопутного транспорта;;;;;;;;;;;;;;;;;;;;;;;;;;;20289;
деятельность автомобильного грузового транспорта и услуги по перевозкам;;;;;;;;;;;;;;;;;;;;;;;;;;;78305;
 деятельность трубопроводного транспорта;;;;;;;;;;;;;;;;;;;;;;;;;;;889;
деятельность водного транспорта;;;;;;;;;;;;;;;;;;;;;;;;;;;3667;
деятельность воздушного и космического транспорта;;;;;;;;;;;;;;;;;;;;;;;;;;;1801;
складское хозяйство и вспомогательная транспортная деятельность;;;;;;;;;;;;;;;;;;;;;;;;;;;140405;
деятельность почтовой связи и курьерская деятельность;;;;;;;;;;;;;;;;;;;;;;;;;;;5529;
деятельность гостиниц и предприятий общественного питания;;;;;;;;;;;;;;;;;;;;;;;;;;;102878;
деятельность в области  информации и связи;;;;;;;;;;;;;;;;;;;;;;;;;;;134911;
деятельность финансовая и страховая;;;;;;;;;;;;;;;;;;;;;;;;;;;84220;
деятельность по операциям с нежвижимым имуществом;;;;;;;;;;;;;;;;;;;;;;;;;;;348226;
деятельность профессиональная, научная и техническая;;;;;;;;;;;;;;;;;;;;;;;;;;;382719;
" из нее научные исследования 
и разработки
";;;;;;;;;;;;;;;;;;;;;;;;;;;37272;
деятельность административная и сопутствующие дополнительные услуги;;;;;;;;;;;;;;;;;;;;;;;;;;;173088;
"государственное управление и обеспечение военной безопасности;  социальное страхование";;;;;;;;;;;;;;;;;;;;;;;;;;;94085;
образование;;;;;;;;;;;;;;;;;;;;;;;;;;;136820;
деятельность в области здравоохранения и социальных услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;82808;
деятельность в области культуры, спорта, организации досуга и развлечений;;;;;;;;;;;;;;;;;;;;;;;;;;;80269;
предоставление прочих видов услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;193622;
