;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Молоко и сливки, несгущенные;;…;…;…;…;515;515;391;413;473;611;558;726;931;1 142;869;930;977;1 153;1 129;1 181;591;535;691;731;935;775;799;…;…;…;;;;;;;;;
Молоко и сливки, сгущенные;;1 287;…;…;…;899;977;1 100;799;1090;1 103;1 206;1 290;1 578;1 898;1 601;1 423;1 927;1 735;2 100;2 028;1 293;1 222;1 429;1 261;1 336;1 456;1 664;…;…;…;;;;;;;;;
Cливочное масло;;…;…;…;…;1 682;1 378;1 224;1 239;1193;1 443;1 310;1 657;2 161;2 261;2 353;3 697;3 830;3 943;4 256;2 427;2 676;2 476;3 200;3 426;3 853;3 897;4 799;…;…;…;;;;;;;;;
Картофель свежий или охлажденный;;238;…;…;…;186;92,6;79,9;128;123;111;125;146;156;165;140;170;189;236;262;203;106;101;127;122;111;119;142;…;…;…;;;;;;;;;
Горох сушеный;;…;…;…;…;…;…;140;112;146;133;130;154;291;331;202;229;292;324;331;307;274;285;231;199;230;239;318;…;…;…;;;;;;;;;
Злаки;;86,1;…;…;…;81,3;108;88,4;75,7;101;118;112;141;247;242;159;174;243;278;250;235;184;165;173;191;201;208;265;…;…;…;;;;;;;;;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
пшеница и меслин;;137;…;…;…;80,1;117;88,7;75,7;103;116;110;141;250;245;164;175;242;281;252;245;186;166;175;192;201;212;269;…;…;…;;;;;;;;;
ячмень;;77,2;…;…;…;71,8;87,2;82;72,6;98,9;116;115;125;224;220;126;128;238;262;238;196;178;148;158;188;195;181;245;…;…;…;;;;;;;;;
Крупа;;281;…;…;…;360;347;247;210;353;375;305;393;459;608;413;505;770;577;614;540;495;495;447;409;463;475;508;…;…;…;;;;;;;;;
Масло подсолнечное, сафлоровое или хлопковое и их фракции;;913;…;…;…;612;419;519;664;701;721;649;580;787;1407;803;676;1 152;1 132;1 085;875;824;804;765;762;708;770;1 282;…;…;…;;;;;;;;;
Готовые или консервированные продукты из мяса;;1 858;…;…;…;1788;1524;1474;1595;1439;1 455;1 332;1 657;2 113;2 341;2 242;2 521;3 353;2 690;2 654;2 702;2 039;2 087;2 403;2 414;2 475;1 953;2 227;…;…;…;;;;;;;;;
Готовая или консервированная рыба;;8 043;…;…;…;3730;2667;2454;2238;1547;1 517;1 549;1 938;2 241;2 686;2 795;2 785;3 248;3 527;3 132;2 626;2 265;2 455;2 867;3 481;3 008;2 246;3 231;…;…;…;;;;;;;;;
Сахар белый ;;534;…;…;…;333;276;296;233;273;274;260;445;409;472;423;716;828;714;866;815;869;558;491;471;395;382;563;…;…;…;;;;;;;;;
Макаронные изделия;;669;…;…;…;500;611;617;603;667;563;660;707;8 509;1 209;924;903;1 207;1 154;1 416;1 342;1 028;910;962;869;943;873;1 039;…;…;…;;;;;;;;;
"Соль, пригодная для употребления 
в пищу";;…;…;…;…;…;…;44634;…;…;…;…;70,4;80,1;104;108;165;190;189;193;143;103;101;119;109;126;126;121;…;…;…;;;;;;;;;
