;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресурсы;2 663,2;39 418,4;321 038,4;1 092 239,8;2 876 517,3;3 978 741,9;4 542 126,0;4 820 340,4;8 798 562,8;13 385 659,2;17 020 277,1;20 239 740,0;24 861 573,0;31 659 046,4;40 112 701,7;50 163 724,2;62 515 174,5;77 695 808,7;73 092 342,8;88 323 078,6;109 062 501,9;122 158 530,6;132 133 523,3;143 046 215,4;154 392 265,1;161 933 423,2;175 002 137,1;196 977 402,1;207 854 275,4;208 274 413,1;260 786 342,4;293 458 195,7;334 929 121,8;381 793 623,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Выпуск в основных ценах;2 612,1;39 083,7;305 481,0;1 044 341,5;2 767 620,5;3 799 125,9;4 327 531,3;4 573 977,1;8 303 202,6;12 552 211,7;15 922 787,8;18 990 498,6;23 273 089,5;29 490 622,6;37 020 602,0;46 223 866,5;57 752 132,5;71 601 657,9;68 116 448,0;82 054 614,9;100 864 092,3;112 990 772,9;122 869 078,1;132 754 069,3;145 925 412,7;153 394 472,7;166 056 377,3;185 944 593,4;196 733 129,8;197 612 375,1;246 859 637,1;278 988 942,8;317 492 105,8;363 668 446,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Налоги на продукты;141,1;3 592,0;26 028,6;71 923,4;184 071,2;269 095,0;320 255,8;338 824,5;613 854,6;980 880,4;1 268 911,4;1 415 153,0;1 775 123,2;2 352 124,6;3 248 224,8;4 090 102,5;4 977 558,7;6 323 848,4;5 202 132,9;6 462 567,9;8 413 321,9;9 411 798,2;9 510 857,9;10 550 847,9;8 738 499,6;8 817 205,9;9 264 512,5;11 341 881,2;11 623 598,1;11 399 889,6;15 289 528,8;15 824 664,5;18 905 089,2;19 756 177,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Субсидии на продукты (-);90,0;3 257,3;10 471,2;24 025,1;75 174,4;89 479,0;105 661,1;92 461,2;118 494,4;147 432,9;171 422,1;165 911,6;186 639,7;183 700,7;156 125,1;150 244,8;214 516,7;229 697,6;226 238,1;194 104,2;214 912,3;244 040,6;246 412,7;258 701,8;271 647,2;278 255,4;318 752,7;309 072,5;502 452,5;737 851,6;1 362 823,5;1 355 411,7;1 468 073,3;1 631 000,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Использование;2 663,2;39 418,4;321 038,4;1 092 239,8;2 876 517,3;3 978 741,9;4 542 126,0;4 820 340,4;8 798 562,8;13 385 659,2;17 020 277,1;20 239 740,0;24 861 573,0;31 659 046,4;40 112 701,7;50 163 724,2;62 515 174,5;77 695 808,7;73 092 342,8;88 323 078,6;109 062 501,9;122 158 530,6;132 133 523,3;143 046 215,4;154 392 265,1;161 933 423,2;175 002 137,1;196 977 402,1;207 854 275,4;208 274 413,1;260 786 342,4;293 458 195,7;334 929 121,8;381 793 623,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Промежуточное потребление;1 264,7;20 412,9;149 528,9;481 494,6;1 447 995,2;1 970 916,8;2 199 612,0;2 190 717,4;3 975 329,3;6 080 012,9;8 076 694,7;9 409 204,9;11 653 339,2;14 631 855,5;18 502 936,2;23 246 522,8;29 267 661,3;36 418 959,6;34 285 124,2;42 014 537,4;48 948 501,1;54 055 081,0;59 147 822,2;64 016 175,3;71 304 905,0;76 317 339,4;83 158 982,9;93 115 751,0;98 245 969,6;100 616 282,1;126 058 875,0;136 517 272,5;158 515 534,6;180 641 531,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Валовой внутренний продукт 
в рыночных ценах";1 398,5;19 005,5;171 509,5;610 745,2;1 428 522,1;2 007 825,1;2 342 514,0;2 629 623,0;4 823 233,5;7 305 646,3;8 943 582,4;10 830 535,1;13 208 233,8;17 027 190,9;21 609 765,5;26 917 201,4;33 247 513,2;41 276 849,2;38 807 218,6;46 308 541,2;60 114 000,8;68 103 449,6;72 985 701,1;79 030 040,1;83 087 360,1;85 616 083,8;91 843 154,2;103 861 651,1;109 608 305,7;107 658 131,0;134 727 467,4;156 940 923,2;176 413 587,1;201 152 092,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Счет образования доходов  
(в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресурсы;1 398,5;19 005,5;171 509,5;610 745,2;1 428 522,1;2 007 825,1;2 342 514,0;2 629 623,0;4 823 233,5;7 305 646,3;8 943 582,4;10 830 535,1;13 208 233,8;17 027 190,9;21 609 765,5;26 917 201,4;33 247 513,2;41 276 849,2;38 807 218,6;46 308 541,2;60 114 000,8;68 103 449,6;72 985 701,1;79 030 040,1;83 087 360,1;85 616 083,8;91 843 154,2;103 861 651,1;109 608 305,8;107 658 131,0;134 727 467,4;156 940 923,2;176 413 587,1;201 152 092,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Валовой внутренний продукт 
в рыночных ценах";1 398,5;19 005,5;171 509,5;610 745,2;1 428 522,1;2 007 825,1;2 342 514,0;2 629 623,0;4 823 233,5;7 305 646,3;8 943 582,4;10 830 535,1;13 208 233,8;17 027 190,9;21 609 765,5;26 917 201,4;33 247 513,2;41 276 849,2;38 807 218,6;46 308 541,2;60 114 000,8;68 103 449,6;72 985 701,1;79 030 040,1;83 087 360,1;85 616 083,8;91 843 154,2;103 861 651,1;109 608 305,8;107 658 131,0;134 727 467,4;156 940 923,2;176 413 587,1;201 152 092,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
