Социальные трансферты в натуральной форме1);148;1 670,9;22 810,9;78 341,1;151 802,1;214 986,6;263 783,6;263 155,3;348 641,0;518 285,8;695 697,1;990 675,1;1 170 413,8;1 409 916,8;1 802 277,9;2 308 889,2;2 895 881,3;3 716 868,2;4 053 006,0;4 344 349,0;5 130 518,7;5 474 189,4;5 985 913,3;6 467 308,9;6 721 698,4;6 909 321,2;7 182 602,6;8 219 775,4;9 348 874,8;10 401 053,7;11 423 481,0;…;…;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Фактическое конечное потребление1);855,4;9 183,6;106 755,4;422 052,7;1 016 594,3;1 435 869,8;1 776 137,6;2 003 790,1;3 285 678,1;4 476 850,9;5 886 860,6;7 484 115,5;9 058 687,6;11 477 849,6;14 438 149,2;17 809 740,7;21 968 579,5;27 543 511,4;29 269 625,1;32 514 673,2;40 883 862,9;47 273 436,1;52 433 659,7;56 735 901,6;58 531 125,9;61 398 518,2;65 289 518,7;70 705 213,0;76 397 446,2;76 939 703,0;91 038 120,7;101 793 553,2;118 581 326,6;136 628 076,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
домашних хозяйств;713,6;7 879,1;90 830,5;345 453,7;871 595,6;1 222 813,6;1 498 997,3;1 725 439,3;2 874 808,9;3 813 523,1;5 013 818,2;6 399 832,8;7 707 815,3;9 848 400,9;12 455 135,7;15 283 632,6;18 927 621,1;23 683 822,9;25 038 942,1;27 961 972,3;35 193 124,6;40 262 713,8;44 530 222,9;48 665 973,2;50 177 877,9;52 153 835,8;55 360 632,8;60 103 498,7;65 458 537,9;65 153 149,7;78 432 138,9;…;…;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
государственного управления;141,8;1 304,5;15 924,9;76 599,0;144 998,7;213 056,2;277 140,3;278 350,8;410 869,2;663 327,8;873 042,4;1 084 282,7;1 350 872,3;1 629 448,7;1 983 013,5;2 526 108,1;3 040 958,4;3 859 688,5;4 230 683,0;4 552 700,9;5 690 738,3;7 010 722,3;7 903 436,8;8 069 928,4;8 353 248,0;9 244 682,4;9 928 885,9;10 601 714,3;10 938 908,3;11 786 553,3;12 605 981,8;…;…;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Среднедушевые денежные доходы населения 
(в месяц), руб. (до 1998 г. - тыс.руб.; 
до 2010 г.-  без учета данных по Чеченской Республике, до 2015 г. - без учета данных 
по Республике Крым и г. Севастополю) ";0,5;4,0;45,3;206,6;515,9;769,5;940,6;1 010;1 659;2 281;3 062;3 947;5 167;6 399;8 088;10 155;12 540;14 864;16 895;18 958;20 772;23 193;25 631;27 333;30 140;30 717;31 714;33 138;35 233;35 934;39 934;47 386;53 579;63 959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Реальные располагаемые денежные доходы населения (до 2011 г. - без учета данных 
по Чеченской Республике, до 2016 г. - без учета данных по Республике Крым и г. Севастополю), 
в процентах к предыдущему году2)";120,9;52,5;116,4;112,9;85,0;100,6;105,8;84,1;87,7;112,0;108,7;111,1;115,0;110,4;112,4;113,5;112,1;102,4;103,0;105,9;100,5;104,6;104,0;98,8;97,6;95,5;99,5;100,7;101,2;98,0;103,3;104,5;106,1;108,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Среднемесячная номинальная начисленная заработная плата работников организаций, руб. 
(до 1998 г. - тыс. рублей)";0,548;6,0;58,7;220,4;472,4;790,2;950,2;1 051;1 523;2 223;3 240;4 360;5 499;6 740;8 555;10 634;13 593;17 290;18 638;20 952;23 369;26 629;29 792;32 495;34 030;36 709;39 167;43 724;47 867;51 344;57 244;65 338;74 854;89 069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Реальная начисленная заработная плата работников организаций, в процентах к предыдущему году3);96,6;67,3;100,4;92,1;72,0;106,4;104,7;86,7;78,0;120,9;119,9;116,2;110,9;110,6;112,6;113,3;117,2;111,5;96,5;105,2;102,8;108,4;104,8;101,2;91,0;100,8;102,9;108,5;104,8;103,8;104,5;100,3;108,2;109,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
______________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
