,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Поступление средств в Фонд социального страхования Российской Федерации5), млрд руб. (до 1998 г. - трлн руб.)",,0.2,2.0,7.5,17.6,27.1,31.5,32.5,51.9,86.6,89.0,116.4,137.2,159.3,186.7,218.9,295.4,360.5,440.0,463.8,558.6,630.8,603.5,569.8,541.3,616.4,691.8,735.2,770.6,903.4,"1,428.5","1,029.6",-,-
"Расходование средств Фонда социального страхования Российской Федерации5), млрд руб. (до 1998 г. - трлн руб.)",,0.15,1.6,6.6,17.5,26.8,30.4,31.1,43.9,70.0,93.7,125.6,136.2,140.6,165.3,208.2,303.1,379.4,448.5,491.2,497.6,531.2,566.2,546.2,612.1,664.9,670.8,702.2,738.1,"1,038.8","1,316.9","1,149.4",-,-
"Поступление средств в Федеральный фонд обязательного медицинского страхования6), млрд руб. (до 1998 г. - трлн руб.)",,,0.1,0.3,0.5,0.8,1.1,1.3,2.0,2.9,4.0,5.1,5.8,6.8,83.0,125.5,157.8,162.6,126.6,101.8,348.4,966.5,"1,101.4","1,250.5","1,573.5","1,657.6","1,737.2","1,895.9","2,124.0","2,392.7","2,631.4","2,919.4","3,290.7","3,870.4"
"Расходование средств Федерального фонда обязательного медицинского страхования6), млрд руб. (до 1998 г. - трлн руб.)",,,0.0,0.3,0.5,0.8,1.1,1.3,2.0,2.9,4.0,5.1,5.8,6.8,71.5,119.4,158.2,168.7,130.0,109.1,310.4,932.2,"1,048.7","1,268.7","1,638.8","1,590.2","1,655.0","1,988.5","2,186.7","2,360.5","2,569.5","2,797.1","3,185.9","3,889.4"
"Международные резервы Российской Федерации2), включая золото, на конец года, млрд  долл. США",2.8,4.5,8.9,6.5,17.2,15.3,17.8,12.2,12.5,28.0,36.6,47.8,76.9,124.5,182.2,303.7,478.8,426.3,439.5,479.4,498.6,537.6,509.6,385.5,368.4,377.7,432.7,468.5,554.4,595.8,630.6,582.0,598.6,609.1
_____________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) По данным Федерального казначейства.  С 2023 г. с учетом информации по Донецкой Народной Республике, Луганской Народной Республике, Запорожской и Херсонской областям.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2) По данным Банка России.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3)  По данным Федеральной налоговой службы. Данные за 2014 г. без учета сведений по Республике Крым и г. Севастополю. С 1 января 2021 г. представлена совокупная задолженность по налогам и сборам, страховым взносам, пеням, налоговым санкциям и процентам в бюджетную систему Российской Федерации. С 1 января 2024 г. информация не подлежит публикации.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4) С 1992 по 2020 г. по данным статистического наблюдения Росстата. С 2021 по 2022 г. по данным Пенсионного фонда Российской Федерации. С 2023 г. по данным Фонда пенсионного и социального страхования Российской Федерации, с учетом информации по Донецкой Народной Республике, Луганской Народной Республике, Запорожской и Херсонской областям.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5)С 1992 по 2022 г. по данным статистического наблюдения Росстата.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6) С 1992 по 2020 г. по данным статистического наблюдения Росстата. С 2021 г. по данным Федерального казначейства. С 2023 г. с учетом информации по Донецкой Народной Республике, Луганской Народной Республике, Запорожской и Херсонской областям.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Денежно-кредитная система1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Денежная масса М2, млрд руб., на конец года (до 1998 г. - трлн руб.)",0.9,6.5,33.2,97.8,220.8,288.3,374.1,453.7,714.6,"1,150.6","1,609.4","2,130.5","3,205.2","4,353.9","6,032.1","8,970.7","12,869.0","12,975.9","15,267.6","20,011.9","24,204.8","27,164.6","31,155.6","31,615.7","35,179.7","38,418.0","42,442.2","47,109.3","51,660.3","58,652.1","66,252.9","82,388.0","98 385,4","117,256.4"
"Наличные деньги в обращении М0, млрд руб., на конец года, (до 1998 г. - трлн руб.) ",0.2,1.7,13.3,36.5,80.8,103.8,130.3,187.7,266.1,418.9,583.8,763.2,"1,147.0","1,534.8","2,009.2","2,785.2","3,702.2","3,794.8","4,038.1","5,062.7","5,938.6","6,430.1","6,985.6","7,171.5","7,239.1","7,714.8","8,446.0","9,339.0","9,658.4","12,523.9","13,200.4","15,435.7","17 134,0","17,274.0"
"Безналичные средства, млрд руб., на конец года, (до 1998 г. -  трлн руб.)",0.8,4.8,19.9,61.3,140.0,184.5,243.7,266.0,448.4,731.7,"1,025.6","1,367.3","2,058.2","2,819.1","4,022.9","6,185.6","9,166.7","9,181.1","11,229.5","14,949.1","18,266.2","20,734.6","24,170.0","24,444.2","27,940.6","30,703.2","33,996.2","37,770.3","42,001.9","46,128.2","53,052.5","66,952.3","81 251,4","99,982.4"
"Переводные депозиты, млрд руб., на конец года",,,,,,,,,,,,,,,,,,,,"5,797.1","6,818.3","7,264.0","8,526.3","8,170.0","9,276.4","9,927.6","11,062.8","12,285.1","14,203.3","19,261.7","22,808.3","28,582.8","32 551,8","34,441.5"
"Другие депозиты, млрд руб., на конец года",,,,,,,,,,,,,,,,,,,,"9,152.0","11,447.9","13,470.6","15,643.7","16,274.3","18,664.1","20,775.6","22,933.3","25,485.2","27,798.6","26,866.5","30,244.2","38,369.5","48,699.6","65,540.9"
"Кредиты, депозиты и прочие средства, предоставленные корпоративным клиентам, физическим лицам и кредитным организациям всего, млн руб. на конец года2)",,,,,,,,"469,425","687,541","1,061,293","1,537,608","2,112,229","2,987,113","4,373,098","6,211,992","9,218,221","13,923,789","19,362,452","19,179,636","21,537,339","27,911,610","32,886,943","38,767,926","49,069,454","54,263,040","52,815,991","55,809,585","62,302,427","65,675,315","75,001,400","89,649,499",98 126 769,"124,650,920","145,262,866"
"Кредиты и прочие средства, предоставленные корпоративным клиентам в рублях, млн руб, на конец года",,,,,,,,"103,829","252,590","522,014","844,987","1,091,088","1,621,552","2,422,356","3,110,082","4,601,204","7,101,808","9,165,304","9,386,042","10,773,870","13,878,544","16,435,183","18,191,891","20,849,792","21,253,717","22,036,746","24,380,792","27,491,225","29,742,572","33,136,556","39,702,093",49 165 404,"61,359,838","75,206,577"
"Кредиты, предоставленные физическим лицам в рублях, млн руб, на конец года",,,,,,,,"9,386","13,155","26,542","61,289","88,079","197,772","448,164","883,084","1,578,632","2,566,736","3,537,211","3,169,902","3,725,244","5,227,319","7,492,697","9,719,936","11,028,783","10,395,828","10,643,612","12,065,458","14,790,659","17,568,169","19,949,573","25,011,345",27 409 610,"33,726,769","36,946,696"
"Кредиты и прочие средства, предоставленные корпоративным клиентам в иностранной валюте, млн руб, на конец года",,,,,,,,"245,680","236,971","299,561","419,211","617,009","852,738","984,429","1,374,294","1,696,863","2,430,753","3,678,215","3,493,157","3,755,988","4,522,372","4,482,182","5,486,152","9,992,617","13,706,311","10,875,242","9,439,144","10,519,751","9,261,120","11,623,634","12,243,359",9 511 367,"11,838,321","11,876,858"
"Кредиты, предоставленные физическим лицам в иностранной валюте, млн руб, 
на конец года",,,,,,,,"9,163","11,371","9,540","15,206","24,461","50,891","89,997","172,738","304,072","404,389","480,001","403,850","359,577","323,565","244,373","237,158","300,766","288,503","160,330","108,234","110,736","82,560","94,070","56,235",28 197,"32,235","27,671"
"Число кредитных организаций, зарегистрированных на  территории Российской  Федерации, на конец года",,"1,713","2,019","2,517","2,598","2,601","2,552","2,481","2,376","2,124","2,001","1,826","1,666","1,516","1,409","1,345","1,296","1,228","1,178","1,146","1,112","1,094","1,071","1,049","1,021",975,923,881,836,794,745,704,679,669
"Число кредитных организаций 
с иностранным участием в уставном капитале, имеющих право на осуществление банковских операций, на конец года",,,,,165,152,145,142,133,130,126,126,128,131,136,153,202,221,226,220,230,244,251,225,199,174,160,141,133,124,115,108,96,87
"Число филиалов действующих кредитных организаций на территории Российской Федерации, на конец года",,"3,135","4,539","5,486","44,148","39,549","6,353","4,453","3,923","3,793","3,433","3,326","3,219","3,238","3,295","3,281","3,455","3,470","3,183","2,926","2,807","2,349","2,005","1,708","1,398","1,098",890,709,618,530,471,447,415,394
"Зарегистрированный уставный капитал действующих кредитных организаций, 
млрд  руб., на конец года",,,1.1,4.4,11.2,18.7,33.2,52.5,111.1,207.4,261.0,300.4,362.0,380.5,444.4,566.5,731.7,881.4,1244.4,1186.2,1214.3,"1,341.4","1,463.9","1,840.3","2,329.4","2,383.2","2,635.1","2,655.4","2,822.7","2,765.4","2,830.1","2,963.5","3,409.5","3,513.5"
"Общий объем привлеченных кредитными организациями средств юридических и физических лиц в рублях и иностранной валюте, на конец года; млн руб.",,,,,,,,"465,112","611,509","883,363","1,202,659","1,745,964","2,575,604","3,501,909","5,152,273","7,777,512","13,386,898","14,613,191","16,199,625","19,729,799","24,944,937","28,781,726","32,794,614","42,334,858","49,544,744","49,412,194","53,513,823","59,919,520","61,027,361","67,151,210","77,210,153","84,589,902","107,692,065","132,456,934"
"Депозиты и прочие привлеченные средства  юридических лиц в рублях и иностранной валюте3), на конец года; млн руб.",,,,,,,,"68,204","138,243","251,319","308,993","383,047","509,093","757,931","1,271,137","2,146,735","3,520,009","4,945,434","5,466,580","6,035,603","8,367,397","9,619,503","10,838,319","17,007,890","19,018,218","16,385,170","17,900,432","21,651,970","21,683,994","24,406,748","29,832,309","34,976,384","43,461,872","51,886,127"
"Кредиты, депозиты и прочие привлеченные средства кредитных организаций в рублях и иностранной валюте, на конец года; млн руб.",,,,,,,,"195,264","172,718","178,719","203,068","315,438","525,337","737,147","1,086,448","1,769,632","4,625,282","3,679,398","3,157,482","3,754,932","4,560,153","4,738,362","4,806,027","6,594,226","7,091,047","8,559,118","9,265,260","9,190,342","8,147,144","8,848,534","11,354,903","11,419,984","17,143,246","20,422,914"
"Депозиты и средства на счетах индивидуальных предпринимателей в рублях и иностранной валюте, на конец года; млн  руб.",,,,,,,,"1,499","3,308","7,502","12,109","16,672","21,720","26,015","33,494","51,431","82,407","81,369","90,593","121,216","146,023","172,815","192,737","180,060","216,402","267,584","360,724","617,754","784,339","1,061,700","1,328,179","1,574,332","2,166,088","2,615,139"
"Средства (вклады) физических лиц в рублях и иностранной валюте4) , на конец года; 
млн руб.",,,,,,,,"200,145","297,240","445,823","678,489","1,030,807","1,519,454","1,980,816","2,761,194","3,809,714","5,159,200","5,906,990","7,484,970","9,818,048","11,871,363","14,251,046","16,957,531","18,552,682","23,219,077","24,200,322","25,987,406","28,459,454","30,411,883","32,834,229","34,694,763","36,619,202","44,920,859","57,532,754"
"Официальные курсы иностранных валют по отношению к российскому рублю, на конец года:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Доллар США (до 1998 г. - тыс.руб.),55.71,0.41,1.25,3.55,4.64,5.56,5.96,20.65,27.00,28.16,30.14,31.78,29.45,27.75,28.78,26.33,24.55,29.38,30.24,30.48,32.20,30.37,32.73,56.26,72.88,60.66,57.60,69.47,61.91,73.88,74.29,70.34,89.69,101.68
Евро,,,,,,,,,27.23,26.14,26.49,33.11,36.82,37.81,34.19,34.70,35.93,41.44,43.39,40.33,41.67,40.23,44.97,68.34,79.70,63.81,68.87,79.46,69.34,90.68,84.07,75.66,99.19,106.10
"Вклады (депозиты) физических лиц в рублях и иностранной валюте
в ПАО Сбербанк 5);6), на конец года; млн руб (до 1998 г. - млрд руб.)",372.3,658.3,"3,966.8","17,556.9","51,144.6","96,413.5","127,023.2","153,308.5","232,816.1","347,105.9","501,370.4","698,934.7","957,932.7","1,185,059.0","1,500,114.5","2,020,276.6","2,660,899.3","3,063,602.4","3,701,093.6","4,702,079.5","5,532,248.3","6,510,314.8","7,915,893.9","8,347,329.8","10,673,461.2","11,372,237.0","12,069,469.5","12,941,454.6","13,471,436.1","15,610,834.1","17,011,215.0","18,161,490.1","22,419,525.4","27,009,374.2"
"Средний размер вклада на рублевых счетах 
в ПАО Сбербанк 5), на конец года; руб. 
(до 1998 г. - без учёта изменения нарицательной стоимости)","2,640","3,233","18,811","74,981","226,297","428,290","512,203",559,800,"1,142","1,566","2,121","3,029","3,728","4,628","6,373","8,220","8,469","9,895","12,415","13,691","14,557","16,383","14,855","16,313","18,081","19,471","22,990","23,913","26,495","28,472","32,396","39,421","41,024"
"Средний размер вклада на валютных счетах 
в ПАО Сбербанк 5), на конец года; руб.",,,,,,,,,,"45,794","56,910","68,008","67,922","70,397","78,190","73,832","75,533","125,942","138,148","136,510","161,113","171,091","196,129","308,163","422,428","366,922","337,833","340,525","290,147","317,626","286,398","150,276","172,368","175,600"
_____________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  По данным Банка России.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Включая кредиты, предоставленные иностранным государствам и юридическим лицам-нерезидентам",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) С 2019 г. данные приведены с учетом депозитов индивидуальных предпринимателей.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) С 2019 г. данные приведены  без учета счетов эскроу физических лиц по договорам участия в долевом строительстве.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5)  По данным ПАО Сбербанк ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6) С 2019 г. данные приведены с учетом счетов эскроу физических лиц по договорам участия в долевом строительстве.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рынок ценных бумаг1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Объем эмиссии, млрд руб. 
(до 1998 г.- трлн руб.)",,,0.2,20.5,171.0,479.0,605.5,335.9,11.5,19.5,89.0,152.0,185.0,172.3,160.0,186.0,262.0,277.0,381.0,760.0,940.0,750.0,491.0,15.0,160.0,20.0,"1,419.5",20.0,256.9,0.0,930.0,"2 275,0","3 850,1",750.0
"Объем размещения и доразмещения 
по номиналу, млрд руб. 
(до 1998 г.- трлн руб.)",,,0.2,17.5,159.5,430.5,502.0,258.6,172.8,20.5,60.4,142.6,134.8,169.2,169.1,186.0,245.2,185.3,419.2,715.6,756.1,794.6,764.8,159.9,668.1,121.3,126.3,63.6,659.5,"5,294.7","2,641.2","3,281.3","2 845,6",4376.9
"Объем выручки, полученной в результате размещения и доразмещения ГКО-ОФЗ, млрд руб. (до 1998 г.- трлн руб.)",,,0.2,12.9,122.3,322.9,436.2,193.7,12.6,20.3,56.4,133.9,136.0,184.5,171.6,192.2,253.3,183.3,426.9,728.5,760.8,811.0,770.2,147.9,708.7,"1,089.6","1,704.9",703.4,"1,747.8","5,302.6","2,532.1","3,130.6","2 624,7","4 007,7"
"Объем погашений/купонных выплат, 
млрд руб. (до 1998 г.- трлн руб.)",,,0.0,7.1,95.5,287.7,402.1,244.1,80.4,93.3,111.6,108.0,138.3,108.6,118.1,113.7,138.5,161.5,174.4,244.3,471.1,618.7,634.9,560.0,810.1,890.4,"1,109.9",954.1,"1,281.2","1,202.5","1,737.1","2,114.3","2,293.0",3595.8
"Перечислено средств в бюджет, млрд руб.2) (до 1998 г.- трлн руб.)",,,0.2,5.7,26.8,35.2,32.7,-50.4,-67.8,-73.0,-55.2,25.9,-2.4,75.9,53.5,78.5,114.8,21.9,252.5,484.2,289.7,192.4,135.3,-412.0,-101.3,199.2,595.0,-250.6,466.6,"4,100.1",795.0,"1,016.3",331.8,412.0
"Объем государственного внутреннего долга по государственным краткосрочным облигациям (ГКО) и облигациям  федерального займа (ОФЗ), млрд руб. (до 1998 г.- трлн руб.)",,,0.2,10.6,76.6,237.1,384.9,385.8,270.4,185.1,160.2,217.0,314.7,557.6,721.6,875.6,"1,047.4","1,144.0","1,469.7","2,054.2","2,803.3","3,196.7","3,634.8","4,593.2","4,990.5","5,611.4","6,719.1","7,250.5","8,894.2","13,665.0","15,494.1","17,882.6","19 962,7","22 989,9"
_____________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Без учёта нерыночных выпусков. По данным Банка России.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Знак (-) означает изъятие средств из бюджета на погашение выпусков ценных бумаг и выплату купонных доходов.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Деятельность страховщиков1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Число учтенных страховщиков2) ,,,"1,534","2,175","2,217","2,043","1,893","1,493","1,318","1,166","1,196","1,205","1,187","1,063",983,921,849,777,693,600,514,436,409,395,360,297,246,231,198,177,170,162,156,155
Число филиалов страховщиков2),,,"4,554","6,935","6,393","6,750","5,062","4,753","4,820","4,507","4,628","5,249","4,955","4,944","5,038","5,171","5,341","5,443","5,213","4,567","4,332","5,081","5,180","4,803","4,863","3,973","3,886","3,479","3,829","2,946","2,736","2,494","2,463","2,407"
"Уставный капитал страховых организаций2), млн руб. (до 1998 г . - млрд руб.)",,,87.7,494.9,"1,642.1","2,427.0","4,919.7","7,434.8","10,809.0","16,041.6","36,614.0","52,947.1","76,336.4","130,350.3","142,042.1","149,411.2","156,556.0","158,722.0","150,687.1","155,175.2","177,860.3","198,644.1","224,105.9","217,041.8","204,294.1","228,343.1","212,614.8","210,994.4","534,658.0","227,350.0","243,023.0","231,069.8","245,993.8","246,319.9"
"Среднесписочная численность работников страховщика, человек",,,"131,271","94,700","84,695","70,252","64,566","56,420","55,473","50,452","47,232","46,131","52,783","52,618","67,218","40,766","37,056","20,346","28,736","29,355","35,099","129,460","131,330","125,422","160,818","115,122","105,471","106,036","114,755","99,198","96,642","90,109","91,554","96,597"
"Средняя численность страховых агентов - физических лиц в страховых организациях, человек",,,"65,711","97,627","104,735","71,791","60,198","47,841","47,542","52,156","51,131","54,424","85,545","117,878","137,151","199,149","190,843","194,162","196,469","177,306","163,687","272,362","180,996","168,705","223,164","151,459","140,036","118,871","153,418","156,100","157,287","165,266","163,939","166,844"
"Число заключенных договоров страхования3), млн ",,,144.2,152.6,113.3,86.0,80.8,75.6,83.1,90.9,90.6,99.7,106.4,108.0,138.1,133.4,147.2,157.8,120.0,128.1,133.2,140.7,139.1,157.9,144.7,171.8,194.1,205.6,208.0,178.7,232.0,266.6,297.9,292.7
"Страховые премии (взносы)3), млн руб. 
(до 1998 г. - млрд руб.)",,,"1,257.5","7,955.5","23,641.1","29,056.8","36,570.4","43,651.9","96,695.5","170,074.1","291,174.3","329,877.8","446,791.0","470,525.7","506,151.1","614,001.9","775,083.0","954,754.2","979,099.3","1,036,677.0","1,269,762.8","811,105.2","901,077.9","983,400.6","1,033,532.0","1,190,596.9","1,284,990.8","1,488,087.8","1,486,289.4","1,548,818.6","1,819,700.0","1,827,886.7","2 289 604,3","3,754,893.7"
"Выплаты по договорам страхования3), 
млн руб. (до 1998 г. - млрд  руб.)",,,633.7,"5,136.1","17,193.7","23,385.4","26,911.6","33,596.6","64,589.7","138,566.0","201,002.7","232,530.4","292,346.4","293,562.8","308,484.4","356,934.3","486,597.2","633,233.6","739,908.1","774,830.6","902,205.7","376,601.8","419,850.7","473,469.1","513,954.8","514,070.3","513,205.4","523,992.9","615,869.6","664,717.4","804,933.9","896,450.1","1 037 972,6","2,146,493.9"
"Сальдированный финансовый результат (прибыль минус убыток) страховых организаций, млн руб. 
(до 1998 г. - млрд руб.)",,,,,,,778.8,665.5,"1,103.9","2,089.3","2,795.8","11,373.2","15,458.4","10,203.8","28,800.4","30,550.8","26,330.2","11,748.0","-1,074.7","38,121.1","42,233.9","68,724.4","45,134.8","62,718.0","129,474.5","115,211.6","117,408.5","205,756.4","243,402.8","249,078.1","241,659.6","215,515.2","383,772.5","539,197.3"
"Дебиторская задолженность страховых организаций2), млн руб.",,,,,,,,,,,,"40,067.3","51,595.8","73,088.3","107,985.1","118,432.9","144,571.8","183,219.2","184,033.7","201,893.8","178,254.4","215,507.7","255,638.7","366,855.3","357,665.3","345,994.7","282,222.8","290,456.7","318,161.8","367,772.2","393,277.7","426,059.9","474,576.8","565,920.8"
"Кредиторская задолженность страховых организаций2), млн  руб.",,,,,,,,,,,,"45,108.9","53,641.9","64,434.3","71,530.9","75,533.7","103,392.1","112,607.9","105,692.1","101,453.3","96,929.8","107,744.8","137,394.7","164,261.1","173,841.3","151,018.6","222,495.7","254,812.8","267,701.7","327,957.4","336,525.4","336,704.1","433,845.7","526,286.0"
"Поступило средств в страховые медицинские организации, млн руб.",,,,,,,,,,,,,,,,,,,,,,"840,235.9","1,199,749.9","1,360,134.4","1,537,111.7","1,543,826.5","1,575,033.6","1,929,685.1","2,123,586.8","2,247,156.1","2,740,348.0","2,707,480.1","2 912 332,7","3,297,854.6"
"Использовано средств страховыми медицинскими организациями, млн руб.",,,,,,,,,,,,,,,,,,,,,,"804,749.8","1,137,611.7","1,305,540.0","1,459,754.6","1,490,684.8","1,520,006.3","1,865,536.5","2,062,781.2","2,116,039.0","2,677,614.6","2,621,129.1","2 827 343,2","3,200,131.3"
_____________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  С 2012 г. – с учетом обществ взаимного страхования. Данные за 2014 г. без учета сведений по Республике Крым и г. Севастополю.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2)  На конец периода.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) С 2012 г. - без учета обязательного медицинского страхования.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Финансовые результаты 
и платежеспособность1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Сальдированный финансовый результат (прибыль (убыток) до налогообложения, 
млн руб",,,,,,"124,989","173,998","-115,111","723,158","1,190,597","1,141,253","923,320","1,456,171","2,485,439","3,225,916","5,721,598","6,040,922","3,801,161","4,431,609","6,330,589","7,139,536","7,824,538","6,853,753","4,346,793","7,502,736","12,801,581","9,036,848","12,400,336","16,632,502","13,418,848","33,915,821","22,313,616","35,378,535","30,157,471"
"Удельный вес убыточных организаций, процентов",,,,,,50.6,50.1,53.2,40.8,39.8,37.9,43.5,43.0,38.1,36.4,32.5,25.5,28.3,32.0,"29,9",30.0,29.1,31.0,33.0,32.6,29.5,31.9,33.1,32.5,32.7,29.2,29.3,28.1,28.5
"Сумма убытка, млн  руб ",,,,,,"113,504","135,010","472,690","161,710","170,231","216,553","350,095","359,580","293,113","447,695","363,027","370,693","1,553,201","1,420,117","1,022,225","1,654,030","1,388,698","2,664,992","6,118,282","5,151,153","3,021,836","5,042,249","5,932,383","3,973,058","7,743,196","4,375,889","10,362,320",7 570 446,"13,000,493"
