СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2016 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;;;;;;;;;;;;;;;;;
1) По данным Роспатента  (за 1991, 1992 гг. - данных нет).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Статистическое наблюдение ведется с 1997 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) Начиная с 2014 г. данные формируются в долл. США.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Технологические, организационные и маркетинговые инновации1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Удельный вес организаций добывающих, обрабатывающих производств, по производству и распределению электроэнергии, газа и воды, осуществлявших технологические инновации, в общем числе организаций, процентов;;;;;5,5;5,2;4,7;5,0;6,2;10,6;9,6;9,8;10,3;10,5;9,3;9,4;9,4;9,6;9,4;9,3;9,6;9,9;9,7;9,7;9,5;9,2;;;;;;;;;;;;;;;;;
Удельный вес организаций связи, осуществлявших технологические инновации, в общем числе организаций, процентов2);;;;;;;;8,3;5,0;13,1;13,4;15,3;15,1;16,0;15,8;13,7;12,9;12,0;11,2;11,9;11,1;11,7;11,8;10,7;11,2;9,9;;;;;;;;;;;;;;;;;
Удельный вес затрат на технологические инновации в организациях добывающих, обрабатывающих производств, по производству и распределению электроэнергии, газа и воды, в общем объеме отгруженных товаров, выполненных работ, услуг, процентов;;;;;0,9;0,9;0,8;1,1;1,1;1,4;1,4;1,8;1,6;1,5;1,2;1,4;1,2;1,4;1,9;1,5;1,5;1,8;2,2;2,1;1,8;1,8;;;;;;;;;;;;;;;;;
Удельный вес затрат на технологические инновации в организациях связи, в общем объеме отгруженных товаров, выполненных работ, услуг, процентов 2);;;;;;;;;;11,0;4,4;3,9;6,3;5,8;3,5;2,7;2,6;2,0;2,4;2,8;9,5;4,6;3,0;2,4;2,6;2,4;;;;;;;;;;;;;;;;;
Объем отгруженных инновационных товаров, работ и услуг организаций добывающих, обрабатывающих производств, по производству и распределению электроэнергии, газа и воды, (в действующих ценах, млн. руб., до 1998 г. - млр.руб.);;;;;39796,8;35334,2;54948,9;45776,6;84379,6;154135,0;181826,1;206313,2;312692,0;433003,5;545540,0;714024,6;916131,6;1046960,0;877684,8;1165747,6;1847370,4;2509604,4;3072530,8;3037407,3;3258254,6;3723693,4;;;;;;;;;;;;;;;;;
1) Статистическое наблюдение  по организационным инновациям ведется с 2000 г., по маркетинговым инновациям - с 2006 г .;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Статистическое наблюдение распространено на организации связи с 1998 г.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
