СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2016 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;;;;;;;;;
их площадь, млн. га;3,4;4,0;4,3;6,2;6,3;6,3;6,4;6,6;6,7;6,8;6,9;6,9;6,9;6,9;6,9;6,9;6,9;7,3;7,8;7,8;9,2;9,5;11,5;12,8;13,9;21,4;;;;;;;;;
1) По данным Росводресурсов.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2)  С 2012 г. - включая индивидуальных предпринимателей.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) 1991-2005 гг. - по данным бывш. Министерства природных ресурсов Российской Федерации, с 2006 г. - по данным Росприроднадзора и Ростехнадзора. До 2005 г. включительно - выбросы от автомобильного транспорта,  с 2006 г. - с учетом железнодорожного транспорта.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4) В пересчете на NO2. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5) 2002, 2003 гг. - по данным бывш. Министерства природных ресурсов Российской Федерации,  2004-2009 гг. - по данным Ростехнадзора, с 2010 г. - по данным Росприроднадзора.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6) Отходы производства и потребления с I по IV класс опасности для окружающей природной среды.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Геологоразведочные работы1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Глубокое разведочное бурение, тыс. м;4335;3899;2211;1471;1526;1479;1521;1255;1235;1722;1850;1108;1087;931;1085;1221;1501;1457;913;1177;1252;1289;1248;1281;1058;1115;;;;;;;;;
Глубокое разведочное бурение на нефть и газ,                       тыс. м;4263;3885;2207;1469;1521;1477;1510;1250;1234;1719;1847;1105;1080;925;1079;1211;1488;1432;901;1169;1235;1258;1222;1267;1038;1109;;;;;;;;;
1)  C 2014 г. - по данным Роснедр, включая работы на территории континентального шельфа, Мирового океана.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
