СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2016 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;
ПОКАЗАТЕЛИ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
13. ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ, ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА, ПРОИЗВОДСТВО И РАСПРЕДЕЛЕНИЕ ЭЛЕКТРОЭНЕРГИИ, ГАЗА И ВОДЫ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности, млрд.рублей:;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП);;;;;;;;;;;;;;;;;;;;;;;;;;
Добыча угля, млн. т;353;337;306;272;263;257;245;232;250;258;270;256;277;282;299;310;314;329;301;;;;;;;
по видам;;;;;;;;;;;;;;;;;;;;;;;;;;
каменного;217;210;193;177;177;167;160;153;166;172;187;182;197;211;223;234;242;246;232;;;;;;;
бурого;136;126,8;112,8;95,3;85,9;90,2;85,2;78,8;83,5;86,2;83,0;74,2;79,4;70,4;75,3;75,9;71,5;82,6;69,3;;;;;;;
Добыча нефти, включая газовый конденсат, млн. т;462;399;354;318;307;301;306;303;305;324;348;380;421;459;470;481;491;488;494;;;;;;;
Добыча естественного газа, млрд. м3;643;641;618;607;595;601;571;591;592;584;581;595;620;633;641;656;653;664;583;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Добыча угля, млн. т;;;;;;;;;;;;;;;;;;;301;322;336;357;353;357;372;386
по видам;;;;;;;;;;;;;;;;;;;;;;;;;;
каменного;;;;;;;;;;;;;;;;;;;232;245;259;279;279;288;298;313
бурого рядового ;;;;;;;;;;;;;;;;;;;69,2;76,8;76,9;78,1;73,7;68,9;73,6;73,5
Добыча нефти, включая газовый конденсат, млн. т;;;;;;;;;;;;;;;;;;;495;506;512;519;522;526;535;548
Добыча газа природного и попутного, млрд. м3;;;;;;;;;;;;;;;;;;;583;651;671;655;668;642;634;641
Обрабатывающие производства;;;;;;;;;;;;;;;;;;;;;;;;;;
Производство отдельных видов пищевых продуктов, включая напитки и табака;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство мяса, включая субпродукты  I категории, тыс.т;5700;4686;3970;3224;2370;1900;1510;1315;1113;1194;1284;1456;1677;1776;1857;2185;2561;2899;3380;;;;;;;
Производство масел растительных, тыс. т;1165;994;1127;909;802;879;687;782;881;1375;1281;1197;1598;1895;2200;2755;2735;2485;3271;;;;;;;
Производство масла животного, тыс. т;729;762;732;488;421;323;292;276;262;267;271;279;285;276;254;268;272;272;233;;;;;;;
Производство хлеба и хлебобулочных изделий, тыс. т;18845;16834;15030;12527;11336;9851;8832;8459;9160;9005;8575;8388;8395;8219;7967;7815;7759;7483;7213;;;;;;;
Производство кондитерских изделий, тыс. т;2641;1829;1746;1530;1372;1262;1370;1403;1509;1628;1793;1958;2167;2233;2419;2557;2739;2845;2779;;;;;;;
Производство сахара-песка, тыс. т;3425;3923;3918;2736;3155;3294;3778;4745;6808;6077;6590;6167;5841;4828;5600;5833;6112;5873;5023;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство мяса и субпродуктов пищевых убойных животных и домашней птицы, тыс.т;;;;;;;;;;;;;;;;;;;3460;3957;4250;4747;5321;5957;6631;7060
Производство масел растительных нерафинированных (включая кукурузное), тыс.т;;;;;;;;;;;;;;;;;;;3188;3091;3073;4192;3940;4981;4660;5199
Производство масла сливочного и паст масляных,  тыс.т;;;;;;;;;;;;;;;;;;;225;212;219;216;227;253;258;253
Производство хлеба и хлебобулочных изделий, тыс. т;;;;;;;;;;;;;;;;;;;7288;7255;7066;6965;6829;6816;6833;6686
Производство кондитерских изделий, тыс. т;;;;;;;;;;;;;;;;;;;2738;2890;3037;3108;3289;3451;3495;3569
Производство сахара белого свекловичного и тростникового в твердом состоянии, тыс. т;;;;;;;;;;;;;;;;;;;5077;4750;7124;5322;4959;5249;5743;6045
Текстильное и швейное производство;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство хлопчатобумажных тканей, млн. м2;5295;3292;2327;1529;1240;1023;1186;1080;1258;1822;2094;2264;2329;2149;2225;2222;2108;1915;1477;;;;;;;
Производство шерстяных тканей, млн. м2;386;277;206;91,1;72,2;50,3;46,8;39,3;47,8;54,6;56,5;47,9;44,6;36,0;30,3;29,0;28,7;23,9;18,1;;;;;;;
Производство шелковых тканей, млн. м2;947;731;596;246;198;139;134;111;146;178;176;141;145;139;126;136;141;114;91,3;;;;;;;
Производство обуви, млн.пар;336;220;146;76,5;51,6;36,8;33,0;23,8;29,9;32,9;37,0;42,2;47,4;46,4;47,2;57,3;54,2;56,5;57,5;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство хлопчатобумажных тканей, млн. м2;;;;;;;;;;;;;;;;;;;1453;1542;1237;1389;1311;1231;1121;1168
Производство шерстяных тканей, млн. м2;;;;;;;;;;;;;;;;;;;17,9;20,7;19,3;14,1;12,8;11,7;11,0;9,1
Производство тканей из синтетических и искусственных волокон и нитей (включая штапельные), млн. м2;;;;;;;;;;;;;;;;;;;109;115;100;144;207;208;285;290
Производство кожи, изделий из кожи и производство обуви;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство жестких кожтоваров,                    млн. дм2 ;1086;743;329;131;84,8;86,7;76,1;41;52,1;96,4;104;86;67,9;67,3;57,2;75,5;74,3;66,5;55,1;;;;;;;
Хромовые кожтовары, млн. дм2 ;4201;3734;2854;1161;900;649;525;390;786;805;1030;1182;1459;1534;1491;2014;2018;1927;1883;;;;;;;
Юфтевые кожтовары, млн. дм2;544;352;173;68,1;53,6;96,5;68,6;49,1;125;130;77,4;88,9;127;125;113;110;88,2;68,3;50,7;;;;;;;
Производство обуви, млн.пар;336;220;146;76,5;51,6;36,8;33,0;23,8;29,9;32,9;37,0;42,2;47,4;46,4;47,2;57,3;54,2;56,5;57,5;;;;;;;
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2007 (КПЕС 2002) (ОКПД);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство жестких кожтоваров,                    млн. дм2 ;;;;;;;;;;;;;;;;;;;55,1;52,4;41,6;41,3;22,8;19,0;6,5;2,9
Хромовые кожтовары, млн. дм2 ;;;;;;;;;;;;;;;;;;;1920;2689;2659;2419;2223;1990;1941;2058
Юфтевые кожтовары, млн. дм2;;;;;;;;;;;;;;;;;;;50,7;63,3;68,2;50,2;50,3;36,4;30,1;21,5
Производство обуви, млн.пар;;;;;;;;;;;;;;;;;;;82,7;103;110;103;118;109;91,7;95,2
Обработка древесины и производство изделий из дерева;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором продукции ОК 005-93 (ОКП);;;;;;;;;;;;;;;;;;;;;;;;;;
Производство пиломатериалов, тыс. м3;65772,6;53367,3;40892;30723,9;26465,3;21913,1;19622,2;18536,8;19163,8;20003,3;19045,1;18590,3;20154,5;21214;22033,5;22193,7;24257,8;21617,8;18993,3;;;;;;;
Производство клееной фанеры, тыс. м3;1519,7;1268,2;1042,2;889,5;939,2;971,8;943;1101,8;1324;1484,4;1589,7;1821,4;1977,6;2247,7;2555,6;2615,2;2776,8;2592;2128,3;;;;;;;
