СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2016 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в городской местности;13490,5;14104,8;14693,7;15332,4;16232,2;17134,6;18318,0;19506,8;20814,0;21828,4;22793,5;24054,1;25392,8;26828,5;28103,7;28668,0;29303,9;29418,3;29240,3;28797;28040,0;27028,1;25321,6;23361,0;21435,8;19775,9;;;;;;;;;;;;;;;;;
в сельской местности;1958,3;2118,0;2261,9;2359,2;2475,2;2572,3;2703,9;2850,5;3000,9;3194,4;3351,4;3506,8;3729,7;4087,3;4350,6;4495,9;4529,8;4517,3;4473,2;4412,2;4320,0;4208,8;4021,0;3773,8;3526,3;3346,9;;;;;;;;;;;;;;;;;
Число квартирных телефонных аппаратов на 1000 человек населения, шт.:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в городской местности;123,4;129,8;135,7;141,5;149,9;158,4;169,4;180,5;193,8;203,9;213,6;226,2;239,5;255,1;268,1;273,7;279,4;280,4;278,3;273,2;265,2;254,7;237,7;215,7;197,3;181,4;;;;;;;;;;;;;;;;;
в сельской местности;50,0;53,1;56,5;58,8;61,9;64,6;68,1;72,2;76,0;81,4;86,1;90,7;97,4;105,8;113,2;117,9;119,6;119,4;118,4;117,8;115,8;113,1;108,3;99,4;93,1;88,6;;;;;;;;;;;;;;;;;
Число абонентских устройств подвижной радиотелефонной (сотовой) связи1), тыс. шт.;;6,0;10,0;27,7;88,5;223,0;484,8;747,2;1370,6;3263,2;7750,5;17608,8;35603,6;71319,0;123549,3;154453,3;171198,8;199522,3;230499,5;237689,2;256116,6;261887,8;277744,8;274755,0;283977,6;290367,1;;;;;;;;;;;;;;;;;
Число абонентских терминалов сотовой связи на 1000 человек населения1), шт.;;0,0;0,1;0,2;0,6;1,5;3,3;5,1;9,3;22,3;53,2;121,5;246,7;496,0;862,6;1081,1;1199,3;1397,8;1613,8;1663,7;1790,3;1826,9;1933,3;1908,4;1937,8;1977,9;;;;;;;;;;;;;;;;;
1) Данные за 2014 г. без учета сведений по Республике Крым и г.Севастополю.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"__________
*) По данным Минкомсвязи России.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
